Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
sym_mig	Round_1_Replicate_1	-7177.73	14363.46	6971704191.55	161.94	1.2966,2.0146,2.9082,1.0634
sym_mig	Round_1_Replicate_2	-720.1	1448.2	961.74	707.94	0.1249,0.1141,1.2947,0.2098
sym_mig	Round_1_Replicate_3	-5168.74	10345.48	66046123.42	120.89	5.1077,0.9683,1.4244,2.3531
sym_mig	Round_1_Replicate_4	-3111.01	6230.02	582831.99	235.0	0.5092,1.2419,1.3324,1.0057
sym_mig	Round_1_Replicate_5	-1645.7	3299.4	6005.36	271.1	2.3304,0.1698,0.4779,0.6248
sym_mig	Round_1_Replicate_6	-705.02	1418.04	857.12	475.6	0.2025,0.2901,0.1518,0.2321
sym_mig	Round_1_Replicate_7	-1660.42	3328.84	12822.6	635.66	0.2172,0.159,2.9281,0.4011
sym_mig	Round_1_Replicate_8	-1765.31	3538.62	19497.1	393.67	0.4075,0.3859,1.4214,0.9375
sym_mig	Round_1_Replicate_9	-1053.55	2115.1	2253.59	411.06	0.2638,0.4447,0.7428,0.7677
sym_mig	Round_1_Replicate_10	-2271.49	4550.98	58136.32	247.51	2.4146,0.5059,0.4991,0.4129
sym_mig	Round_2_Replicate_1	-671.14	1350.28	974.46	518.32	0.2673,0.1547,0.0706,0.1968
sym_mig	Round_2_Replicate_2	-1412.16	2832.32	4582.14	326.38	0.2138,0.9191,0.4147,0.3269
sym_mig	Round_2_Replicate_3	-1125.56	2259.12	2127.18	358.15	0.1655,0.7592,0.0632,0.2747
sym_mig	Round_2_Replicate_4	-592.76	1193.52	786.59	627.76	0.1468,0.1302,0.23,0.1869
sym_mig	Round_2_Replicate_5	-717.17	1442.34	1246.9	464.59	0.4128,0.1775,0.2709,0.8278
sym_mig	Round_2_Replicate_6	-773.04	1554.08	1161.75	534.03	0.1595,0.1422,0.0646,0.1033
sym_mig	Round_2_Replicate_7	-1137.46	2282.92	3222.16	685.09	0.0963,0.1679,0.16,0.5468
sym_mig	Round_2_Replicate_8	-603.53	1215.06	766.46	690.17	0.0864,0.0955,0.3093,0.1132
sym_mig	Round_2_Replicate_9	-1461.0	2930.0	4478.59	375.84	0.1227,0.7157,0.3827,0.1668
sym_mig	Round_2_Replicate_10	-1082.82	2173.64	2754.33	525.73	0.3008,0.0624,0.3392,0.0949
sym_mig	Round_3_Replicate_1	-593.33	1194.66	754.85	619.93	0.1403,0.1392,0.2113,0.1826
sym_mig	Round_3_Replicate_2	-605.15	1218.3	764.07	585.58	0.1766,0.1824,0.285,0.2964
sym_mig	Round_3_Replicate_3	-596.3	1200.6	734.12	579.95	0.1805,0.1765,0.2761,0.2668
sym_mig	Round_3_Replicate_4	-594.13	1196.26	801.09	631.26	0.14,0.1224,0.1813,0.1671
sym_mig	Round_3_Replicate_5	-690.43	1388.86	1119.47	700.97	0.1204,0.1308,0.2803,0.2588
sym_mig	Round_3_Replicate_6	-597.57	1203.14	731.78	557.37	0.2102,0.1868,0.2932,0.3033
sym_mig	Round_3_Replicate_7	-609.37	1226.74	769.28	547.29	0.2169,0.1662,0.1968,0.2219
sym_mig	Round_3_Replicate_8	-594.76	1197.52	792.24	676.36	0.1124,0.1023,0.3277,0.1426
sym_mig	Round_3_Replicate_9	-656.83	1321.66	973.61	703.99	0.1203,0.1282,0.3892,0.2512
sym_mig	Round_3_Replicate_10	-656.79	1321.58	840.82	511.13	0.252,0.1831,0.1955,0.213
sym_mig	Round_3_Replicate_11	-637.02	1282.04	894.09	578.4	0.2174,0.1343,0.389,0.2219
sym_mig	Round_3_Replicate_12	-649.57	1307.14	962.16	565.03	0.2314,0.1297,0.2638,0.2051
sym_mig	Round_3_Replicate_13	-610.58	1229.16	743.73	591.76	0.1415,0.1337,0.1218,0.1402
sym_mig	Round_3_Replicate_14	-610.79	1229.58	759.38	580.33	0.1519,0.1818,0.1717,0.2194
sym_mig	Round_3_Replicate_15	-705.18	1418.36	1030.72	549.3	0.2165,0.1268,0.2869,0.1508
sym_mig	Round_3_Replicate_16	-597.09	1202.18	734.55	632.32	0.1347,0.139,0.3427,0.1902
sym_mig	Round_3_Replicate_17	-593.85	1195.7	719.68	579.14	0.1754,0.1659,0.2484,0.224
sym_mig	Round_3_Replicate_18	-630.36	1268.72	789.72	596.47	0.1346,0.1154,0.1246,0.1163
sym_mig	Round_3_Replicate_19	-593.64	1195.28	760.39	603.28	0.1722,0.1514,0.2943,0.237
sym_mig	Round_3_Replicate_20	-592.15	1192.3	745.16	583.19	0.178,0.1614,0.2193,0.2283
