Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-7230.9	14469.8	3269381622.7	150.04	0.8608,7.358,2.4785,0.6106
sym_mig	Round_1_Replicate_2	-6637.38	13282.76	1423846842.77	197.28	7.0853,0.4056,4.8808,1.5197
sym_mig	Round_1_Replicate_3	-3838.65	7685.3	3603477.28	387.89	0.6363,0.2435,4.0521,0.1293
sym_mig	Round_1_Replicate_4	-5833.85	11675.7	239764176.18	178.35	5.9867,0.4891,3.1215,1.3965
sym_mig	Round_1_Replicate_5	-5333.04	10674.08	27111127.56	245.19	0.1387,7.2284,4.8927,6.8642
sym_mig	Round_1_Replicate_6	-1753.49	3514.98	12154.89	224.47	1.7442,0.2663,0.7077,2.6034
sym_mig	Round_1_Replicate_7	-673.48	1354.96	774.02	277.94	0.5053,0.6168,0.183,1.5862
sym_mig	Round_1_Replicate_8	-2413.79	4835.58	106516.28	182.14	0.9591,1.8835,0.4614,0.8415
sym_mig	Round_1_Replicate_9	-2299.09	4606.18	89151.97	95.37	2.5877,3.4696,0.1749,2.107
sym_mig	Round_1_Replicate_10	-1621.7	3251.4	7864.66	140.91	4.1596,0.6438,0.2329,1.7692
sym_mig	Round_2_Replicate_1	-977.17	1962.34	2036.46	359.8	0.5354,0.3331,0.6395,1.3662
sym_mig	Round_2_Replicate_2	-2668.0	5344.0	257473.03	148.15	1.6574,1.5981,0.5205,1.6048
sym_mig	Round_2_Replicate_3	-1166.04	2340.08	2621.51	218.19	0.2055,1.1844,0.1339,2.4789
sym_mig	Round_2_Replicate_4	-775.04	1558.08	1060.85	288.12	0.2975,0.5716,0.2819,3.6088
sym_mig	Round_2_Replicate_5	-1439.0	2886.0	5865.43	200.89	0.7511,1.8418,0.064,0.6463
sym_mig	Round_2_Replicate_6	-853.17	1714.34	2024.92	378.81	0.5145,0.2318,0.0751,1.1558
sym_mig	Round_2_Replicate_7	-656.45	1320.9	805.4	274.81	0.7466,0.5188,0.1075,1.2246
sym_mig	Round_2_Replicate_8	-1202.35	2412.7	3588.11	150.74	0.8489,1.6488,0.23,2.7242
sym_mig	Round_2_Replicate_9	-1374.59	2757.18	4015.45	162.68	0.4047,1.6179,0.3055,4.2404
sym_mig	Round_2_Replicate_10	-657.37	1322.74	856.32	254.55	0.4895,0.485,0.1965,3.8784
sym_mig	Round_3_Replicate_1	-820.1	1648.2	1294.04	291.35	1.0218,0.3863,0.0553,0.705
sym_mig	Round_3_Replicate_2	-650.24	1308.48	920.06	365.09	0.4455,0.3335,0.1602,1.2228
sym_mig	Round_3_Replicate_3	-641.78	1291.56	811.65	305.94	0.4824,0.4701,0.1514,1.6129
sym_mig	Round_3_Replicate_4	-854.6	1717.2	1322.15	234.13	1.2502,0.6408,0.0447,0.9086
sym_mig	Round_3_Replicate_5	-740.24	1488.48	1020.57	203.54	0.5315,0.9834,0.0866,2.5595
sym_mig	Round_3_Replicate_6	-670.3	1348.6	966.88	279.84	0.685,0.3632,0.1881,2.2153
sym_mig	Round_3_Replicate_7	-666.97	1341.94	789.54	341.87	0.4342,0.5113,0.1001,0.6813
sym_mig	Round_3_Replicate_8	-727.37	1462.74	910.88	221.96	1.0109,0.7413,0.0969,1.3574
sym_mig	Round_3_Replicate_9	-710.07	1428.14	859.93	245.05	0.648,0.8287,0.0752,1.2013
sym_mig	Round_3_Replicate_10	-801.08	1610.16	1130.95	282.65	0.608,0.7034,0.1249,0.7242
sym_mig	Round_3_Replicate_11	-765.75	1539.5	1139.6	211.02	1.3639,0.5072,0.0934,1.7762
sym_mig	Round_3_Replicate_12	-784.15	1576.3	1421.45	286.58	0.9309,0.3518,0.061,1.1056
sym_mig	Round_3_Replicate_13	-706.8	1421.6	1178.92	340.2	0.461,0.334,0.12,1.5905
sym_mig	Round_3_Replicate_14	-662.07	1332.14	963.26	302.88	0.4949,0.3603,0.1795,2.4324
sym_mig	Round_3_Replicate_15	-715.88	1439.76	1093.41	266.29	0.8908,0.3643,0.1533,1.7626
sym_mig	Round_3_Replicate_16	-638.82	1285.64	767.0	222.33	0.7243,0.6713,0.1144,2.4104
sym_mig	Round_3_Replicate_17	-629.06	1266.12	839.57	413.7	0.3684,0.3316,0.098,0.5689
sym_mig	Round_3_Replicate_18	-1172.34	2352.68	3883.37	212.66	1.1953,0.9846,0.1371,0.8551
sym_mig	Round_3_Replicate_19	-771.02	1550.04	1236.66	264.15	0.3712,0.6628,0.0989,2.1956
sym_mig	Round_3_Replicate_20	-809.36	1626.72	1152.06	238.21	0.8766,0.8273,0.0595,0.9163
