Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-4537.77	9083.54	15991322.73	109.51	2.1067,4.5057,0.5426,1.2231
sym_mig	Round_1_Replicate_2	-3287.99	6583.98	440629.67	330.69	5.6769,0.1159,3.1929,0.2091
sym_mig	Round_1_Replicate_3	-3793.36	7594.72	3395726.51	370.55	0.5725,0.3646,3.4897,2.7588
sym_mig	Round_1_Replicate_4	-10651.32	21310.64	7.84327767014e+12	132.12	3.3293,3.3765,4.0357,0.7162
sym_mig	Round_1_Replicate_5	-793.03	1594.06	1349.48	450.9	0.4859,0.1719,0.3272,0.3743
sym_mig	Round_1_Replicate_6	-1269.46	2546.92	3141.54	255.97	1.9453,0.2746,0.2533,0.7345
sym_mig	Round_1_Replicate_7	-1991.19	3990.38	8790.92	128.21	0.2316,3.3453,0.2499,2.9204
sym_mig	Round_1_Replicate_8	-2455.28	4918.56	129004.84	197.05	1.5024,1.486,0.2672,0.5675
sym_mig	Round_1_Replicate_9	-1853.54	3715.08	27571.34	162.03	1.8424,0.9325,0.4336,2.0079
sym_mig	Round_1_Replicate_10	-2939.79	5887.58	228223.25	210.89	6.9547,0.6337,0.3771,0.3932
sym_mig	Round_2_Replicate_1	-600.78	1209.56	753.17	522.24	0.2277,0.2171,0.1517,0.3108
sym_mig	Round_2_Replicate_2	-596.87	1201.74	740.92	558.17	0.2126,0.1829,0.282,0.2992
sym_mig	Round_2_Replicate_3	-1162.8	2333.6	2814.59	400.42	0.7856,0.1497,0.1779,0.1967
sym_mig	Round_2_Replicate_4	-628.36	1264.72	766.57	493.39	0.2986,0.2262,0.3538,0.4368
sym_mig	Round_2_Replicate_5	-631.7	1271.4	789.88	349.98	0.465,0.3767,0.1884,1.2134
sym_mig	Round_2_Replicate_6	-782.42	1572.84	1227.87	509.28	0.3633,0.1768,0.6925,0.8574
sym_mig	Round_2_Replicate_7	-1153.22	2314.44	3235.79	294.97	1.097,0.3609,0.3809,0.649
sym_mig	Round_2_Replicate_8	-625.03	1258.06	753.42	382.0	0.4203,0.3548,0.1973,0.881
sym_mig	Round_2_Replicate_9	-844.19	1696.38	1835.61	512.92	0.4152,0.1159,0.3714,0.6631
sym_mig	Round_2_Replicate_10	-1429.01	2866.02	4450.44	420.24	0.8251,0.088,0.2319,0.1141
sym_mig	Round_2_Replicate_11	-732.7	1473.4	933.69	358.27	0.3092,0.5586,0.1244,0.6289
sym_mig	Round_2_Replicate_12	-680.39	1368.78	777.66	312.87	0.4742,0.5788,0.1551,0.9088
sym_mig	Round_2_Replicate_13	-1194.71	2397.42	3155.35	443.34	0.6599,0.1129,0.7435,0.4597
sym_mig	Round_2_Replicate_14	-814.15	1636.3	1241.96	230.97	1.2306,0.4829,0.1708,1.5036
sym_mig	Round_2_Replicate_15	-642.05	1292.1	836.71	741.26	0.0969,0.0967,0.9639,0.1607
sym_mig	Round_2_Replicate_16	-1238.97	2485.94	3284.62	255.29	1.8296,0.3911,0.1741,0.5876
sym_mig	Round_2_Replicate_17	-912.81	1833.62	1640.43	264.42	1.1424,0.342,0.2624,1.3228
sym_mig	Round_2_Replicate_18	-779.43	1566.86	1097.62	529.78	0.2737,0.2224,0.7956,0.807
sym_mig	Round_2_Replicate_19	-901.89	1811.78	1767.5	515.7	0.3,0.1069,0.4142,0.138
sym_mig	Round_2_Replicate_20	-630.99	1269.98	899.84	523.33	0.2065,0.2338,0.0829,0.3183
sym_mig	Round_3_Replicate_1	-599.08	1206.16	731.98	519.15	0.2356,0.2195,0.1913,0.3295
sym_mig	Round_3_Replicate_2	-613.93	1235.86	741.3	487.16	0.2529,0.2702,0.207,0.4446
sym_mig	Round_3_Replicate_3	-597.9	1203.8	734.63	571.75	0.1957,0.1806,0.3109,0.2942
sym_mig	Round_3_Replicate_4	-604.17	1216.34	732.45	483.27	0.2815,0.2501,0.1869,0.4036
sym_mig	Round_3_Replicate_5	-601.45	1210.9	744.48	500.8	0.2648,0.2297,0.1818,0.3655
sym_mig	Round_3_Replicate_6	-597.05	1202.1	740.57	533.57	0.2311,0.2017,0.2183,0.3187
sym_mig	Round_3_Replicate_7	-599.43	1206.86	727.81	520.1	0.232,0.2207,0.1946,0.3274
sym_mig	Round_3_Replicate_8	-593.85	1195.7	752.75	566.98	0.1939,0.1756,0.2017,0.2578
sym_mig	Round_3_Replicate_9	-609.93	1227.86	782.75	471.27	0.2973,0.2602,0.1361,0.4262
sym_mig	Round_3_Replicate_10	-608.54	1225.08	757.55	465.59	0.317,0.2589,0.184,0.4696
sym_mig	Round_3_Replicate_11	-643.73	1295.46	791.5	516.65	0.2726,0.2188,0.465,0.5091
sym_mig	Round_3_Replicate_12	-620.19	1248.38	774.98	604.72	0.1859,0.1687,0.5021,0.3396
sym_mig	Round_3_Replicate_13	-597.11	1202.22	754.8	556.76	0.2131,0.1869,0.2533,0.3125
sym_mig	Round_3_Replicate_14	-610.25	1228.5	743.46	462.29	0.3199,0.2649,0.2205,0.5133
sym_mig	Round_3_Replicate_15	-599.62	1207.24	756.08	611.98	0.1704,0.1463,0.4036,0.2374
sym_mig	Round_3_Replicate_16	-612.78	1233.56	743.45	464.97	0.3158,0.264,0.2491,0.5449
sym_mig	Round_3_Replicate_17	-600.24	1208.48	756.75	561.05	0.2124,0.1874,0.2922,0.3331
sym_mig	Round_3_Replicate_18	-609.75	1227.5	763.68	474.81	0.2856,0.2661,0.1753,0.4695
sym_mig	Round_3_Replicate_19	-600.88	1209.76	785.36	527.59	0.2442,0.2005,0.1726,0.3266
sym_mig	Round_3_Replicate_20	-613.81	1235.62	819.36	520.07	0.235,0.2284,0.1685,0.3947
sym_mig	Round_3_Replicate_21	-599.5	1207.0	724.1	520.53	0.2394,0.2184,0.2326,0.3473
sym_mig	Round_3_Replicate_22	-596.7	1201.4	746.6	550.7	0.2199,0.1874,0.2562,0.3074
sym_mig	Round_3_Replicate_23	-605.72	1219.44	727.09	527.91	0.2365,0.2179,0.3063,0.3883
sym_mig	Round_3_Replicate_24	-600.57	1209.14	718.9	526.44	0.2371,0.2089,0.2627,0.3279
sym_mig	Round_3_Replicate_25	-620.36	1248.72	758.19	494.71	0.2859,0.2386,0.3357,0.5477
sym_mig	Round_3_Replicate_26	-660.93	1329.86	864.59	554.87	0.2437,0.1964,0.5445,0.9644
sym_mig	Round_3_Replicate_27	-605.78	1219.56	740.78	511.74	0.2574,0.2279,0.2713,0.4292
sym_mig	Round_3_Replicate_28	-616.43	1240.86	758.49	451.71	0.3434,0.2679,0.2421,0.5845
sym_mig	Round_3_Replicate_29	-606.41	1220.82	735.01	479.36	0.2757,0.2627,0.1769,0.4181
sym_mig	Round_3_Replicate_30	-596.94	1201.88	746.56	540.23	0.2152,0.192,0.1622,0.2672
sym_mig	Round_3_Replicate_31	-592.04	1192.08	749.17	615.91	0.1553,0.142,0.2944,0.2062
sym_mig	Round_3_Replicate_32	-592.6	1193.2	749.35	610.43	0.1623,0.145,0.3051,0.2156
sym_mig	Round_3_Replicate_33	-609.08	1226.16	736.59	489.96	0.2834,0.2442,0.2681,0.4745
sym_mig	Round_3_Replicate_34	-609.94	1227.88	740.3	496.7	0.2706,0.2438,0.273,0.482
sym_mig	Round_3_Replicate_35	-617.64	1243.28	756.53	566.86	0.2137,0.1896,0.4403,0.3772
sym_mig	Round_3_Replicate_36	-607.72	1223.44	771.39	535.43	0.238,0.2098,0.2817,0.4178
sym_mig	Round_3_Replicate_37	-595.81	1199.62	758.4	568.31	0.1824,0.1699,0.1421,0.2225
sym_mig	Round_3_Replicate_38	-595.44	1198.88	736.64	558.55	0.2087,0.1809,0.2638,0.2825
sym_mig	Round_3_Replicate_39	-599.0	1206.0	739.8	594.92	0.1802,0.1598,0.3748,0.2563
sym_mig	Round_3_Replicate_40	-598.05	1204.1	762.8	543.36	0.23,0.1913,0.2319,0.3223
sym_mig	Round_3_Replicate_41	-608.05	1224.1	756.56	471.39	0.2933,0.2613,0.1405,0.4031
sym_mig	Round_3_Replicate_42	-593.1	1194.2	740.42	570.64	0.1869,0.1691,0.2015,0.2347
sym_mig	Round_3_Replicate_43	-602.77	1213.54	745.61	635.58	0.1462,0.1378,0.4686,0.2118
sym_mig	Round_3_Replicate_44	-594.08	1196.16	733.1	560.28	0.2013,0.1803,0.2373,0.2673
sym_mig	Round_3_Replicate_45	-592.21	1192.42	754.02	595.18	0.1744,0.1515,0.2583,0.2238
sym_mig	Round_3_Replicate_46	-608.61	1225.22	752.98	538.41	0.235,0.2088,0.3249,0.4137
sym_mig	Round_3_Replicate_47	-599.71	1207.42	733.84	514.83	0.2497,0.22,0.2193,0.3579
sym_mig	Round_3_Replicate_48	-600.14	1208.28	738.2	508.98	0.2553,0.2239,0.1996,0.3586
sym_mig	Round_3_Replicate_49	-600.07	1208.14	742.7	519.45	0.2488,0.2155,0.2302,0.3665
sym_mig	Round_3_Replicate_50	-591.84	1191.68	737.58	592.53	0.1668,0.1553,0.231,0.2129
