Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, mA, m1, m2, T1, T2, T3)
ancmig_adj_1	Round_1_Replicate_1	-9612.98	19245.96	39362243.68	172.04	0.91,3.2033,3.619,0.6734,1.627,0.168,4.845,1.596,1.0574,3.8066
ancmig_adj_1	Round_1_Replicate_2	-6739.93	13499.86	43289.6	156.82	5.7678,0.918,0.4606,4.6608,0.1865,0.2229,2.5069,0.6302,5.1502,0.4088
ancmig_adj_1	Round_1_Replicate_3	-11821.57	23663.14	2.44301579292e+16	160.63	0.1524,0.75,3.6533,0.348,1.0952,0.837,1.0874,0.1978,1.6374,5.1583
ancmig_adj_1	Round_1_Replicate_4	-6085.88	12191.76	28453.74	332.01	0.6768,0.2778,0.3912,2.7544,0.5813,5.6311,3.9634,0.8096,5.7714,0.3533
ancmig_adj_1	Round_1_Replicate_5	-5650.9	11321.8	102421.71	102.74	7.95,0.1897,3.6638,2.6758,0.4718,0.4429,3.1445,7.603,0.2427,3.921
ancmig_adj_1	Round_2_Replicate_1	-8906.26	17832.52	4744437.79	81.17	2.6283,0.5573,5.8989,3.175,0.5648,0.7131,4.4409,4.0298,0.4601,10.1082
ancmig_adj_1	Round_2_Replicate_2	-11536.88	23093.76	36076136117.7	80.69	3.6922,0.0819,6.7319,0.73,0.1215,0.3141,3.1271,17.608,0.6049,9.5165
ancmig_adj_1	Round_2_Replicate_3	-5261.62	10543.24	41396.01	108.95	29.1546,0.13,1.6635,5.1518,0.3729,0.3887,5.9217,4.9636,0.8908,0.9889
ancmig_adj_1	Round_2_Replicate_4	-5939.58	11899.16	951749.81	65.11	15.4225,0.0742,12.0596,1.4697,0.5186,1.3529,3.9578,29.3182,0.0721,5.7477
ancmig_adj_1	Round_2_Replicate_5	-5829.08	11678.16	135497.98	66.23	24.3387,0.0791,6.9009,4.9685,0.6111,0.2377,1.1881,5.1955,0.1391,4.8094
ancmig_adj_1	Round_3_Replicate_1	-5200.01	10420.02	30414.22	114.43	18.6655,0.2375,1.4225,5.3226,0.3948,0.2018,4.1497,3.6324,1.4987,0.7914
ancmig_adj_1	Round_3_Replicate_2	-5485.16	10990.32	28039.43	113.05	24.0243,0.0849,1.5159,3.4036,0.3706,0.2762,7.8565,2.5311,1.5275,1.2631
ancmig_adj_1	Round_3_Replicate_3	-6132.41	12284.82	57477.8	106.35	29.7,0.0746,1.5852,5.648,0.3091,0.5524,6.0467,3.9401,0.5314,1.4897
ancmig_adj_1	Round_3_Replicate_4	-5307.7	10635.4	152436.73	104.28	29.7,0.0814,1.5501,7.6218,0.3606,0.2001,7.0186,3.8312,1.6962,0.5923
ancmig_adj_1	Round_3_Replicate_5	-6616.57	13253.14	58010.27	108.7	16.8204,0.0792,1.1447,2.7782,0.333,0.3276,5.4955,9.8857,1.194,1.7439
ancmig_adj_1	Round_3_Replicate_6	-4123.7	8267.4	25413.39	98.0	29.7,0.2115,2.4558,4.1378,0.4278,0.3312,3.1054,8.2076,1.3494,0.8076
ancmig_adj_1	Round_3_Replicate_7	-3691.42	7402.84	11741.09	122.09	29.7,0.1322,2.7593,2.6886,0.6053,0.3803,3.4316,3.4282,1.0757,0.769
ancmig_adj_1	Round_3_Replicate_8	-3945.04	7910.08	12487.73	104.99	29.7,0.0842,2.995,3.1077,0.7078,0.4533,3.5632,9.3445,1.4513,1.1658
ancmig_adj_1	Round_3_Replicate_9	-3474.65	6969.3	15973.11	142.12	15.2963,0.0738,2.6488,2.6465,0.2233,0.7503,7.2468,2.8067,0.5958,0.7767
ancmig_adj_1	Round_3_Replicate_10	-3358.36	6736.72	11359.47	107.88	24.6067,0.1335,3.1055,2.6694,0.2341,0.4806,5.5139,4.7189,1.1316,0.7337
