Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, mA, T1, T2)
ancmig_adj_2	Round_1_Replicate_1	-4592.3	9198.6	40425.68	331.48	0.1626,3.1543,4.2671,1.009,1.1982,3.4031,0.2686
ancmig_adj_2	Round_1_Replicate_2	-7537.52	15089.04	90193.5	226.39	0.4019,3.9366,0.4616,2.2831,0.1503,7.9575,0.2703
ancmig_adj_2	Round_1_Replicate_3	-3035.82	6085.64	145284.84	226.79	1.4176,2.4721,4.7659,1.1025,5.0478,5.4332,0.1681
ancmig_adj_2	Round_1_Replicate_4	-5754.76	11523.52	23825.76	830.8	0.6318,0.4281,0.1281,0.441,4.3883,0.3518,0.1552
ancmig_adj_2	Round_1_Replicate_5	-7295.3	14604.6	260616.18	279.15	0.7717,0.3799,1.0907,2.7851,2.3667,0.1408,1.8547
ancmig_adj_2	Round_2_Replicate_1	-1854.94	3723.88	1388.79	230.44	1.3074,1.5752,5.5627,0.7461,17.3204,7.5751,0.4631
ancmig_adj_2	Round_2_Replicate_2	-4238.03	8490.06	979316.48	249.78	3.1535,1.0122,1.3829,2.7504,5.8534,5.5757,0.2203
ancmig_adj_2	Round_2_Replicate_3	-2701.05	5416.1	32717.47	443.91	1.1183,0.6182,11.4721,0.3899,11.067,3.0832,0.0998
ancmig_adj_2	Round_2_Replicate_4	-4869.74	9753.48	2642569091.49	277.43	0.434,4.8493,17.0359,1.6005,2.2819,7.5339,0.0545
ancmig_adj_2	Round_2_Replicate_5	-2936.79	5887.58	57260.09	192.27	0.9758,4.6253,3.5632,1.3696,1.2676,9.0903,0.2103
ancmig_adj_2	Round_3_Replicate_1	-2296.58	4607.16	6647.94	183.71	1.6966,2.3812,9.7346,1.0689,13.4635,14.6187,0.3132
ancmig_adj_2	Round_3_Replicate_2	-2880.55	5775.1	9376.99	205.41	1.051,1.7865,7.1046,0.4031,20.9191,14.6345,0.8915
ancmig_adj_2	Round_3_Replicate_3	-2041.02	4096.04	6211.75	264.27	1.1474,3.1175,5.9413,1.0571,29.7,8.693,0.2803
ancmig_adj_2	Round_3_Replicate_4	-1818.88	3651.76	2265.88	207.68	2.3919,1.149,10.4576,0.5956,9.3204,4.8871,0.4364
ancmig_adj_2	Round_3_Replicate_5	-2012.72	4039.44	1844.41	245.28	0.8192,2.4012,6.5512,0.7052,11.1293,10.0917,0.3893
ancmig_adj_2	Round_3_Replicate_6	-2452.79	4919.58	4137.11	240.55	0.6914,1.9544,5.9207,1.2029,12.7584,9.963,0.6068
ancmig_adj_2	Round_3_Replicate_7	-1755.37	3524.74	1662.05	211.39	2.1832,0.8217,9.4383,0.7443,13.7349,4.9353,0.6085
ancmig_adj_2	Round_3_Replicate_8	-2755.88	5525.76	6292.04	228.87	0.7581,2.7663,5.3036,0.8686,29.7,8.5642,0.8641
ancmig_adj_2	Round_3_Replicate_9	-2040.37	4094.74	2053.88	253.63	0.7711,2.7367,7.3139,0.7731,17.9352,11.8979,0.3403
ancmig_adj_2	Round_3_Replicate_10	-2232.44	4478.88	3015.59	223.57	0.9695,2.7883,5.2745,0.9282,25.7283,5.794,0.7238
