Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, mA, T1a, T1b, T2)
ancmig_adj_3	Round_1_Replicate_1	-6312.19	12640.38	352984.6	338.52	0.2189,3.9648,4.073,0.2136,0.9419,0.593,0.4474,0.4068
ancmig_adj_3	Round_1_Replicate_2	-6546.03	13108.06	366015.39	145.83	0.6259,6.0032,6.2631,5.4344,0.1675,0.1601,0.2086,2.2167
ancmig_adj_3	Round_1_Replicate_3	-5809.62	11635.24	386443.55	133.65	4.4623,0.262,8.4237,2.1181,3.2999,0.1348,0.9466,2.129
ancmig_adj_3	Round_1_Replicate_4	-4688.27	9392.54	52734.96	145.51	2.6604,5.5607,4.1433,2.0808,1.1391,0.5833,0.4594,2.7708
ancmig_adj_3	Round_1_Replicate_5	-6053.91	12123.82	36393.18	414.13	4.9917,1.024,0.2175,1.4673,0.9679,0.4391,0.1809,0.144
ancmig_adj_3	Round_2_Replicate_1	-4562.23	9140.46	63426.79	154.14	0.7074,9.887,13.0141,1.0034,1.9401,0.7539,0.2838,1.448
ancmig_adj_3	Round_2_Replicate_2	-7414.92	14845.84	629029.36	231.17	1.9825,19.5476,1.4315,0.5309,0.3437,1.4925,0.184,2.2705
ancmig_adj_3	Round_2_Replicate_3	-5727.94	11471.88	296726.36	194.7	3.5987,20.8704,2.833,0.556,0.5085,0.1787,0.1663,2.4623
ancmig_adj_3	Round_2_Replicate_4	-7260.04	14536.08	1143671.5	77.17	1.7387,2.4785,12.6834,3.1575,0.7531,1.2411,0.2313,6.8045
ancmig_adj_3	Round_2_Replicate_5	-4818.55	9653.1	75929.8	89.2	3.0147,11.081,9.8555,2.1873,3.2461,1.8178,0.3229,4.6053
ancmig_adj_3	Round_3_Replicate_1	-7126.7	14269.4	1342592.84	148.22	0.4974,14.092,11.4735,0.6684,1.2452,1.0013,0.3401,1.8889
ancmig_adj_3	Round_3_Replicate_2	-4814.05	9644.1	94023.13	143.49	0.814,12.6221,14.5078,0.5845,2.4063,1.1045,0.5103,1.4021
ancmig_adj_3	Round_3_Replicate_3	-3798.06	7612.12	32257.85	142.81	1.263,6.9176,11.6596,1.0112,2.7793,0.8949,0.528,1.5923
ancmig_adj_3	Round_3_Replicate_4	-4316.59	8649.18	48233.1	122.87	1.3918,11.6575,10.3843,1.6989,1.2473,1.1224,0.2448,2.4068
ancmig_adj_3	Round_3_Replicate_5	-5900.16	11816.32	431581.15	109.42	1.0364,5.6139,25.0549,0.7961,1.412,0.4181,0.2399,2.5535
ancmig_adj_3	Round_3_Replicate_6	-4082.28	8180.56	44348.77	150.24	0.9837,7.3274,10.7164,1.8122,2.867,0.3826,0.4962,1.5468
ancmig_adj_3	Round_3_Replicate_7	-2828.98	5673.96	9460.05	169.37	1.1635,12.4489,10.1611,1.2711,3.3676,0.7806,0.1573,1.1018
ancmig_adj_3	Round_3_Replicate_8	-8160.3	16336.6	5072162.33	112.77	0.462,14.5957,22.6626,0.9433,1.2497,0.6442,0.1842,2.4994
ancmig_adj_3	Round_3_Replicate_9	-4469.74	8955.48	56666.55	178.2	0.5228,6.9518,9.5408,1.6815,2.0651,0.9825,0.4563,0.9297
ancmig_adj_3	Round_3_Replicate_10	-3418.98	6853.96	21859.3	133.15	1.3379,9.6542,16.1478,1.0984,1.5741,0.8249,0.4773,1.4075
