Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, m1, m2, T1, T2, T3)
refugia_adj_1	Round_1_Replicate_1	-7594.88	15207.76	43491.68	209.98	0.9863,1.6242,0.1496,3.6324,0.4046,0.4741,1.6145,4.6123,5.1008
refugia_adj_1	Round_1_Replicate_2	-8140.3	16298.6	37540.88	214.9	0.2148,0.5672,0.2264,3.3029,0.8813,0.8223,0.3421,5.4116,0.1347
refugia_adj_1	Round_1_Replicate_3	-5506.0	11030.0	21415.76	273.12	7.8053,6.2198,0.2043,0.2123,0.5849,0.4685,1.0557,0.964,0.7578
refugia_adj_1	Round_1_Replicate_4	-5543.35	11104.7	69677210.11	225.23	0.2839,0.1713,7.1881,0.6209,0.1523,5.5026,0.1715,0.9137,6.9018
refugia_adj_1	Round_1_Replicate_5	-3757.41	7532.82	9212.87	256.73	0.2409,0.8676,2.9324,0.7924,0.2161,0.1975,0.8458,0.7057,2.2215
refugia_adj_1	Round_2_Replicate_1	-4437.61	8893.22	29637.97	298.4	0.1826,0.5667,5.6346,0.2641,0.1333,0.2624,1.7868,0.1712,0.9696
refugia_adj_1	Round_2_Replicate_2	-2369.4	4756.8	4183.07	178.49	0.5901,1.6898,6.5032,1.4259,0.5032,0.3736,0.3237,2.0277,0.6958
refugia_adj_1	Round_2_Replicate_3	-2589.69	5197.38	3332.72	362.02	0.8171,0.483,1.3959,0.7747,0.7842,0.0659,0.415,0.4827,0.9092
refugia_adj_1	Round_2_Replicate_4	-5627.95	11273.9	76503.26	259.62	0.0721,2.892,8.0028,0.2047,0.5903,0.054,0.926,0.4182,0.9229
refugia_adj_1	Round_2_Replicate_5	-3491.7	7001.4	11809.04	236.37	0.4068,2.4618,4.74,0.5832,0.1292,0.0867,1.8176,0.4653,0.7208
refugia_adj_1	Round_3_Replicate_1	-2227.89	4473.78	14271.56	180.26	0.7541,2.1299,12.2678,0.8252,0.6424,0.6868,0.3189,1.3291,0.9736
refugia_adj_1	Round_3_Replicate_2	-2893.13	5804.26	5912.53	165.42	0.534,1.4585,4.7328,2.0983,0.3344,0.4091,0.4816,2.7689,0.909
refugia_adj_1	Round_3_Replicate_3	-2616.92	5251.84	5445.16	139.85	0.5326,2.5707,9.1639,2.6052,0.7296,0.2045,0.2242,2.5576,1.1282
refugia_adj_1	Round_3_Replicate_4	-2475.07	4968.14	4381.17	163.99	0.5788,2.1161,7.2807,1.6145,0.4484,0.2181,0.2138,2.2809,0.6567
refugia_adj_1	Round_3_Replicate_5	-2998.54	6015.08	8404.97	117.37	0.5607,2.2845,9.8667,2.7906,0.3126,0.3539,0.2075,3.7392,0.6425
refugia_adj_1	Round_3_Replicate_6	-2998.99	6015.98	14339.41	169.26	0.3198,1.807,10.3747,0.8249,0.5773,0.6855,0.2621,2.6255,1.1971
refugia_adj_1	Round_3_Replicate_7	-2283.95	4585.9	3131.07	182.59	0.6738,3.0342,5.7909,0.8692,0.3357,0.346,0.2572,2.2233,1.1109
refugia_adj_1	Round_3_Replicate_8	-3179.12	6376.24	16912.09	189.85	0.3217,1.5953,5.8693,2.3735,0.5974,0.4464,0.2825,1.1951,1.3221
refugia_adj_1	Round_3_Replicate_9	-2297.34	4612.68	4517.14	185.11	0.798,0.9479,6.9163,2.5229,0.3895,0.235,0.2362,1.2066,0.5539
refugia_adj_1	Round_3_Replicate_10	-3025.81	6069.62	12644.54	198.34	0.364,1.0021,4.9372,2.281,0.6748,0.5593,0.2365,1.7622,0.6158
