Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, m1, m2, T1, T2)
refugia_adj_2	Round_1_Replicate_1	-3851.15	7718.3	28363.56	281.1	0.3401,0.2839,5.9751,0.4125,0.3826,1.3862,5.7253,0.5637
refugia_adj_2	Round_1_Replicate_2	-5338.07	10692.14	29705438.13	218.78	1.1508,0.164,1.2398,0.8173,0.1286,7.3166,6.2574,2.9089
refugia_adj_2	Round_1_Replicate_3	-3894.34	7804.68	38334.75	260.94	0.5901,0.7448,1.4246,3.6009,3.6376,0.5658,1.617,1.6096
refugia_adj_2	Round_1_Replicate_4	-4763.62	9543.24	752588.03	476.91	0.1691,0.1964,0.8247,0.4291,0.5741,5.4687,3.6364,3.6443
refugia_adj_2	Round_1_Replicate_5	-5383.06	10782.12	15345.78	318.38	0.3122,0.7734,0.2822,1.225,1.5556,0.2388,7.312,0.5295
refugia_adj_2	Round_2_Replicate_1	-5195.94	10407.88	65545.93	348.09	0.1333,0.317,2.2451,0.158,0.5814,4.49,6.8909,0.4185
refugia_adj_2	Round_2_Replicate_2	-4536.19	9088.38	24186.82	571.86	0.0911,0.1542,4.2771,0.1432,0.5217,0.3642,1.5217,0.3512
refugia_adj_2	Round_2_Replicate_3	-4451.14	8918.28	1017462.71	475.72	0.4289,0.0712,11.2519,0.6118,0.3412,1.4642,1.4922,0.2918
refugia_adj_2	Round_2_Replicate_4	-4678.23	9372.46	28889.91	356.07	0.2119,0.2739,2.8891,0.3362,0.206,1.5256,4.6383,0.4984
refugia_adj_2	Round_2_Replicate_5	-4417.24	8850.48	136298.21	494.58	0.0978,0.3785,5.4841,0.1473,0.4899,4.702,2.19,0.6623
refugia_adj_2	Round_3_Replicate_1	-2999.77	6015.54	11284.27	278.72	0.415,0.1511,7.728,0.2301,0.7027,1.6995,5.3116,0.8033
refugia_adj_2	Round_3_Replicate_2	-3944.57	7905.14	77127.49	251.39	0.2037,0.1665,7.668,0.376,0.6632,1.9234,7.1323,0.8976
refugia_adj_2	Round_3_Replicate_3	-3374.35	6764.7	7363.05	243.22	0.2781,0.1965,6.9839,0.2345,0.5682,0.7048,6.2303,1.074
refugia_adj_2	Round_3_Replicate_4	-4763.46	9542.92	48753.21	261.38	0.2587,0.2684,5.7211,0.244,0.352,2.4932,8.1644,0.5373
refugia_adj_2	Round_3_Replicate_5	-3867.37	7750.74	11064.57	376.46	0.1709,0.2272,7.5465,0.2548,0.4838,0.8397,3.1051,0.4847
refugia_adj_2	Round_3_Replicate_6	-5402.27	10820.54	23886.57	214.12	0.3787,0.1679,4.2131,0.3959,0.2523,0.9549,11.2947,0.4594
refugia_adj_2	Round_3_Replicate_7	-5389.57	10795.14	115017.58	240.82	0.4037,0.2079,6.1067,0.4291,0.6583,1.5655,9.9565,0.2961
refugia_adj_2	Round_3_Replicate_8	-4034.41	8084.82	20646.91	278.64	0.2736,0.177,9.3576,0.3673,0.6644,1.2142,6.4118,0.477
refugia_adj_2	Round_3_Replicate_9	-4122.63	8261.26	11496.35	220.17	0.3584,0.2,6.7771,0.305,0.7154,1.1447,10.0447,0.5367
refugia_adj_2	Round_3_Replicate_10	-4894.89	9805.78	531911.83	311.84	0.1996,0.2673,11.7962,0.4684,0.242,2.112,4.0931,0.5587
