Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, mA, m1, m2, T1a, T1b, T2)
refugia_adj_3	Round_1_Replicate_1	-4247.08	8514.16	51903.63	380.98	0.7861,1.2726,0.5686,0.2091,0.1524,6.5631,5.6395,0.4309,5.3643,0.191
refugia_adj_3	Round_1_Replicate_2	-6868.71	13757.42	31494.61	306.37	0.6929,0.3447,0.1305,6.0776,1.1915,0.6162,0.8302,5.2132,0.4102,0.7566
refugia_adj_3	Round_1_Replicate_3	-5443.32	10906.64	5498032.83	265.1	7.9316,0.8642,0.2829,1.9301,2.5088,4.6053,1.0694,2.2719,0.7759,0.2534
refugia_adj_3	Round_1_Replicate_4	-3051.23	6122.46	6164.13	358.22	1.5039,0.9072,0.5838,0.7958,2.2004,1.9408,0.6382,0.4327,2.2994,0.9686
refugia_adj_3	Round_1_Replicate_5	-3721.16	7462.32	321380.68	479.75	0.168,5.6224,2.7356,1.1966,5.8624,0.1253,0.1265,0.2361,1.2771,0.1578
refugia_adj_3	Round_2_Replicate_1	-3736.3	7492.6	7322.44	568.03	0.7833,0.3395,0.293,1.089,1.816,2.4425,0.2031,0.5507,1.7244,0.5083
refugia_adj_3	Round_2_Replicate_2	-4380.72	8781.44	12430.83	391.81	2.4703,0.4422,0.2693,0.4947,2.4396,0.6767,0.2093,0.3974,6.1575,1.0115
refugia_adj_3	Round_2_Replicate_3	-3685.81	7391.62	258131.06	324.98	0.7932,3.3915,0.9511,1.1316,1.0928,5.5902,0.521,0.6572,0.6583,1.7188
refugia_adj_3	Round_2_Replicate_4	-3687.99	7395.98	126445.18	303.87	0.607,0.5229,1.3645,1.8411,0.9752,4.9297,0.6416,0.9279,1.3567,1.8795
refugia_adj_3	Round_2_Replicate_5	-5170.5	10361.0	16003.15	421.57	0.9175,0.539,0.2006,2.2634,3.3018,0.5897,0.8542,0.1874,1.1156,1.0463
refugia_adj_3	Round_3_Replicate_1	-2393.83	4807.66	3271.19	325.01	1.8113,1.2597,1.0054,0.3984,2.3694,1.3078,0.808,0.8398,1.5258,0.9131
refugia_adj_3	Round_3_Replicate_2	-3426.76	6873.52	8908.88	414.27	1.4793,0.9287,0.4337,0.3982,2.5137,3.068,0.4231,0.6305,1.7798,1.7703
refugia_adj_3	Round_3_Replicate_3	-3380.82	6781.64	18016.22	399.53	1.1894,1.2219,0.5,0.7318,2.6986,3.565,0.6604,0.7852,1.1748,0.947
refugia_adj_3	Round_3_Replicate_4	-2959.6	5939.2	4212.89	342.41	0.9319,1.46,0.7585,1.3102,2.7022,1.2013,0.6073,0.678,1.2783,0.9889
refugia_adj_3	Round_3_Replicate_5	-2237.69	4495.38	3118.89	342.81	1.7027,0.6304,1.1133,0.6459,1.4951,1.2493,0.6258,0.2227,1.6021,0.8731
refugia_adj_3	Round_3_Replicate_6	-2518.38	5056.76	3196.81	339.67	1.4348,0.857,0.8587,0.613,1.8765,1.1009,0.9412,0.2762,4.3833,0.834
refugia_adj_3	Round_3_Replicate_7	-3314.96	6649.92	22677.74	323.58	2.9319,0.5739,0.6028,0.8967,1.7129,2.0189,1.2403,0.3628,2.4194,0.8903
refugia_adj_3	Round_3_Replicate_8	-3496.19	7012.38	7817.85	452.67	1.3363,0.7962,0.2925,0.4613,3.5621,1.1453,0.8627,0.5672,1.2522,1.8983
refugia_adj_3	Round_3_Replicate_9	-3150.78	6321.56	5952.75	335.78	2.3089,0.5169,0.5088,0.8025,1.6314,1.2947,0.4351,0.4165,4.4239,1.1093
refugia_adj_3	Round_3_Replicate_10	-3111.37	6242.74	11100.21	320.57	1.4605,0.8838,0.782,1.0616,1.1129,2.2397,0.3389,0.8538,3.5316,0.7131
