Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, T1, T2)
split_nomig	Round_1_Replicate_1	-3528.02	7068.04	245853.52	343.14	6.9149,0.9863,1.8976,3.1556,0.1772,0.3166
split_nomig	Round_1_Replicate_2	-4830.31	9672.62	430850.21	398.36	1.4686,1.0395,1.0972,2.9176,1.0219,0.1474
split_nomig	Round_1_Replicate_3	-12361.62	24735.24	2.45480915979e+16	165.33	1.8195,1.8211,0.1275,0.5759,3.979,5.6631
split_nomig	Round_1_Replicate_4	-6523.68	13059.36	558160.46	157.46	1.6148,5.0473,4.8767,0.1255,6.4067,0.1569
split_nomig	Round_1_Replicate_5	-12944.7	25901.4	3.44334476952e+11	239.01	1.8246,1.3476,1.4312,0.2598,0.1285,4.1527
split_nomig	Round_2_Replicate_1	-3099.48	6210.96	493416.93	324.43	8.9764,0.2993,5.9909,2.5412,0.1295,0.338
split_nomig	Round_2_Replicate_2	-3133.86	6279.72	26521.77	303.26	15.0465,3.0032,1.7297,1.0555,0.472,0.2047
split_nomig	Round_2_Replicate_3	-3614.15	7240.3	486427.22	270.13	11.2002,2.6421,4.3189,3.232,0.1047,0.4505
split_nomig	Round_2_Replicate_4	-3900.04	7812.08	1087069.16	251.35	17.79,3.2554,5.2033,3.4299,0.0934,0.489
split_nomig	Round_2_Replicate_5	-5924.04	11860.08	550521.78	430.6	20.243,0.3308,0.4953,4.6193,0.4631,0.0977
split_nomig	Round_3_Replicate_1	-2821.95	5655.9	108933.09	359.62	4.4043,0.3508,3.7072,2.2465,0.0978,0.3321
split_nomig	Round_3_Replicate_2	-2441.28	4894.56	7091.34	328.48	6.0105,0.1809,4.3368,1.2749,0.0751,0.4411
split_nomig	Round_3_Replicate_3	-3184.43	6380.86	622834.55	282.78	10.1629,0.207,9.0661,3.0938,0.0678,0.432
split_nomig	Round_3_Replicate_4	-3656.84	7325.68	7179497.49	305.96	5.8873,0.2034,7.8173,4.3563,0.1269,0.3759
split_nomig	Round_3_Replicate_5	-2904.09	5820.18	24924.08	261.12	10.6289,0.1837,5.7462,2.3203,0.0985,0.5605
split_nomig	Round_3_Replicate_6	-3235.5	6483.0	1657253.81	339.49	7.3157,0.3377,9.3373,2.5185,0.0736,0.304
split_nomig	Round_3_Replicate_7	-2914.3	5840.6	74361.04	285.38	6.8924,0.2845,5.8912,2.5228,0.1472,0.4568
split_nomig	Round_3_Replicate_8	-3530.94	7073.88	9833541.9	395.28	7.2785,0.4252,4.3466,2.7962,0.1689,0.2064
split_nomig	Round_3_Replicate_9	-2974.19	5960.38	169239.23	362.65	11.0871,0.1717,4.8156,1.8935,0.0772,0.3081
split_nomig	Round_3_Replicate_10	-3479.66	6971.32	2676564.85	403.02	6.8638,0.2862,3.2335,2.8815,0.1437,0.2294
