Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, mA, m1, m2, m3, T1, T2)
split_symmig_adjacent	Round_1_Replicate_1	-2541.74	5101.48	12437.62	153.78	0.9477,0.1337,8.438,0.9162,4.4564,1.3909,0.1579,0.171,6.894
split_symmig_adjacent	Round_1_Replicate_2	-5291.27	10600.54	115847.93	726.19	0.3313,2.2735,0.1308,1.6143,0.1476,5.3422,4.6199,0.1934,3.4251
split_symmig_adjacent	Round_1_Replicate_3	-1987.77	3993.54	24367.49	285.09	4.2513,1.0585,6.7441,0.1989,2.0853,0.1752,2.6694,0.7995,0.5284
split_symmig_adjacent	Round_1_Replicate_4	-3345.92	6709.84	456827.24	336.88	0.9381,1.0402,1.4207,0.2399,3.3193,5.6229,1.0747,6.4167,5.9374
split_symmig_adjacent	Round_1_Replicate_5	-2168.37	4354.74	2343.1	158.72	5.6632,0.1589,2.5363,0.4865,0.1675,0.1716,0.3332,2.5119,3.4088
split_symmig_adjacent	Round_2_Replicate_1	-2364.52	4747.04	335352.19	513.85	1.1509,0.405,24.6245,0.1344,4.5906,0.0542,7.4416,0.8297,0.2307
split_symmig_adjacent	Round_2_Replicate_2	-2392.76	4803.52	14160.76	237.4	1.1489,3.7111,16.8573,0.2191,1.5881,0.0626,1.5839,0.5447,1.3951
split_symmig_adjacent	Round_2_Replicate_3	-3789.8	7597.6	92432323.54	228.92	2.4128,1.3169,9.357,0.6744,2.576,0.0445,7.5352,1.7331,1.0918
split_symmig_adjacent	Round_2_Replicate_4	-1607.73	3233.46	1924.48	421.64	1.8067,0.8671,3.5623,0.192,1.6296,0.3947,1.3276,0.3116,0.3038
split_symmig_adjacent	Round_2_Replicate_5	-2362.27	4742.54	12133.99	267.82	3.8108,0.442,23.2894,0.1133,0.6321,0.5524,3.2135,0.7142,1.0331
split_symmig_adjacent	Round_3_Replicate_1	-1682.72	3383.44	4126.21	475.99	1.0118,1.0335,3.0497,0.2033,2.6884,0.6891,1.9725,0.2108,0.3058
split_symmig_adjacent	Round_3_Replicate_2	-1926.01	3870.02	9638.53	449.27	2.6695,0.5694,5.8925,0.2115,2.399,0.233,2.077,0.1583,0.2364
split_symmig_adjacent	Round_3_Replicate_3	-2075.61	4169.22	20322.59	414.33	3.315,0.7238,2.2898,0.3442,0.8231,0.2225,2.2964,0.3547,0.2604
split_symmig_adjacent	Round_3_Replicate_4	-1861.72	3741.44	3375.82	423.51	2.9695,0.6308,6.9109,0.192,0.8419,0.5467,1.4028,0.4114,0.1758
split_symmig_adjacent	Round_3_Replicate_5	-1770.56	3559.12	6426.14	411.5	2.0153,1.1856,2.9075,0.2331,2.2541,0.6469,1.8583,0.1988,0.3974
split_symmig_adjacent	Round_3_Replicate_6	-1738.79	3495.58	7490.18	432.41	1.8407,1.3744,3.1304,0.1911,2.7951,0.4136,2.357,0.1608,0.3721
split_symmig_adjacent	Round_3_Replicate_7	-1560.62	3139.24	1847.16	388.33	1.7192,0.4878,2.8341,0.256,1.8463,0.5652,1.1585,0.255,0.5842
split_symmig_adjacent	Round_3_Replicate_8	-1731.25	3480.5	4314.36	410.73	2.0829,0.47,2.9301,0.1447,1.7473,0.3033,2.4505,0.5266,0.4555
split_symmig_adjacent	Round_3_Replicate_9	-1774.54	3567.08	1634.35	427.0	2.5002,0.9876,2.6762,0.1338,1.5469,0.2027,0.9466,0.3648,0.2502
split_symmig_adjacent	Round_3_Replicate_10	-1875.62	3769.24	59525.37	354.89	1.3986,0.7429,6.3979,0.3618,3.2294,0.357,2.1617,0.316,0.5094
