Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, mA, m1, m2, m3, T1, T2)
split_symmig_all	Round_1_Replicate_1	-4218.49	8456.98	4208921.57	370.41	0.2016,4.7118,2.1426,0.3794,0.9821,0.1933,2.3901,6.8607,2.9948,0.2354
split_symmig_all	Round_1_Replicate_2	-6516.34	13052.68	77659.94	744.72	0.3639,0.3771,0.1336,0.6915,0.8621,0.6024,0.9009,3.1906,1.7451,1.5162
split_symmig_all	Round_1_Replicate_3	-1944.26	3908.52	1500.37	153.79	2.0177,6.6901,4.9346,0.4976,0.1459,0.2526,0.2993,0.29,3.1591,3.3367
split_symmig_all	Round_1_Replicate_4	-6356.28	12732.56	37231.89	226.81	3.1912,6.7647,0.304,0.3934,1.2866,0.3789,0.1321,1.6538,5.8281,0.7444
split_symmig_all	Round_1_Replicate_5	-3918.98	7857.96	29160756.83	380.94	1.1136,0.6965,7.7185,0.6328,0.2398,1.5497,4.8988,1.2231,0.7771,0.3217
split_symmig_all	Round_2_Replicate_1	-2256.08	4532.16	4589.77	116.39	1.3798,5.2727,12.9181,0.8885,0.3713,0.1163,0.2899,0.4765,0.9112,4.9675
split_symmig_all	Round_2_Replicate_2	-3433.03	6886.06	7964.52	170.43	3.0686,25.8175,1.6035,0.2785,0.2873,0.6148,0.1343,0.5679,9.7815,4.938
split_symmig_all	Round_2_Replicate_3	-2633.04	5286.08	2808.29	250.76	0.8278,18.2459,1.7262,0.6539,0.4117,0.5584,0.3785,0.4419,1.8156,6.3242
split_symmig_all	Round_2_Replicate_4	-2634.0	5288.0	5226.4	138.76	0.6053,5.9997,15.2697,0.3257,0.2286,0.2253,0.7695,0.2289,11.5126,2.1687
split_symmig_all	Round_2_Replicate_5	-2060.77	4141.54	2015.02	143.62	1.3751,9.5326,9.5538,0.2655,0.3964,0.0927,0.4216,0.3565,3.361,3.2898
split_symmig_all	Round_3_Replicate_1	-2139.86	4299.72	5024.25	112.27	3.2745,5.3159,8.8997,0.3606,0.1105,0.2742,0.3136,0.3782,4.5185,6.5097
split_symmig_all	Round_3_Replicate_2	-2119.77	4259.54	3521.08	119.47	2.0299,13.2479,8.1266,0.7704,0.1061,0.2772,0.2875,0.3988,3.6779,4.0564
split_symmig_all	Round_3_Replicate_3	-2201.61	4423.22	3255.61	163.12	2.9772,6.0969,3.9988,0.6445,0.1383,0.217,0.1615,0.4751,2.0688,2.4387
split_symmig_all	Round_3_Replicate_4	-1688.07	3396.14	1404.01	162.15	3.2552,5.3829,4.8777,0.4886,0.079,0.1912,0.5336,0.2152,1.668,2.8172
split_symmig_all	Round_3_Replicate_5	-1794.68	3609.36	1665.49	145.43	2.6044,6.4845,8.4782,0.2755,0.1798,0.122,0.5068,0.4185,2.4864,3.3401
split_symmig_all	Round_3_Replicate_6	-2210.24	4440.48	2730.99	142.79	2.5712,10.1287,4.8723,0.4341,0.2454,0.2405,0.2487,0.4691,3.2988,4.9754
split_symmig_all	Round_3_Replicate_7	-2293.73	4607.46	2248.29	143.78	1.4944,12.4257,5.0824,0.512,0.2175,0.2863,0.1871,0.3866,3.9724,6.0462
split_symmig_all	Round_3_Replicate_8	-2100.96	4221.92	3666.99	141.69	3.4485,4.3726,5.05,0.4581,0.0734,0.1824,0.4437,0.4928,2.673,5.5375
split_symmig_all	Round_3_Replicate_9	-2031.14	4082.28	1959.65	165.53	1.3017,3.4971,6.7985,0.2884,0.2018,0.3298,0.359,0.3111,2.2014,4.5462
split_symmig_all	Round_3_Replicate_10	-1980.96	3981.92	1761.97	183.66	2.1467,6.6539,3.0439,0.8295,0.1397,0.146,0.4688,0.2118,2.4157,1.7333
