Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2)
anc_asym_mig	Round_1_Replicate_1	-1145.29	2302.58	16680.93	65.16	3.5582,2.4694,2.0517,6.2301,1.5634,6.082
anc_asym_mig	Round_1_Replicate_2	-763.72	1539.44	1451.75	304.65	0.7639,0.3766,1.1218,3.6744,2.4808,0.4968
anc_asym_mig	Round_1_Replicate_3	-1410.72	2833.44	3457.34	66.4	0.9828,6.098,0.4542,0.5723,6.0329,1.4242
anc_asym_mig	Round_1_Replicate_4	-1861.08	3734.16	3.49515487784e+12	125.34	0.4313,0.1341,7.8435,0.3474,1.5587,6.4831
anc_asym_mig	Round_1_Replicate_5	-683.76	1379.52	1061.59	372.59	0.4167,0.401,1.0353,1.0491,1.5603,0.273
anc_asym_mig	Round_1_Replicate_6	-1821.29	3654.58	120193.31	223.74	1.236,0.2209,0.5014,0.177,3.7769,1.0504
anc_asym_mig	Round_1_Replicate_7	-1456.64	2925.28	3349.55	146.01	0.4153,3.2355,0.8235,0.1672,1.1951,0.217
anc_asym_mig	Round_1_Replicate_8	-1187.04	2386.08	2542.63	238.14	0.4684,1.4399,0.1705,0.2315,0.3454,0.2336
anc_asym_mig	Round_1_Replicate_9	-1432.76	2877.52	14125.69	60.68	1.2468,5.6498,1.247,0.1211,3.0622,3.9474
anc_asym_mig	Round_1_Replicate_10	-962.44	1936.88	3954.69	796.06	0.1625,0.127,0.7633,1.2118,0.9527,0.1464
anc_asym_mig	Round_2_Replicate_1	-891.79	1795.58	1482.89	385.08	0.2663,0.5728,1.6527,2.6505,0.5855,0.2704
anc_asym_mig	Round_2_Replicate_2	-728.96	1469.92	1059.71	219.51	0.5806,0.9076,0.9832,0.2472,3.1828,0.4052
anc_asym_mig	Round_2_Replicate_3	-1177.34	2366.68	3245.41	268.41	0.2103,1.0477,2.1155,0.5069,1.5313,0.3944
anc_asym_mig	Round_2_Replicate_4	-827.63	1667.26	2633.13	871.12	0.1689,0.1314,1.6909,0.457,1.7977,0.1055
anc_asym_mig	Round_2_Replicate_5	-1979.73	3971.46	27776.87	292.53	0.3587,1.0849,1.8941,3.4813,6.168,0.1125
anc_asym_mig	Round_2_Replicate_6	-1257.71	2527.42	5041.11	133.96	1.4489,1.1641,0.398,0.8381,5.9051,0.2337
anc_asym_mig	Round_2_Replicate_7	-779.23	1570.46	1279.38	270.68	0.8493,0.4015,1.2352,1.8859,4.492,0.3933
anc_asym_mig	Round_2_Replicate_8	-2482.43	4976.86	132198.72	211.36	0.6547,1.3685,0.8925,2.5177,2.7694,0.1024
anc_asym_mig	Round_2_Replicate_9	-966.52	1945.04	1699.94	534.38	0.1687,0.3595,0.5832,2.1613,0.5722,0.0936
anc_asym_mig	Round_2_Replicate_10	-1171.12	2354.24	11147.61	708.16	0.2368,0.1301,1.7885,0.2613,0.7205,0.2443
