Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
anc_asym_mig_size	Round_1_Replicate_1	-944.7	1905.4	3575.57	410.95	4.3595,0.9249,0.1758,0.3612,3.2821,0.2463,6.7041,0.4219
anc_asym_mig_size	Round_1_Replicate_2	-929.0	1874.0	2953.33	220.99	0.1556,6.2098,0.4528,0.5557,0.8566,0.2538,2.0588,0.4624
anc_asym_mig_size	Round_1_Replicate_3	-1031.42	2078.84	6146.48	161.14	0.1547,7.3757,1.268,0.671,0.4104,0.4046,6.6811,1.0144
anc_asym_mig_size	Round_1_Replicate_4	-1326.23	2668.46	3338.49	233.9	1.0128,2.5495,0.345,1.5884,7.61,0.1893,0.2208,0.3318
anc_asym_mig_size	Round_1_Replicate_5	-1155.68	2327.36	3302.85	423.89	0.2369,4.9237,0.1636,0.3517,0.214,1.6901,2.2392,0.1771
anc_asym_mig_size	Round_1_Replicate_6	-1513.75	3043.5	20454.82	106.92	0.4473,1.1476,4.7262,0.8106,1.9992,0.9669,0.1642,2.8539
anc_asym_mig_size	Round_1_Replicate_7	-2797.26	5610.52	1727709.03	153.86	3.3098,0.3567,5.0469,0.1585,0.4502,1.7114,0.1226,1.4872
anc_asym_mig_size	Round_1_Replicate_8	-1346.56	2709.12	4415.38	62.75	0.7779,0.5251,5.3482,4.3647,0.4783,1.6558,6.8882,3.2233
anc_asym_mig_size	Round_1_Replicate_9	-1462.51	2941.02	4180.32	100.53	0.2524,1.2026,1.4908,4.584,6.5998,2.5862,5.2365,1.3923
anc_asym_mig_size	Round_1_Replicate_10	-751.99	1519.98	1766.29	380.81	0.2407,0.9132,0.5584,0.3037,2.9547,2.5788,2.0665,0.4663
anc_asym_mig_size	Round_2_Replicate_1	-1060.01	2136.02	7273.76	468.0	0.0976,0.9041,0.6384,0.2908,2.5345,4.2628,1.7814,0.5984
anc_asym_mig_size	Round_2_Replicate_2	-1066.1	2148.2	3186.9	248.48	0.3084,1.0287,1.8503,0.3543,1.9215,1.5133,0.5314,0.72
