Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2)
anc_sym_mig	Round_1_Replicate_1	-2529.37	5068.74	19896652.99	165.79	2.2871,0.2227,0.5995,0.6139,2.3473
anc_sym_mig	Round_1_Replicate_2	-846.23	1702.46	1317.51	329.4	0.3184,0.6907,0.3235,0.4899,0.1493
anc_sym_mig	Round_1_Replicate_3	-2504.24	5018.48	45543210.86	305.79	0.2448,0.4188,0.8802,5.2758,1.9962
anc_sym_mig	Round_1_Replicate_4	-891.04	1792.08	1668.57	332.02	0.8614,0.306,2.4089,0.3271,0.3598
anc_sym_mig	Round_1_Replicate_5	-945.58	1901.16	4673.08	157.81	1.5681,0.9329,1.4529,0.8637,1.7722
anc_sym_mig	Round_1_Replicate_6	-1660.64	3331.28	6619.61	189.74	3.0674,0.3277,2.0334,3.63,0.2411
anc_sym_mig	Round_1_Replicate_7	-1442.38	2894.76	5773.0	56.03	5.2976,4.9685,0.8845,0.9232,3.4844
anc_sym_mig	Round_1_Replicate_8	-1327.07	2664.14	4102.35	175.69	2.8329,0.357,3.0583,3.7519,0.8133
anc_sym_mig	Round_1_Replicate_9	-2074.03	4158.06	982739.63	136.68	2.7672,0.3892,6.1839,0.3883,3.1509
anc_sym_mig	Round_1_Replicate_10	-1824.5	3659.0	44330.79	182.79	0.2247,1.4793,0.275,2.7579,0.8435
anc_sym_mig	Round_2_Replicate_1	-1808.76	3627.52	16106.28	229.03	0.1444,1.4298,0.2743,1.2933,0.3409
anc_sym_mig	Round_2_Replicate_2	-1145.65	2301.3	3067.05	263.19	0.6551,0.9754,0.0982,0.2311,0.2464
anc_sym_mig	Round_2_Replicate_3	-693.57	1397.14	1006.34	432.66	0.4052,0.2536,0.1198,0.2758,0.0551
anc_sym_mig	Round_2_Replicate_4	-1709.65	3429.3	5411.09	302.2	0.1311,1.4803,0.5448,0.1546,0.0679
anc_sym_mig	Round_2_Replicate_5	-1030.68	2071.36	2297.99	285.03	0.9655,0.4225,0.8079,0.8249,0.1374
anc_sym_mig	Round_2_Replicate_6	-928.09	1866.18	1766.12	209.48	0.5401,1.2401,0.6259,1.119,0.5408
anc_sym_mig	Round_2_Replicate_7	-871.01	1752.02	1432.43	541.39	0.1341,0.3509,0.8638,1.4773,0.0619
anc_sym_mig	Round_2_Replicate_8	-1863.37	3736.74	10161.63	281.34	0.2182,1.7457,0.4614,0.1437,0.0684
anc_sym_mig	Round_2_Replicate_9	-1396.95	2803.9	10630.52	529.8	0.1571,0.176,0.2736,1.9318,0.1421
anc_sym_mig	Round_2_Replicate_10	-668.21	1346.42	843.89	531.75	0.1569,0.2226,0.4804,0.113,0.083
anc_sym_mig	Round_2_Replicate_11	-2165.42	4340.84	9500.04	212.5	0.1063,2.8103,0.1383,0.5147,0.0604
anc_sym_mig	Round_2_Replicate_12	-943.01	1896.02	1825.01	414.21	0.6218,0.1809,0.7577,0.1865,0.1077
anc_sym_mig	Round_2_Replicate_13	-698.7	1407.4	1141.38	378.25	0.495,0.3449,0.383,0.4239,0.1816
anc_sym_mig	Round_2_Replicate_14	-849.01	1708.02	1445.74	241.35	0.7859,0.8677,0.33,0.4708,0.4427
anc_sym_mig	Round_2_Replicate_15	-642.96	1295.92	882.98	513.41	0.27,0.2155,0.581,1.9678,0.0321
anc_sym_mig	Round_2_Replicate_16	-841.43	1692.86	1209.08	474.75	0.1628,0.3665,0.7943,0.2785,0.0523
anc_sym_mig	Round_2_Replicate_17	-1968.53	3947.06	11905.65	244.77	0.2902,2.5749,0.0828,0.2053,0.0484
anc_sym_mig	Round_2_Replicate_18	-1111.92	2233.84	3212.34	259.87	0.3112,1.1161,0.7255,0.4993,0.4984
anc_sym_mig	Round_2_Replicate_19	-1251.64	2513.28	3037.69	274.25	0.2324,1.1933,1.0198,0.4247,0.3306
anc_sym_mig	Round_2_Replicate_20	-958.71	1927.42	1905.71	246.42	1.0451,0.4938,0.4312,1.4766,0.0591
anc_sym_mig	Round_3_Replicate_1	-837.24	1684.48	1795.74	209.83	0.9704,0.2822,0.1936,6.4051,0.015
anc_sym_mig	Round_3_Replicate_2	-666.12	1342.24	959.41	293.36	0.6091,0.4271,0.3126,1.8352,0.1148
anc_sym_mig	Round_3_Replicate_3	-692.0	1394.0	1172.16	561.07	0.257,0.1688,0.3294,0.6274,0.0109
anc_sym_mig	Round_3_Replicate_4	-981.27	1972.54	1959.04	635.25	0.4052,0.139,2.1363,8.4777,0.0651
anc_sym_mig	Round_3_Replicate_5	-1189.76	2389.52	3302.94	300.76	0.9272,0.2693,0.9416,3.2309,0.0605
anc_sym_mig	Round_3_Replicate_6	-991.42	1992.84	1669.67	342.68	0.2571,0.7052,0.7568,0.5257,0.1129
anc_sym_mig	Round_3_Replicate_7	-703.39	1416.78	953.03	425.57	0.4174,0.2707,0.8509,2.7828,0.0869
anc_sym_mig	Round_3_Replicate_8	-655.93	1321.86	824.93	1123.8	0.1108,0.0951,2.1301,0.6738,0.0176
anc_sym_mig	Round_3_Replicate_9	-665.64	1341.28	890.5	328.43	0.3256,0.3993,0.3575,6.5699,0.0457
anc_sym_mig	Round_3_Replicate_10	-861.91	1733.82	1576.15	340.01	0.8199,0.2807,0.3728,0.5112,0.1358
anc_sym_mig	Round_3_Replicate_11	-743.07	1496.14	1290.02	250.06	0.8883,0.3788,0.2174,2.3449,0.0906
anc_sym_mig	Round_3_Replicate_12	-1361.84	2733.68	4615.54	391.66	0.835,0.1764,1.7011,0.7968,0.0639
anc_sym_mig	Round_3_Replicate_13	-963.1	1936.2	1562.01	304.61	0.2929,0.764,0.656,1.335,0.1123
anc_sym_mig	Round_3_Replicate_14	-663.42	1336.84	1029.5	769.78	0.1834,0.1256,0.8593,1.8675,0.023
anc_sym_mig	Round_3_Replicate_15	-845.84	1701.68	1730.22	281.01	0.764,0.2186,0.3172,4.8519,0.0152
anc_sym_mig	Round_3_Replicate_16	-764.63	1539.26	1063.79	880.17	0.1931,0.1366,1.7703,5.081,0.0214
anc_sym_mig	Round_3_Replicate_17	-809.37	1628.74	1345.38	484.8	0.4761,0.2168,1.9082,4.4031,0.168
anc_sym_mig	Round_3_Replicate_18	-1059.36	2128.72	2660.19	213.71	0.8839,0.6229,0.6065,4.4092,0.0721
anc_sym_mig	Round_3_Replicate_19	-631.13	1272.26	813.56	594.9	0.2101,0.1795,0.6151,0.4743,0.0117
anc_sym_mig	Round_3_Replicate_20	-683.21	1376.42	1117.15	438.35	0.3344,0.2646,0.2424,1.0146,0.0262
anc_sym_mig	Round_3_Replicate_21	-737.36	1484.72	1107.44	366.92	0.2865,0.4832,0.507,1.4827,0.1281
