Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
anc_sym_mig_size	Round_1_Replicate_1	-1574.56	3163.12	5485.49	99.67	1.3572,0.3354,5.9687,2.4008,1.0515,1.53,1.2508
anc_sym_mig_size	Round_1_Replicate_2	-2830.48	5674.96	184751963.63	442.64	3.5358,0.1872,0.1834,0.188,4.224,4.0746,1.4756
anc_sym_mig_size	Round_1_Replicate_3	-1470.16	2954.32	3107.75	253.99	0.1908,0.2188,0.6876,5.0693,0.4726,3.2094,0.2172
anc_sym_mig_size	Round_1_Replicate_4	-1007.95	2029.9	2218.62	132.93	0.3672,6.4825,4.7349,0.4554,0.1193,3.7223,0.1718
anc_sym_mig_size	Round_1_Replicate_5	-2422.8	4859.6	180093.19	134.4	6.9343,2.2188,0.5639,1.7971,1.7239,1.3032,0.1663
anc_sym_mig_size	Round_1_Replicate_6	-806.47	1626.94	2524.36	262.88	4.6882,0.19,0.3636,0.5807,0.4984,2.3829,0.3843
anc_sym_mig_size	Round_1_Replicate_7	-6283.3	12580.6	402318309.01	170.14	5.9802,0.8279,5.9291,5.248,3.6584,0.1614,0.1942
anc_sym_mig_size	Round_1_Replicate_8	-1799.78	3613.56	256253.32	223.23	0.5636,0.8704,0.7261,0.4116,1.3076,4.2904,2.2
anc_sym_mig_size	Round_1_Replicate_9	-2761.2	5536.4	55907210.62	461.43	1.5614,0.1464,0.1559,0.1904,0.5741,0.5141,1.1241
anc_sym_mig_size	Round_1_Replicate_10	-1576.48	3166.96	99342.89	192.87	0.141,0.4278,1.3137,0.5319,0.3919,6.4924,1.8293
anc_sym_mig_size	Round_2_Replicate_1	-1099.56	2213.12	5943.32	198.63	1.3201,0.1148,1.3788,0.7995,0.311,1.6397,0.6584
anc_sym_mig_size	Round_2_Replicate_2	-849.49	1712.98	1601.0	134.91	9.7211,0.5958,0.3133,1.2707,0.6559,6.6679,0.1726
