Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T)
asym_mig	Round_1_Replicate_1	-2270.81	4551.62	34192.45	156.05	4.0682,0.3703,0.706,0.2968,3.2418
asym_mig	Round_1_Replicate_2	-4174.34	8358.68	9406795.71	292.05	1.1502,0.6178,0.1298,2.9563,0.1993
asym_mig	Round_1_Replicate_3	-7892.56	15795.12	18654880764.1	200.07	2.8863,4.0486,0.2382,1.1035,0.2158
asym_mig	Round_1_Replicate_4	-4769.96	9549.92	12612559.39	62.27	0.3849,8.0059,5.3329,0.4797,5.5579
asym_mig	Round_1_Replicate_5	-3426.45	6862.9	1421322.39	189.3	2.2644,1.1764,0.6657,0.6673,0.6395
asym_mig	Round_1_Replicate_6	-6089.25	12188.5	506020938.04	213.87	3.5191,1.4336,0.2967,1.6289,0.26
asym_mig	Round_1_Replicate_7	-6096.9	12203.8	4922665981.85	76.47	2.9892,7.9427,1.5729,3.3328,1.8576
asym_mig	Round_1_Replicate_8	-7763.6	15537.2	16112835781.6	199.39	5.2757,1.4707,0.4092,3.356,0.272
asym_mig	Round_1_Replicate_9	-3717.89	7445.78	2462525.02	349.69	1.1409,0.2959,3.5073,1.9714,0.1837
asym_mig	Round_1_Replicate_10	-4339.23	8688.46	7422819.22	184.68	6.0017,0.5472,1.4871,1.5684,0.7576
asym_mig	Round_2_Replicate_1	-2383.0	4776.0	85085.39	299.87	1.3835,0.2824,1.6324,0.9362,1.0655
asym_mig	Round_2_Replicate_2	-1871.66	3753.32	7166.82	100.16	6.2051,0.2674,0.157,0.08,4.4375
asym_mig	Round_2_Replicate_3	-1888.13	3786.26	9962.46	93.99	7.9141,0.5644,0.1964,0.2811,3.2995
asym_mig	Round_2_Replicate_4	-4388.83	8787.66	10081092.08	145.11	5.8269,1.2854,0.9412,0.5284,0.9377
asym_mig	Round_2_Replicate_5	-3202.82	6415.64	285620.02	118.96	11.6932,0.5669,0.8376,0.2785,2.8051
asym_mig	Round_2_Replicate_6	-1909.48	3828.96	13889.93	103.23	4.4024,0.3926,0.3112,0.6014,6.5159
asym_mig	Round_2_Replicate_7	-1628.54	3267.08	5462.48	189.42	3.289,0.2472,0.3197,0.2678,1.4452
asym_mig	Round_2_Replicate_8	-3060.99	6131.98	249715.1	317.84	2.8313,0.281,2.1569,0.0663,2.7739
asym_mig	Round_2_Replicate_9	-3667.26	7344.52	1727898.86	87.86	7.1277,1.1771,0.1951,1.061,2.6054
asym_mig	Round_2_Replicate_10	-2658.17	5326.34	13961.14	127.52	13.2659,0.1192,0.3116,0.1969,1.8186
asym_mig	Round_2_Replicate_11	-3458.85	6927.7	1172413.95	146.25	4.4558,0.6734,1.2826,0.4539,5.0605
asym_mig	Round_2_Replicate_12	-2561.12	5132.24	17231.3	124.5	6.4459,0.1545,0.5036,0.1445,11.1143
asym_mig	Round_2_Replicate_13	-2250.06	4510.12	11459.38	173.55	5.1962,0.1233,0.4808,0.3849,1.7328
asym_mig	Round_2_Replicate_14	-3262.84	6535.68	792504.78	197.54	3.5297,0.6881,1.5043,0.0632,1.1276
asym_mig	Round_2_Replicate_15	-1101.56	2213.12	2450.44	254.01	1.3217,0.2161,0.1681,0.9593,1.9731
asym_mig	Round_2_Replicate_16	-2935.94	5881.88	223179.8	180.7	6.5364,0.5496,1.0079,0.1513,0.9241
asym_mig	Round_2_Replicate_17	-1990.22	3990.44	31786.5	168.13	2.9247,1.0253,0.2235,0.253,0.9314
asym_mig	Round_2_Replicate_18	-1646.08	3302.16	6247.69	175.62	2.5552,0.1495,0.3274,0.6627,3.4865
asym_mig	Round_2_Replicate_19	-4944.21	9898.42	32521197.62	129.63	8.8393,1.1341,1.4738,0.4436,1.7356
asym_mig	Round_2_Replicate_20	-5083.29	10176.58	61153790.34	156.93	4.3753,1.1449,2.1232,0.3428,1.8571
asym_mig	Round_3_Replicate_1	-1270.06	2550.12	2923.02	167.56	3.2652,0.2703,0.0395,0.6057,1.7659
asym_mig	Round_3_Replicate_2	-1092.57	2195.14	2585.9	404.83	0.6393,0.1843,0.3428,1.457,0.6126
asym_mig	Round_3_Replicate_3	-744.35	1498.7	1140.79	610.8	0.3561,0.1088,0.0654,1.4175,1.5053
