Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
asym_mig_size	Round_1_Replicate_1	-867.52	1751.04	1401.64	196.0	4.0461,2.4114,0.3512,0.9924,0.1317,0.1342,1.6324,1.439
asym_mig_size	Round_1_Replicate_2	-2090.07	4196.14	26682.4	155.13	0.1403,1.9508,1.8664,2.0086,0.3008,0.3347,0.9749,0.6178
asym_mig_size	Round_1_Replicate_3	-3501.99	7019.98	581161.24	133.79	0.7329,7.337,0.5327,5.1286,1.5042,0.3749,0.612,0.1914
asym_mig_size	Round_1_Replicate_4	-1594.1	3204.2	12395.16	432.13	1.0877,3.82,0.2016,0.2168,3.0537,1.8597,0.3782,0.2043
asym_mig_size	Round_1_Replicate_5	-1604.47	3224.94	5863.32	234.72	2.5409,0.9316,0.1733,0.8411,0.7353,0.7435,3.2687,0.7843
asym_mig_size	Round_1_Replicate_6	-1874.16	3764.32	11398.58	362.76	0.5204,0.4753,0.1723,0.7742,0.1688,1.1637,1.7247,2.1334
asym_mig_size	Round_1_Replicate_7	-7421.85	14859.7	15264705832.5	105.34	2.2666,7.5126,4.7928,1.8328,0.4,2.9798,0.4198,1.3178
asym_mig_size	Round_1_Replicate_8	-3815.06	7646.12	2355972.89	251.32	0.2563,0.3473,1.6023,0.1906,2.1781,5.9144,0.6643,3.4817
asym_mig_size	Round_1_Replicate_9	-7682.29	15380.58	9201763111.22	342.09	3.0362,0.1642,1.6031,1.9266,5.832,0.1376,1.8866,0.2865
asym_mig_size	Round_1_Replicate_10	-8012.91	16041.82	31949280262.1	143.6	0.7908,5.6767,2.6023,3.1023,4.3028,0.1789,0.1651,0.7073
asym_mig_size	Round_2_Replicate_1	-1010.33	2036.66	1817.18	318.6	1.1535,0.6534,0.1685,0.5973,0.4861,0.4064,3.207,2.6999
asym_mig_size	Round_2_Replicate_2	-1097.65	2211.3	2185.38	154.38	13.3458,6.6123,0.2787,1.4089,0.3247,0.1619,2.4099,1.4858
asym_mig_size	Round_2_Replicate_3	-1613.49	3242.98	13075.7	197.88	2.1321,1.1162,0.6161,1.3779,0.4321,0.4378,0.7279,0.5238
asym_mig_size	Round_2_Replicate_4	-667.78	1351.56	845.4	157.58	1.8942,1.2491,0.7988,0.8422,0.2838,0.066,5.1137,5.2553
asym_mig_size	Round_2_Replicate_5	-720.85	1457.7	913.92	197.44	1.5562,0.7312,0.6872,0.9367,0.0551,0.1314,0.5062,1.9941
asym_mig_size	Round_2_Replicate_6	-842.04	1700.08	1155.5	103.0	1.5142,2.2361,0.7784,2.2534,0.1632,0.0714,4.1997,2.4742
asym_mig_size	Round_2_Replicate_7	-1081.75	2179.5	2108.75	144.56	7.065,5.1603,0.6159,2.0615,0.0872,0.1165,0.9776,0.9047
asym_mig_size	Round_2_Replicate_8	-1148.07	2312.14	2468.08	100.25	7.9106,1.3364,0.372,2.9055,0.0979,0.0619,5.548,1.5836
asym_mig_size	Round_2_Replicate_9	-773.67	1563.34	1031.32	263.08	11.8379,1.0674,0.297,0.447,0.3889,0.4932,1.7944,0.5586
asym_mig_size	Round_2_Replicate_10	-1596.3	3208.6	4964.29	91.61	7.0332,0.7549,0.1943,4.0561,0.4079,0.0589,0.7384,5.8204
asym_mig_size	Round_2_Replicate_11	-921.71	1859.42	2142.04	220.01	2.5312,3.7027,0.9115,0.3002,0.1998,0.0588,0.4729,3.6378
asym_mig_size	Round_2_Replicate_12	-680.94	1377.88	952.69	327.74	6.8955,7.6561,0.2815,0.4916,0.3019,0.0648,0.4544,1.151
asym_mig_size	Round_2_Replicate_13	-862.98	1741.96	1281.86	178.81	9.4473,3.7059,0.7743,1.4072,0.0514,0.0352,0.4879,0.9533
asym_mig_size	Round_2_Replicate_14	-672.39	1360.78	859.45	237.91	2.8658,1.4607,0.6097,0.7418,0.0633,0.04,0.617,0.6989
asym_mig_size	Round_2_Replicate_15	-1882.31	3780.62	8624.9	125.3	3.0642,0.7205,0.1601,2.4647,0.0316,0.0932,1.3242,3.4347
asym_mig_size	Round_2_Replicate_16	-879.21	1774.42	1205.54	109.29	4.9148,1.7095,0.9016,2.6142,0.121,0.0568,1.6479,2.2867
asym_mig_size	Round_2_Replicate_17	-644.67	1305.34	1139.14	199.3	1.2344,8.9301,0.7547,0.3174,0.0381,0.0556,2.2712,0.4052
