Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12a, m21a, m12b, m21b, T1, T2)
asym_mig_twoepoch	Round_1_Replicate_1	-8289.49	16594.98	63164937110.6	110.06	2.8226,2.0583,0.1404,2.3844,5.1001,1.1751,0.7354,5.4216
asym_mig_twoepoch	Round_1_Replicate_2	-1541.61	3099.22	8902.24	428.88	0.249,0.6587,0.355,2.3694,0.9477,0.5958,4.0056,0.1958
asym_mig_twoepoch	Round_1_Replicate_3	-1188.48	2392.96	3591.15	806.68	0.2127,0.1792,0.4134,1.6251,0.4374,2.7017,0.4079,4.8399
asym_mig_twoepoch	Round_1_Replicate_4	-4895.43	9806.86	78179047.16	209.41	0.6328,8.2993,0.2315,0.2886,0.3051,6.3293,2.5721,1.8851
asym_mig_twoepoch	Round_1_Replicate_5	-3271.68	6559.36	860883.52	151.88	3.4699,1.7442,0.5052,0.3785,0.4385,0.1374,0.4808,0.3128
asym_mig_twoepoch	Round_1_Replicate_6	-5000.28	10016.56	36017466.57	309.91	0.2092,1.2207,4.8257,0.1581,4.8489,4.992,0.2504,0.3049
asym_mig_twoepoch	Round_1_Replicate_7	-2448.01	4912.02	132244.82	246.88	0.7037,0.9096,0.9901,1.8115,0.2047,1.4493,0.3604,0.7399
asym_mig_twoepoch	Round_1_Replicate_8	-6287.19	12590.38	1166756531.82	139.56	1.7935,2.1851,1.8028,3.0092,1.1472,1.7885,1.2034,0.1566
asym_mig_twoepoch	Round_1_Replicate_9	-6836.32	13688.64	2083489189.27	143.07	0.4847,2.751,1.5213,0.7574,5.47,3.93,2.2002,5.7583
asym_mig_twoepoch	Round_1_Replicate_10	-2139.63	4295.26	46176.44	230.25	0.4871,1.1603,1.1935,0.2416,0.7256,0.8517,0.1945,1.2373
asym_mig_twoepoch	Round_2_Replicate_1	-2244.26	4504.52	26791.86	625.7	0.0752,0.5259,0.142,0.6885,1.1177,2.4889,0.1743,1.4285
asym_mig_twoepoch	Round_2_Replicate_2	-1611.19	3238.38	11817.29	386.44	0.6779,0.2415,0.1671,0.7613,1.3722,1.0301,0.104,5.0262
asym_mig_twoepoch	Round_2_Replicate_3	-1345.22	2706.44	4985.94	1374.24	0.0974,0.1365,1.2356,0.7422,0.4706,4.334,0.3313,3.7258
asym_mig_twoepoch	Round_2_Replicate_4	-1163.48	2342.96	3144.44	888.79	0.277,0.0916,0.8315,2.7303,0.8108,3.7868,0.7866,4.114
asym_mig_twoepoch	Round_2_Replicate_5	-722.44	1460.88	1072.69	631.78	0.2648,0.127,0.6873,0.8916,0.1373,1.0411,0.2353,2.3343
asym_mig_twoepoch	Round_2_Replicate_6	-1071.8	2159.6	2052.49	556.23	0.1292,0.3584,0.1654,3.3341,1.038,0.9177,0.1207,1.7779
asym_mig_twoepoch	Round_2_Replicate_7	-1037.58	2091.16	2272.03	1432.84	0.1378,0.0881,1.3437,0.454,0.1434,4.5736,0.1533,4.7487
asym_mig_twoepoch	Round_2_Replicate_8	-1463.47	2942.94	6771.37	317.94	0.3375,0.6544,1.2127,1.6072,0.4755,0.9441,0.2641,2.122
asym_mig_twoepoch	Round_2_Replicate_9	-905.13	1826.26	1525.58	975.08	0.1008,0.1229,0.1101,1.1792,0.169,1.4398,0.2122,1.9655
asym_mig_twoepoch	Round_2_Replicate_10	-767.71	1551.42	1291.53	1035.1	0.0878,0.0924,0.1024,1.0076,0.7708,0.7486,0.3166,3.1566
asym_mig_twoepoch	Round_2_Replicate_11	-4157.49	8330.98	10123208.66	502.44	0.3634,0.605,0.2926,1.1396,0.174,5.5252,0.3508,3.5167
asym_mig_twoepoch	Round_2_Replicate_12	-1762.06	3540.12	13673.8	387.26	0.7649,0.1576,0.5926,1.2448,1.1056,2.259,0.5943,5.1534
asym_mig_twoepoch	Round_2_Replicate_13	-3552.12	7120.24	2059440.94	489.47	0.2862,0.6431,0.296,0.4271,0.5865,4.2142,1.1035,13.9885
asym_mig_twoepoch	Round_2_Replicate_14	-877.12	1770.24	1693.33	991.15	0.2998,0.0452,0.8922,1.7999,0.1356,3.464,0.6905,1.8584
asym_mig_twoepoch	Round_2_Replicate_15	-796.46	1608.92	1312.26	928.49	0.2429,0.0719,0.3142,0.4954,0.582,2.2142,0.1634,9.9385
asym_mig_twoepoch	Round_2_Replicate_16	-2859.88	5735.76	287556.72	338.77	0.8361,0.2293,1.4427,1.3007,0.91,4.6266,0.131,3.6615
asym_mig_twoepoch	Round_2_Replicate_17	-5027.05	10070.1	72582679.09	296.15	0.76,0.5545,0.213,0.7899,1.1736,5.7874,0.397,1.3835
asym_mig_twoepoch	Round_2_Replicate_18	-981.7	1979.4	2790.51	503.54	0.5176,0.0689,0.1995,3.7061,0.2324,0.7787,0.9285,1.4354
asym_mig_twoepoch	Round_2_Replicate_19	-1696.22	3408.44	7181.9	584.21	0.0897,0.4614,0.9496,3.8843,0.7105,1.5529,0.9156,6.3945
asym_mig_twoepoch	Round_2_Replicate_20	-863.99	1743.98	2064.65	456.78	0.5236,0.0893,0.2729,1.1606,0.1991,0.8838,0.1411,17.5384
asym_mig_twoepoch	Round_3_Replicate_1	-846.53	1709.06	1489.96	696.91	0.1998,0.1073,0.198,3.2282,0.066,0.9305,0.2266,3.0411
asym_mig_twoepoch	Round_3_Replicate_2	-829.74	1675.48	1240.24	1780.39	0.0925,0.0617,0.3395,0.5153,0.0698,3.6665,0.7564,1.9335
asym_mig_twoepoch	Round_3_Replicate_3	-801.53	1619.06	1555.71	859.29	0.2829,0.0567,0.245,0.6766,0.0549,1.7964,0.3808,4.5196
asym_mig_twoepoch	Round_3_Replicate_4	-2460.23	4936.46	120753.64	318.73	0.8272,0.3234,1.5166,1.3129,0.3836,3.1844,0.612,2.9441
asym_mig_twoepoch	Round_3_Replicate_5	-1664.32	3344.64	10964.21	928.85	0.1299,0.2458,1.011,0.5617,0.1344,3.296,0.5691,2.5524
asym_mig_twoepoch	Round_3_Replicate_6	-1061.76	2139.52	2089.09	885.44	0.1056,0.1668,0.3762,0.4125,0.0415,1.5055,0.121,7.0664
asym_mig_twoepoch	Round_3_Replicate_7	-1637.98	3291.96	6503.31	690.91	0.0785,0.0893,0.3775,0.4862,0.0806,0.3049,0.5289,1.1072
asym_mig_twoepoch	Round_3_Replicate_8	-825.42	1666.84	1331.16	1238.94	0.1205,0.0708,0.7174,0.3488,0.051,1.9545,0.0855,7.4761
asym_mig_twoepoch	Round_3_Replicate_9	-728.61	1473.22	1060.71	757.45	0.2538,0.103,0.4438,0.4387,0.1073,1.4599,0.1048,6.9801
asym_mig_twoepoch	Round_3_Replicate_10	-846.42	1708.84	1299.11	755.87	0.276,0.1328,0.7102,1.295,0.0437,2.0383,0.1523,2.9084
asym_mig_twoepoch	Round_3_Replicate_11	-848.5	1713.0	1535.43	260.34	1.0281,0.2052,0.3773,0.5042,0.0939,0.7928,0.1628,8.6821
asym_mig_twoepoch	Round_3_Replicate_12	-695.11	1406.22	1000.55	459.61	0.3087,0.2743,0.5887,1.5805,0.1014,0.309,0.635,0.7512
asym_mig_twoepoch	Round_3_Replicate_13	-699.05	1414.1	906.74	289.9	0.4809,0.37,0.254,1.0343,0.209,0.4274,0.306,7.6715
asym_mig_twoepoch	Round_3_Replicate_14	-1516.78	3049.56	7299.61	319.6	1.042,0.0548,1.8315,2.9404,0.0513,0.2928,0.2171,1.5144
asym_mig_twoepoch	Round_3_Replicate_15	-889.96	1795.92	1487.0	362.05	0.5961,0.2693,0.4914,1.4205,0.1392,1.0695,0.9365,1.7426
asym_mig_twoepoch	Round_3_Replicate_16	-1705.88	3427.76	7825.2	715.09	0.1041,0.3652,0.9808,0.4725,0.1056,2.0661,0.4249,4.4441
asym_mig_twoepoch	Round_3_Replicate_17	-756.36	1528.72	1091.13	1034.38	0.2133,0.0749,0.4215,2.2115,0.086,2.445,0.1262,4.7578
asym_mig_twoepoch	Round_3_Replicate_18	-774.06	1564.12	1234.7	502.68	0.2529,0.1854,0.1722,0.5185,0.117,0.5762,0.0551,1.9744
asym_mig_twoepoch	Round_3_Replicate_19	-1213.79	2443.58	2777.49	461.75	0.1678,0.4381,0.4943,2.8697,0.2996,0.9751,0.4466,6.9212
asym_mig_twoepoch	Round_3_Replicate_20	-897.53	1811.06	1533.18	419.94	0.2188,0.2796,0.175,1.6501,0.0949,0.5541,0.2044,8.9894
asym_mig_twoepoch	Round_3_Replicate_21	-872.92	1761.84	1321.38	361.06	0.323,0.4191,0.9138,0.3177,0.2885,0.6581,0.6407,2.8818
asym_mig_twoepoch	Round_3_Replicate_22	-890.98	1797.96	1617.95	910.89	0.2797,0.0607,1.5743,0.5545,0.4642,3.1729,0.0964,1.2765
asym_mig_twoepoch	Round_3_Replicate_23	-1915.14	3846.28	29049.88	356.36	0.6916,0.3164,0.2307,1.5857,0.2802,2.5054,0.2518,5.9734
asym_mig_twoepoch	Round_3_Replicate_24	-1148.14	2312.28	3164.95	638.42	0.363,0.1543,0.3346,0.5372,0.3659,2.6258,0.7699,8.3255
asym_mig_twoepoch	Round_3_Replicate_25	-1797.5	3611.0	17773.15	319.95	0.9704,0.2413,0.7107,0.5612,0.1249,2.6951,0.3426,0.5953
asym_mig_twoepoch	Round_3_Replicate_26	-1092.85	2201.7	2260.07	420.86	0.1536,0.3593,0.1968,0.4445,0.1047,0.5835,0.2952,8.4296
asym_mig_twoepoch	Round_3_Replicate_27	-831.75	1679.5	1402.34	569.36	0.4465,0.0964,2.021,0.2337,0.0441,2.0117,0.2481,0.771
asym_mig_twoepoch	Round_3_Replicate_28	-758.15	1532.3	1100.68	369.12	0.6324,0.2127,2.0282,1.3015,0.0678,0.8638,0.0902,1.6274
asym_mig_twoepoch	Round_3_Replicate_29	-1384.96	2785.92	4114.15	447.79	0.141,0.1321,1.7456,3.1572,0.0874,0.2946,0.1039,4.5859
asym_mig_twoepoch	Round_3_Replicate_30	-784.17	1584.34	1372.77	727.82	0.3401,0.0704,0.5175,0.2676,0.0847,2.0651,0.6299,1.075
asym_mig_twoepoch	Round_4_Replicate_1	-829.56	1675.12	1242.31	333.93	0.5273,0.451,0.635,2.5098,0.0926,0.5554,0.4224,0.7553
asym_mig_twoepoch	Round_4_Replicate_2	-717.88	1451.76	897.99	425.26	0.3756,0.317,0.3757,3.3704,0.1341,0.5684,0.3458,0.7712
asym_mig_twoepoch	Round_4_Replicate_3	-673.68	1363.36	978.2	520.32	0.3369,0.1748,0.9171,0.8431,0.1372,0.5818,0.9191,0.6084
asym_mig_twoepoch	Round_4_Replicate_4	-670.09	1356.18	971.53	480.72	0.3389,0.2496,0.7524,1.6811,0.0605,0.2712,0.9693,0.5222
asym_mig_twoepoch	Round_4_Replicate_5	-706.86	1429.72	1166.09	395.34	0.3835,0.2678,0.3387,1.0914,0.1531,0.1783,0.6038,1.1258
asym_mig_twoepoch	Round_4_Replicate_6	-668.48	1352.96	805.49	395.43	0.4206,0.3366,0.5583,1.8745,0.099,0.3893,0.5198,0.661
asym_mig_twoepoch	Round_4_Replicate_7	-709.93	1435.86	1115.18	388.16	0.3135,0.3352,0.5116,1.4363,0.1739,0.1525,0.9969,1.3401
asym_mig_twoepoch	Round_4_Replicate_8	-718.43	1452.86	1075.84	566.19	0.2641,0.206,0.594,1.8974,0.0829,0.4366,1.2016,0.67
asym_mig_twoepoch	Round_4_Replicate_9	-815.37	1646.74	1166.86	377.03	0.2873,0.495,0.5187,1.1967,0.0989,0.3278,0.4883,0.6405
asym_mig_twoepoch	Round_4_Replicate_10	-653.72	1323.44	873.46	356.73	0.5131,0.2996,1.1394,2.7518,0.177,0.3165,1.311,1.369
asym_mig_twoepoch	Round_4_Replicate_11	-644.49	1304.98	817.42	399.34	0.4478,0.2989,0.3674,2.1087,0.0886,0.3155,0.3545,0.679
asym_mig_twoepoch	Round_4_Replicate_12	-815.65	1647.3	1148.16	359.77	0.3049,0.4531,0.4195,0.8632,0.1854,0.468,0.541,1.3717
asym_mig_twoepoch	Round_4_Replicate_13	-661.54	1339.08	873.0	431.34	0.3645,0.2483,0.2966,1.5416,0.2427,0.458,0.5425,1.2103
asym_mig_twoepoch	Round_4_Replicate_14	-635.44	1286.88	842.32	423.35	0.4203,0.2879,1.103,3.4861,0.0828,0.2095,0.378,0.5796
asym_mig_twoepoch	Round_4_Replicate_15	-654.47	1324.94	782.95	348.91	0.4314,0.398,0.353,1.8617,0.2062,0.2842,1.1792,1.2643
asym_mig_twoepoch	Round_4_Replicate_16	-642.43	1300.86	816.14	354.53	0.536,0.3314,0.6376,1.9357,0.1357,0.2603,0.525,0.8692
asym_mig_twoepoch	Round_4_Replicate_17	-708.11	1432.22	1074.55	421.13	0.3409,0.3378,0.9039,2.1861,0.0624,0.2018,1.0099,0.8233
asym_mig_twoepoch	Round_4_Replicate_18	-683.6	1383.2	1007.81	506.15	0.295,0.2178,0.6172,0.8471,0.0788,0.3629,0.5372,0.4423
asym_mig_twoepoch	Round_4_Replicate_19	-860.86	1737.72	1801.48	433.38	0.2961,0.2563,0.425,1.7423,0.0679,0.1549,1.19,1.2744
