Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, T)
no_mig	Round_1_Replicate_1	-1567.32	3140.64	5052.31	246.15	3.3257,0.2012,0.5353
no_mig	Round_1_Replicate_2	-2023.04	4052.08	35113348762.6	120.98	1.1199,0.3539,7.4963
no_mig	Round_1_Replicate_3	-1745.2	3496.4	13483.83	230.67	2.4225,0.679,0.4342
no_mig	Round_1_Replicate_4	-1737.41	3480.82	7530.46	108.3	0.5902,5.5588,1.5763
no_mig	Round_1_Replicate_5	-3444.84	6895.68	2.13324021635e+12	215.8	0.3423,0.3189,4.4057
no_mig	Round_1_Replicate_6	-8281.97	16569.94	30567172504.8	207.94	4.5368,4.6155,0.1782
no_mig	Round_1_Replicate_7	-7701.67	15409.34	9218782571.3	205.76	2.5337,6.8686,0.1767
no_mig	Round_1_Replicate_8	-1946.61	3899.22	6708.89	150.2	0.2932,5.1688,0.7671
no_mig	Round_1_Replicate_9	-1620.47	3246.94	9176.32	264.51	2.1982,0.1711,0.6461
no_mig	Round_1_Replicate_10	-1216.63	2439.26	26697.85	111.21	1.7365,1.6103,4.088
no_mig	Round_2_Replicate_1	-1208.17	2422.34	9454.48	153.13	2.4179,0.7011,2.1041
no_mig	Round_2_Replicate_2	-1148.85	2303.7	6315.23	77.27	2.6708,3.3973,4.0374
no_mig	Round_2_Replicate_3	-1994.83	3995.66	4308109341.05	69.52	0.4348,3.5066,8.8665
no_mig	Round_2_Replicate_4	-1340.8	2687.6	10515.67	57.48	2.4577,6.0584,5.2424
no_mig	Round_2_Replicate_5	-1816.62	3639.24	21710796405.5	43.13	5.517,0.866,17.7452
no_mig	Round_2_Replicate_6	-1071.55	2149.1	6459.73	97.88	2.3193,2.2256,3.4109
no_mig	Round_2_Replicate_7	-1983.08	3972.16	712006.59	120.31	3.0986,0.5027,3.8379
no_mig	Round_2_Replicate_8	-1934.44	3874.88	1696724.17	116.87	2.3423,0.6477,4.954
no_mig	Round_2_Replicate_9	-1440.48	2886.96	43446.68	99.96	3.45,1.016,4.2247
no_mig	Round_2_Replicate_10	-1376.89	2759.78	30034.52	91.3	1.2637,3.1008,4.3161
no_mig	Round_2_Replicate_11	-1033.01	2072.02	2353.25	161.76	1.9318,1.1708,1.3745
no_mig	Round_2_Replicate_12	-1219.42	2444.84	11774.61	105.66	1.2423,2.738,3.2257
no_mig	Round_2_Replicate_13	-1173.41	2352.82	6179.56	144.55	0.803,2.1919,1.9243
no_mig	Round_2_Replicate_14	-1924.93	3855.86	79345.31	82.49	0.7041,5.1815,3.6318
no_mig	Round_2_Replicate_15	-1682.73	3371.46	29027.19	124.82	0.5181,3.1852,2.2176
no_mig	Round_2_Replicate_16	-1095.12	2196.24	3617.12	155.92	0.8325,2.03,1.5763
no_mig	Round_2_Replicate_17	-1573.09	3152.18	12925.22	83.55	0.9938,5.3957,2.9873
