Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, T1, T2)
no_mig_size	Round_1_Replicate_1	-1251.53	2515.06	4101.15	122.17	8.1679,2.9452,0.4968,3.3502,1.3456,0.8055
no_mig_size	Round_1_Replicate_2	-1712.48	3436.96	59702.66	174.99	0.2181,0.2738,1.1333,2.2623,0.6412,0.7879
no_mig_size	Round_1_Replicate_3	-737.92	1487.84	1247.66	322.22	0.5589,4.0114,0.8458,0.2288,0.4927,0.1886
no_mig_size	Round_1_Replicate_4	-1733.58	3479.16	11867.73	112.08	0.1678,5.536,8.0705,1.1702,0.3468,1.5741
no_mig_size	Round_1_Replicate_5	-1639.85	3291.7	5097.88	224.55	3.4774,1.4839,5.7568,0.3009,0.1873,0.2854
no_mig_size	Round_1_Replicate_6	-3255.61	6523.22	9303322.09	91.76	2.3776,4.1165,0.1732,6.6872,0.6348,1.8202
no_mig_size	Round_1_Replicate_7	-2408.35	4828.7	2504521913.45	122.04	0.1434,0.5539,0.2632,5.343,2.7727,0.7379
no_mig_size	Round_1_Replicate_8	-1343.31	2698.62	4821.18	251.7	0.3363,5.0253,4.3907,0.2419,0.3916,0.4738
no_mig_size	Round_1_Replicate_9	-929.87	1871.74	2077.43	161.13	4.6159,1.4792,0.9219,1.4528,1.0549,0.5268
no_mig_size	Round_1_Replicate_10	-2697.83	5407.66	170882315.34	97.72	1.8816,0.4946,4.4633,6.5993,5.7737,0.1966
no_mig_size	Round_2_Replicate_1	-725.07	1462.14	1085.06	352.42	0.4331,16.5203,0.544,0.3483,0.1893,0.3071
no_mig_size	Round_2_Replicate_2	-754.42	1520.84	1308.73	384.01	0.2658,2.8166,0.4545,0.1514,0.4004,0.0698
no_mig_size	Round_2_Replicate_3	-707.72	1427.44	1391.31	370.92	0.4085,5.4263,0.4328,0.3757,0.1306,0.4428
no_mig_size	Round_2_Replicate_4	-1118.58	2249.16	8725.16	463.26	0.2041,7.8704,0.3919,0.1822,0.3124,0.4068
no_mig_size	Round_2_Replicate_5	-923.67	1859.34	2005.78	299.93	1.7691,1.3729,1.0513,0.2847,0.1979,0.4555
no_mig_size	Round_2_Replicate_6	-1160.73	2333.46	16128.99	263.2	0.3394,5.339,0.6241,0.4809,0.9487,0.5642
no_mig_size	Round_2_Replicate_7	-1327.03	2666.06	21038.93	334.46	0.2128,3.3677,0.327,0.1045,0.9747,0.0519
no_mig_size	Round_2_Replicate_8	-798.4	1608.8	1411.46	310.43	0.4885,5.0362,1.1693,0.2617,0.4293,0.2431
no_mig_size	Round_2_Replicate_9	-957.78	1927.56	4601.43	473.77	1.3824,2.1332,0.2801,0.1734,0.3038,0.399
no_mig_size	Round_2_Replicate_10	-1030.01	2072.02	2823.76	218.91	1.4735,1.884,0.7179,0.7009,0.6589,0.1631
no_mig_size	Round_2_Replicate_11	-676.64	1365.28	1129.73	304.56	1.4318,1.6602,0.4044,0.2278,0.6915,0.1468
no_mig_size	Round_2_Replicate_12	-784.88	1581.76	1584.08	361.92	0.2086,6.9189,0.8052,0.2818,0.1209,0.3952
