Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2)
sec_contact_asym_mig	Round_1_Replicate_1	-1135.19	2282.38	2183.06	202.19	0.2837,1.4652,0.2463,0.1692,0.4142,1.5772
sec_contact_asym_mig	Round_1_Replicate_2	-4949.48	9910.96	56505642.94	170.91	2.4846,1.2314,2.6681,0.1853,0.4194,3.2763
sec_contact_asym_mig	Round_1_Replicate_3	-1124.41	2260.82	2865.03	515.33	0.2729,0.1631,2.4599,0.6629,0.8509,0.3273
sec_contact_asym_mig	Round_1_Replicate_4	-2020.5	4053.0	30125.78	249.98	1.4886,0.3144,0.6065,1.5354,0.238,0.9401
sec_contact_asym_mig	Round_1_Replicate_5	-1620.22	3252.44	4901.02	129.93	5.3384,0.3689,0.2737,0.2167,1.6127,0.534
sec_contact_asym_mig	Round_1_Replicate_6	-1538.36	3088.72	9747.08	156.15	1.5782,0.7514,0.4183,0.5147,2.0727,1.1734
sec_contact_asym_mig	Round_1_Replicate_7	-3830.14	7672.28	1335732.04	102.7	0.2637,5.0848,6.1659,0.1554,1.4296,1.1329
sec_contact_asym_mig	Round_1_Replicate_8	-2721.02	5454.04	41502.07	189.7	0.1357,2.0189,0.6658,1.4891,1.5354,0.1771
sec_contact_asym_mig	Round_1_Replicate_9	-6036.98	12085.96	634205381.62	124.74	3.484,2.4362,0.4673,1.4599,0.1583,0.8711
sec_contact_asym_mig	Round_1_Replicate_10	-8410.17	16832.34	8998120807.32	95.78	2.761,8.5491,5.6514,0.7444,0.812,0.179
sec_contact_asym_mig	Round_2_Replicate_1	-1740.95	3493.9	13923.4	716.3	0.3797,0.0951,3.3617,1.4539,1.2122,0.8822
sec_contact_asym_mig	Round_2_Replicate_2	-3019.97	6051.94	101019.85	1227.38	0.9272,0.0471,7.7846,0.2023,0.3895,0.7045
sec_contact_asym_mig	Round_2_Replicate_3	-3446.58	6905.16	1928355.06	397.42	0.6606,0.5111,4.6704,0.2759,0.8418,1.1305
sec_contact_asym_mig	Round_2_Replicate_4	-660.08	1332.16	772.79	1217.4	0.0712,0.1397,2.6962,0.2053,0.2465,1.1791
sec_contact_asym_mig	Round_2_Replicate_5	-1180.74	2373.48	3208.86	352.07	0.1394,0.5079,4.095,0.4212,2.296,0.3349
sec_contact_asym_mig	Round_2_Replicate_6	-2236.27	4484.54	84919.87	522.03	0.5333,0.2826,3.5199,0.2691,0.7815,0.9891
sec_contact_asym_mig	Round_2_Replicate_7	-1240.19	2492.38	3771.22	348.35	0.7779,0.1061,0.6186,0.3464,0.9702,0.5492
sec_contact_asym_mig	Round_2_Replicate_8	-691.86	1395.72	829.03	471.43	0.1993,0.3239,1.3055,0.2139,0.5863,0.4384
sec_contact_asym_mig	Round_2_Replicate_9	-975.05	1962.1	2154.45	481.47	0.1293,0.0603,0.7603,1.7995,2.0638,0.2194
sec_contact_asym_mig	Round_2_Replicate_10	-757.49	1526.98	1220.93	1002.85	0.126,0.0567,0.7206,2.705,0.4545,0.3775
sec_contact_asym_mig	Round_2_Replicate_11	-1178.42	2368.84	3824.39	646.74	0.2586,0.0608,0.7503,0.2392,0.3258,0.1249
sec_contact_asym_mig	Round_2_Replicate_12	-997.64	2007.28	2209.23	592.59	0.1677,0.1818,3.4599,0.359,2.3794,0.5547
sec_contact_asym_mig	Round_2_Replicate_13	-2416.72	4845.44	58921.47	881.36	0.4566,0.0559,6.1223,2.3196,1.0694,0.5738
sec_contact_asym_mig	Round_2_Replicate_14	-1066.8	2145.6	2532.57	368.52	0.1661,0.1619,1.1057,0.247,2.2051,0.1687
sec_contact_asym_mig	Round_2_Replicate_15	-2175.15	4362.3	60158.3	355.7	0.8821,0.3115,2.4198,0.1799,0.3744,0.4445
sec_contact_asym_mig	Round_2_Replicate_16	-1624.45	3260.9	12141.53	313.19	0.8237,0.3054,1.2449,0.7702,0.714,0.645
sec_contact_asym_mig	Round_2_Replicate_17	-780.22	1572.44	1022.34	558.26	0.0951,0.2607,2.1473,0.5856,0.7438,0.246
sec_contact_asym_mig	Round_2_Replicate_18	-794.81	1601.62	1078.73	600.12	0.1353,0.225,1.0924,0.8642,0.2404,0.2313
sec_contact_asym_mig	Round_2_Replicate_19	-2931.04	5874.08	268302.16	476.01	0.1363,0.5188,6.636,2.2882,0.8646,1.2414
sec_contact_asym_mig	Round_2_Replicate_20	-876.19	1764.38	1679.84	699.7	0.1084,0.0497,0.6741,2.7086,2.8343,0.4596
sec_contact_asym_mig	Round_3_Replicate_1	-694.46	1400.92	881.52	3462.37	0.0253,0.0534,7.5661,0.137,0.1353,2.1111
sec_contact_asym_mig	Round_3_Replicate_2	-683.07	1378.14	835.49	1788.73	0.0395,0.0961,4.9666,0.1658,0.1775,0.5066
sec_contact_asym_mig	Round_3_Replicate_3	-1083.4	2178.8	2568.5	1812.64	0.1218,0.05,3.8888,0.0762,0.3024,2.4757
sec_contact_asym_mig	Round_3_Replicate_4	-793.06	1598.12	1422.79	820.69	0.0997,0.1069,0.8502,0.476,0.6156,1.2428
sec_contact_asym_mig	Round_3_Replicate_5	-883.24	1778.48	1230.33	721.81	0.0627,0.3692,2.8272,0.1219,0.1653,3.1617
sec_contact_asym_mig	Round_3_Replicate_6	-929.57	1871.14	1488.91	834.82	0.0909,0.299,3.8357,0.1298,0.3363,1.7185
sec_contact_asym_mig	Round_3_Replicate_7	-784.53	1581.06	1243.26	2034.25	0.0795,0.0576,4.0821,0.4305,0.2799,4.6276
sec_contact_asym_mig	Round_3_Replicate_8	-886.77	1785.54	1296.51	907.11	0.0473,0.2014,4.2087,0.7795,0.5737,0.4082
sec_contact_asym_mig	Round_3_Replicate_9	-991.94	1995.88	2267.42	1442.51	0.0474,0.0676,1.6304,0.1372,0.1949,1.9095
sec_contact_asym_mig	Round_3_Replicate_10	-719.98	1451.96	1095.67	1449.26	0.0574,0.0959,2.1639,0.186,0.2466,3.7078
sec_contact_asym_mig	Round_3_Replicate_11	-677.83	1367.66	838.06	1060.24	0.0822,0.1517,2.6637,0.1247,0.1827,0.7812
sec_contact_asym_mig	Round_3_Replicate_12	-875.53	1763.06	1558.53	1081.06	0.1575,0.1184,2.8062,0.2182,0.3017,1.2485
sec_contact_asym_mig	Round_3_Replicate_13	-733.63	1479.26	930.98	856.28	0.0559,0.2422,2.8794,0.0447,0.4868,0.6007
sec_contact_asym_mig	Round_3_Replicate_14	-1070.26	2152.52	2445.93	738.68	0.0501,0.1966,0.6599,0.4308,0.1002,0.4601
sec_contact_asym_mig	Round_3_Replicate_15	-996.82	2005.64	1628.56	955.62	0.038,0.2817,4.4944,0.2986,0.2432,1.1354
sec_contact_asym_mig	Round_3_Replicate_16	-775.93	1563.86	992.84	873.67	0.0898,0.187,2.6201,0.7362,0.4596,0.7383
sec_contact_asym_mig	Round_3_Replicate_17	-700.26	1412.52	937.55	1730.36	0.0371,0.0781,6.1398,0.2862,0.4519,0.3122
sec_contact_asym_mig	Round_3_Replicate_18	-798.99	1609.98	1447.47	1343.33	0.0648,0.0809,1.9689,0.172,0.303,1.2052
sec_contact_asym_mig	Round_3_Replicate_19	-842.34	1696.68	1395.92	567.87	0.0734,0.3625,1.1007,0.1584,0.634,2.893
sec_contact_asym_mig	Round_3_Replicate_20	-900.61	1813.22	1849.24	818.33	0.0757,0.1318,0.9891,0.0617,0.0805,0.342
sec_contact_asym_mig	Round_3_Replicate_21	-685.62	1383.24	957.39	564.02	0.2224,0.1712,0.7791,0.6132,0.6616,1.028
sec_contact_asym_mig	Round_3_Replicate_22	-708.78	1429.56	1074.35	711.59	0.1437,0.1811,1.1088,0.0936,0.0819,4.8222
sec_contact_asym_mig	Round_3_Replicate_23	-672.32	1356.64	833.32	579.15	0.1738,0.2639,1.3064,0.0831,0.1726,0.7907
sec_contact_asym_mig	Round_3_Replicate_24	-727.78	1467.56	967.64	1608.47	0.0652,0.1109,4.2145,0.0643,0.0859,0.9543
sec_contact_asym_mig	Round_3_Replicate_25	-706.89	1425.78	794.71	884.16	0.0917,0.23,2.3991,0.2134,0.1663,2.0105
sec_contact_asym_mig	Round_3_Replicate_26	-844.87	1701.74	1653.09	693.25	0.2064,0.1292,1.1456,0.0997,0.3417,1.3973
sec_contact_asym_mig	Round_3_Replicate_27	-1418.3	2848.6	5135.46	804.74	0.2139,0.096,3.8619,0.0507,0.7388,0.4101
