Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
sec_contact_asym_mig_size	Round_1_Replicate_1	-3542.1	7100.2	732774.01	206.38	4.6343,0.3561,7.2154,0.2289,2.64,0.3209,0.952,0.3514
sec_contact_asym_mig_size	Round_1_Replicate_2	-1928.99	3873.98	12491.28	177.77	8.1075,1.8776,2.5958,0.1399,0.1821,2.9402,0.1887,2.6379
sec_contact_asym_mig_size	Round_1_Replicate_3	-2902.16	5820.32	125972.42	224.09	0.158,0.1446,0.174,4.3111,0.6143,3.3188,1.7888,0.2224
sec_contact_asym_mig_size	Round_1_Replicate_4	-10764.59	21545.18	1.65637810644e+13	83.2	4.7309,0.2282,5.0151,3.2294,3.6775,3.8952,0.8954,1.6856
sec_contact_asym_mig_size	Round_1_Replicate_5	-1564.69	3145.38	5869.26	322.09	0.1705,0.2328,1.8057,0.1959,0.7995,0.3562,0.2694,0.5997
sec_contact_asym_mig_size	Round_1_Replicate_6	-2342.5	4701.0	61433.4	165.14	1.4602,0.2018,0.8011,2.5302,0.3577,0.5495,0.4129,0.9654
sec_contact_asym_mig_size	Round_1_Replicate_7	-2339.63	4695.26	53742.14	160.95	2.2228,0.3784,4.03,1.0568,0.3273,0.7624,0.6971,0.41
sec_contact_asym_mig_size	Round_1_Replicate_8	-2289.53	4595.06	101688.66	234.96	3.8561,1.5004,0.8889,0.7886,1.7823,0.2268,2.3872,3.8382
sec_contact_asym_mig_size	Round_1_Replicate_9	-9050.27	18116.54	3.22775395733e+11	81.81	2.6969,0.8018,4.0983,2.7616,1.531,3.7273,4.218,0.6585
sec_contact_asym_mig_size	Round_1_Replicate_10	-4548.1	9112.2	10294508.43	97.77	2.2123,0.3501,0.7401,6.4722,0.6283,1.0988,1.6126,2.1973
sec_contact_asym_mig_size	Round_2_Replicate_1	-1572.38	3160.76	7133.72	420.49	0.259,0.9239,0.6943,0.1319,2.4561,0.2724,0.5977,0.2419
sec_contact_asym_mig_size	Round_2_Replicate_2	-1320.38	2656.76	2446.98	316.07	0.0896,0.0818,6.2685,0.2859,0.1932,0.1857,0.111,0.3371
sec_contact_asym_mig_size	Round_2_Replicate_3	-2767.8	5551.6	39957.34	299.57	0.1102,0.1,4.998,0.0806,1.9117,0.6691,0.6969,0.7952
sec_contact_asym_mig_size	Round_2_Replicate_4	-1035.11	2086.22	1799.65	333.2	0.0452,0.5515,0.5377,0.7064,1.1106,0.1548,0.569,0.2148
sec_contact_asym_mig_size	Round_2_Replicate_5	-1106.34	2228.68	2245.65	476.65	0.1326,0.6888,2.685,0.0844,0.2581,0.6633,0.2384,0.1623
sec_contact_asym_mig_size	Round_2_Replicate_6	-1497.8	3011.6	4831.65	345.78	0.3464,0.4059,1.6716,0.1426,0.655,1.3386,0.3586,0.3799
sec_contact_asym_mig_size	Round_2_Replicate_7	-2000.94	4017.88	26148.74	280.75	0.0498,0.07,1.6863,0.2997,1.1602,0.28,0.1085,1.4245
sec_contact_asym_mig_size	Round_2_Replicate_8	-1354.33	2724.66	4338.5	523.89	0.6155,0.5682,0.4731,0.1026,1.6544,0.5193,0.1571,0.4735
sec_contact_asym_mig_size	Round_2_Replicate_9	-1109.01	2234.02	2538.98	354.59	0.6149,0.1822,1.4078,0.1104,0.2504,1.3067,0.5168,0.248
sec_contact_asym_mig_size	Round_2_Replicate_10	-2021.31	4058.62	7052.35	433.83	0.0435,0.3245,4.0412,0.1235,1.2975,0.0895,0.1624,0.2424
sec_contact_asym_mig_size	Round_2_Replicate_11	-2439.96	4895.92	17997.76	335.1	0.3256,0.0768,7.1993,0.0779,1.3389,0.3856,0.4616,0.3294
sec_contact_asym_mig_size	Round_2_Replicate_12	-2481.02	4978.04	15629.1	280.05	0.1139,0.3908,2.2497,0.0708,1.0244,0.1579,0.9265,2.2434
sec_contact_asym_mig_size	Round_2_Replicate_13	-1596.19	3208.38	7206.95	431.99	0.3836,0.4579,0.7815,0.1164,1.5353,0.815,0.2508,0.4338
sec_contact_asym_mig_size	Round_2_Replicate_14	-2418.44	4852.88	95303.11	289.71	0.1024,0.3957,2.5727,0.3777,1.6311,0.1745,0.2054,0.5084
sec_contact_asym_mig_size	Round_2_Replicate_15	-1045.14	2106.28	2687.89	413.9	0.2435,0.1236,0.4852,0.1202,0.7165,0.2674,1.0232,0.962
sec_contact_asym_mig_size	Round_2_Replicate_16	-913.25	1842.5	1421.71	277.02	0.2666,0.7844,1.338,0.5119,0.2747,0.1955,0.4334,0.4036
sec_contact_asym_mig_size	Round_2_Replicate_17	-1895.06	3806.12	17336.43	280.97	0.247,0.0813,2.261,0.3388,0.769,0.7672,0.3215,0.5588
sec_contact_asym_mig_size	Round_2_Replicate_18	-1693.37	3402.74	4306.29	430.29	0.0645,0.3024,4.6299,0.1064,0.6811,0.1646,0.1385,0.2389
sec_contact_asym_mig_size	Round_2_Replicate_19	-2454.92	4925.84	44601.22	346.09	0.1415,0.2833,2.0518,0.509,1.7142,1.2576,0.4489,0.2032
sec_contact_asym_mig_size	Round_2_Replicate_20	-1994.87	4005.74	16325.18	172.29	0.107,0.4632,3.7406,0.3127,0.2557,1.2423,0.0836,1.6537
sec_contact_asym_mig_size	Round_3_Replicate_1	-1163.49	2342.98	2493.24	267.41	0.1052,0.4604,1.7397,0.2838,0.3667,0.1545,0.2184,0.9883
sec_contact_asym_mig_size	Round_3_Replicate_2	-900.18	1816.36	1592.94	354.95	0.089,0.6871,0.4148,0.2021,1.0276,0.0728,1.557,0.2021
sec_contact_asym_mig_size	Round_3_Replicate_3	-973.68	1963.36	1725.17	299.6	0.4194,0.8775,1.4916,0.2678,0.2315,0.1509,0.2422,0.4665
sec_contact_asym_mig_size	Round_3_Replicate_4	-1787.63	3591.26	8612.51	231.63	0.2215,2.2325,2.6456,0.1809,0.5962,0.7698,0.8217,1.0541
sec_contact_asym_mig_size	Round_3_Replicate_5	-1079.5	2175.0	1838.37	328.39	0.201,2.4338,3.6555,0.1855,0.0755,0.3254,0.1909,0.2959
sec_contact_asym_mig_size	Round_3_Replicate_6	-1490.42	2996.84	9886.07	203.6	0.1605,1.4315,3.9584,1.5466,0.1327,0.174,1.1916,0.117
sec_contact_asym_mig_size	Round_3_Replicate_7	-856.26	1728.52	1630.75	526.64	0.0629,0.1875,0.32,0.1628,0.959,0.1365,0.4065,0.8098
sec_contact_asym_mig_size	Round_3_Replicate_8	-882.99	1781.98	1618.72	419.9	0.1594,0.307,1.2711,0.1856,0.0672,0.1161,0.2352,0.2307
sec_contact_asym_mig_size	Round_3_Replicate_9	-863.68	1743.36	1460.88	375.05	0.2297,2.621,1.9722,0.1457,0.0724,0.2925,0.5369,0.1384
sec_contact_asym_mig_size	Round_3_Replicate_10	-2111.39	4238.78	33292.76	193.93	0.1246,1.895,0.5265,1.8818,0.2149,0.6233,0.3668,0.8771
sec_contact_asym_mig_size	Round_3_Replicate_11	-1006.52	2029.04	2166.9	297.3	0.6056,1.2687,0.8632,0.3694,0.1929,0.7658,0.3305,0.7282
sec_contact_asym_mig_size	Round_3_Replicate_12	-2014.21	4044.42	34276.45	184.99	0.0694,1.6221,1.2687,1.3361,0.2311,0.6334,0.5631,0.9249
sec_contact_asym_mig_size	Round_3_Replicate_13	-972.91	1961.82	2337.33	353.05	0.2256,0.8152,0.9381,0.1859,0.0772,0.0917,0.3362,0.665
sec_contact_asym_mig_size	Round_3_Replicate_14	-1825.26	3666.52	10348.9	308.67	0.0878,0.1981,3.5019,0.5003,1.017,0.0659,0.1829,0.3237
sec_contact_asym_mig_size	Round_3_Replicate_15	-963.87	1943.74	1932.32	384.98	0.2246,0.2986,1.664,0.328,0.3285,0.0531,0.5954,0.1321
