Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2, T3)
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_1	-1066.95	2151.9	4769.57	58.13	0.1428,0.4732,5.7886,1.9821,0.6667,0.2392,1.9237,4.9143,4.1171
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_2	-1368.67	2755.34	4696.37	190.86	0.2628,0.6115,0.8738,1.723,2.5302,1.8798,0.8041,0.2658,0.4233
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_3	-1014.19	2046.38	5607.34	55.87	0.502,0.1593,3.6011,3.8675,0.5783,2.8792,4.8576,0.7111,5.5062
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_4	-1058.05	2134.1	7391.09	105.3	4.2826,0.9624,2.6032,1.4895,0.4298,0.1208,0.2767,0.8806,2.5895
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_5	-1233.44	2484.88	3292.74	116.23	0.6994,0.2394,3.5331,1.4793,4.458,0.2654,0.1243,0.9435,1.6432
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_6	-1522.52	3063.04	4619.06	124.79	3.5263,0.4683,4.8598,1.0172,3.9149,0.2569,1.0725,0.4612,1.1949
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_7	-3162.67	6343.34	7.41405241232e+18	166.79	0.4847,1.2227,0.1601,0.2539,4.9873,0.1471,0.1746,0.4772,7.0124
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_8	-1025.67	2069.34	3719.06	303.12	5.0376,0.3045,0.6948,0.2645,0.9738,0.1284,1.0089,0.578,0.2782
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_9	-2581.73	5181.46	13088509.28	158.34	5.0233,2.4523,0.2301,2.3864,2.4903,6.5473,1.0246,3.9116,2.3303
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_10	-1073.52	2165.04	4989.41	537.21	0.4119,0.1755,0.1851,0.1965,0.2647,1.0055,0.5476,0.3112,0.1905
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_1	-882.06	1782.12	3024.04	126.46	1.7079,0.5517,1.9747,0.9931,2.2381,1.3785,2.4112,0.6618,1.9135
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_2	-1230.96	2479.92	13327.55	45.64	0.2819,0.0886,2.8178,6.0434,0.8001,5.044,6.0205,0.2331,7.1275
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_3	-1402.28	2822.56	67042.94	115.77	0.3843,0.1749,1.2626,1.6072,1.0929,6.9679,1.7932,0.2726,4.2497
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_4	-1127.12	2272.24	14670.46	59.05	0.1727,0.0882,3.1579,3.4086,2.1132,0.994,1.5279,1.5149,6.4743
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_5	-3245.42	6508.84	599494.33	38.89	0.427,0.1585,6.1134,14.7185,0.9052,4.6353,10.1309,1.2161,1.648
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_6	-1066.1	2150.2	5001.09	67.95	0.7568,0.2974,1.7669,4.009,0.4186,4.0618,14.5595,2.0577,3.9642
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_7	-945.01	1908.02	2476.11	90.0	0.7945,0.2549,3.2299,1.8042,0.203,1.5286,1.9209,1.6391,2.3033
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_8	-2381.5	4781.0	19718864.97	44.89	0.4734,0.0488,3.3037,1.6093,1.0276,0.8538,14.5691,1.888,14.3283
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_9	-1045.97	2109.94	2013.95	39.43	0.3392,0.0606,10.9738,2.9846,1.4011,9.1738,19.5587,0.2627,4.1578
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_10	-794.58	1607.16	1568.33	61.03	0.2003,0.0435,1.4332,1.9817,1.1998,0.9634,16.3522,0.2994,1.9289
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_11	-2125.94	4269.88	52520.55	71.14	0.1851,0.0653,5.2394,4.1204,1.188,7.1912,5.2889,0.4636,1.5574
