Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, T3)
sec_contact_asym_mig_three_epoch	Round_1_Replicate_1	-2614.88	5243.76	2.35098417048e+12	229.34	0.2816,0.2004,0.9104,0.3671,5.223,3.9862,4.8142
sec_contact_asym_mig_three_epoch	Round_1_Replicate_2	-1685.3	3384.6	16980.83	102.63	0.458,3.6252,1.5821,0.2779,0.5397,1.7009,2.9147
sec_contact_asym_mig_three_epoch	Round_1_Replicate_3	-1597.46	3208.92	11195.61	92.49	1.4039,2.7464,3.3637,0.4832,4.3784,0.145,3.062
sec_contact_asym_mig_three_epoch	Round_1_Replicate_4	-1220.21	2454.42	2775.97	159.14	0.4647,2.3088,5.7287,1.6484,0.1626,0.8224,0.14
sec_contact_asym_mig_three_epoch	Round_1_Replicate_5	-2507.04	5028.08	1968681587.8	211.9	0.1631,0.48,0.1431,0.3636,1.1954,2.874,3.8894
sec_contact_asym_mig_three_epoch	Round_1_Replicate_6	-1507.79	3029.58	5032.38	213.78	3.0707,0.4306,0.6288,1.41,0.2164,0.2393,1.1518
sec_contact_asym_mig_three_epoch	Round_1_Replicate_7	-1949.13	3912.26	1987578.63	111.27	1.1939,1.1096,0.6843,3.8139,0.8627,5.8726,6.2161
sec_contact_asym_mig_three_epoch	Round_1_Replicate_8	-1467.05	2948.1	7577.57	117.23	1.1166,1.2247,0.3126,3.7263,6.3429,0.3015,7.6491
sec_contact_asym_mig_three_epoch	Round_1_Replicate_9	-2582.88	5179.76	400226.18	142.07	0.1808,3.2264,0.1351,0.6459,0.1199,1.0557,4.1943
sec_contact_asym_mig_three_epoch	Round_1_Replicate_10	-2378.32	4770.64	55295.0	134.33	0.9429,4.1396,5.18,1.069,0.2354,0.3747,0.5124
sec_contact_asym_mig_three_epoch	Round_2_Replicate_1	-2020.79	4055.58	6258.76	139.37	0.2395,5.5943,18.0522,1.5317,0.3702,0.2831,0.0568
sec_contact_asym_mig_three_epoch	Round_2_Replicate_2	-973.98	1961.96	3675.63	149.13	0.8201,1.6741,12.8908,1.2447,0.1152,1.693,0.0986
sec_contact_asym_mig_three_epoch	Round_2_Replicate_3	-2627.88	5269.76	22625.49	128.82	0.1505,6.2997,2.9568,1.8054,0.2049,0.5796,0.0337
sec_contact_asym_mig_three_epoch	Round_2_Replicate_4	-1324.32	2662.64	3137.49	64.21	1.3288,6.7469,23.1338,1.722,0.0643,2.2514,0.2424
sec_contact_asym_mig_three_epoch	Round_2_Replicate_5	-2424.77	4863.54	37473833.01	235.76	0.2997,0.6503,3.5228,1.6421,0.1244,2.7352,0.1365
sec_contact_asym_mig_three_epoch	Round_2_Replicate_6	-2645.92	5305.84	190960.22	182.56	1.1211,2.0978,2.7244,2.8811,0.1298,0.2615,0.4529
sec_contact_asym_mig_three_epoch	Round_2_Replicate_7	-2069.03	4152.06	28359.37	106.24	1.4009,4.504,6.7352,5.6325,0.2731,0.7049,0.1909
sec_contact_asym_mig_three_epoch	Round_2_Replicate_8	-2499.05	5012.1	575343.56	77.98	0.3407,5.0726,12.0453,2.9209,0.2457,2.8782,0.2953
sec_contact_asym_mig_three_epoch	Round_2_Replicate_9	-1977.99	3969.98	30545.33	292.48	1.4856,0.5792,23.0121,1.5051,0.049,0.2541,0.3366
sec_contact_asym_mig_three_epoch	Round_2_Replicate_10	-1103.97	2221.94	4290.39	91.73	1.0645,3.2268,17.7523,0.5586,0.61,2.5092,0.0423
sec_contact_asym_mig_three_epoch	Round_2_Replicate_11	-2690.03	5394.06	359125.19	91.58	0.2279,5.3817,4.5012,1.2464,0.1835,1.7552,0.2969
sec_contact_asym_mig_three_epoch	Round_2_Replicate_12	-1598.02	3210.04	4080.34	104.45	0.6876,5.2773,14.6767,2.9799,0.2408,0.7992,0.0689
sec_contact_asym_mig_three_epoch	Round_2_Replicate_13	-1476.51	2967.02	3522.97	159.67	0.4287,2.9973,19.9308,6.3196,0.1004,0.5364,0.3829
sec_contact_asym_mig_three_epoch	Round_2_Replicate_14	-1084.73	2183.46	2053.54	205.09	0.4788,1.5561,9.6433,6.291,0.0445,0.6363,0.1837
sec_contact_asym_mig_three_epoch	Round_2_Replicate_15	-2000.52	4015.04	48753.11	99.85	0.3907,4.1558,8.0355,4.2776,0.1636,2.0704,0.4376
sec_contact_asym_mig_three_epoch	Round_2_Replicate_16	-1681.32	3376.64	16827.88	248.67	0.1661,1.2528,22.3997,1.6916,0.5869,0.7228,0.3495
sec_contact_asym_mig_three_epoch	Round_2_Replicate_17	-2159.96	4333.92	122510.93	135.48	0.2528,2.752,5.2555,2.0324,0.0645,1.6184,0.0902
sec_contact_asym_mig_three_epoch	Round_2_Replicate_18	-1505.73	3025.46	20776.07	174.35	0.3646,1.668,11.031,5.9334,0.1083,1.5305,0.077
sec_contact_asym_mig_three_epoch	Round_2_Replicate_19	-2737.53	5489.06	360477.71	77.86	0.3231,8.0507,5.6043,5.9839,0.2025,2.3772,0.1116
sec_contact_asym_mig_three_epoch	Round_2_Replicate_20	-2121.82	4257.64	11423.73	114.93	0.2628,5.5436,1.4702,0.4589,0.1247,0.7645,0.137
sec_contact_asym_mig_three_epoch	Round_3_Replicate_1	-1863.08	3740.16	742954.48	241.3	0.3961,0.7374,20.1405,0.4199,0.0869,2.4088,0.0659
sec_contact_asym_mig_three_epoch	Round_3_Replicate_2	-850.17	1714.34	2446.69	123.42	1.5519,1.5722,5.4597,2.0027,0.0647,2.0073,0.0417
sec_contact_asym_mig_three_epoch	Round_3_Replicate_3	-1893.35	3800.7	5080.2	133.48	0.2787,5.4438,7.5077,0.492,0.0866,0.4844,0.2413
sec_contact_asym_mig_three_epoch	Round_3_Replicate_4	-1117.01	2248.02	2403.3	125.63	1.1188,2.5119,5.5748,2.1513,0.0349,1.1111,0.1348
sec_contact_asym_mig_three_epoch	Round_3_Replicate_5	-1066.83	2147.66	3887.87	96.83	1.1023,3.0006,23.143,1.7353,0.0276,2.408,0.0207
sec_contact_asym_mig_three_epoch	Round_3_Replicate_6	-1566.53	3147.06	97240.83	105.96	3.0678,0.8765,27.6183,1.0108,0.2299,4.3746,0.2794
sec_contact_asym_mig_three_epoch	Round_3_Replicate_7	-2646.2	5306.4	148291.08	118.48	1.6714,4.194,3.8263,1.6732,0.074,0.5269,0.0202
sec_contact_asym_mig_three_epoch	Round_3_Replicate_8	-1175.6	2365.2	5692.27	74.2	1.2487,4.1267,28.9681,1.6401,0.0377,3.2516,0.2068
sec_contact_asym_mig_three_epoch	Round_3_Replicate_9	-1388.34	2790.68	22504.76	244.96	0.3361,1.0139,27.6183,0.5441,0.1427,1.344,0.0437
sec_contact_asym_mig_three_epoch	Round_3_Replicate_10	-1312.44	2638.88	2773.17	202.56	0.3412,1.9974,24.2871,0.8457,0.0665,0.4656,0.0597
sec_contact_asym_mig_three_epoch	Round_3_Replicate_11	-1057.39	2128.78	4311.57	64.97	1.6999,4.2741,7.3853,3.6821,0.0628,3.7551,0.1795
sec_contact_asym_mig_three_epoch	Round_3_Replicate_12	-855.73	1725.46	1911.29	393.07	0.2805,0.5727,25.162,1.9156,0.0818,0.4911,0.0843
sec_contact_asym_mig_three_epoch	Round_3_Replicate_13	-2203.34	4420.68	76344.6	135.06	2.1752,2.1009,5.4968,3.8278,0.1457,0.5838,0.3947
sec_contact_asym_mig_three_epoch	Round_3_Replicate_14	-1008.27	2030.54	3205.82	98.94	1.1877,2.8106,9.6769,1.5941,0.0307,2.2897,0.0325
sec_contact_asym_mig_three_epoch	Round_3_Replicate_15	-1611.64	3237.28	214909.98	124.72	1.5675,0.9291,28.2645,4.7402,0.1151,4.5932,0.0688
sec_contact_asym_mig_three_epoch	Round_3_Replicate_16	-821.77	1657.54	1937.86	332.67	0.383,0.6365,11.0071,1.8894,0.1549,0.6147,0.0405
sec_contact_asym_mig_three_epoch	Round_3_Replicate_17	-1272.05	2558.1	31874.08	176.91	1.1482,0.7604,4.8955,0.8411,0.0791,2.4857,0.0489
sec_contact_asym_mig_three_epoch	Round_3_Replicate_18	-1313.47	2640.94	4172.88	172.35	0.3491,2.0555,18.9427,2.3922,0.1889,0.8771,0.0697
sec_contact_asym_mig_three_epoch	Round_3_Replicate_19	-2506.24	5026.48	105377.16	110.33	1.6985,4.4289,28.0611,1.5377,0.1008,0.6512,0.0185
sec_contact_asym_mig_three_epoch	Round_3_Replicate_20	-750.93	1515.86	1688.21	375.12	0.3842,0.4817,3.8769,0.3572,0.0348,0.4674,0.0282
sec_contact_asym_mig_three_epoch	Round_3_Replicate_21	-1763.71	3541.42	10251.42	103.28	1.2638,4.7688,7.952,0.6605,0.0398,0.8457,0.0257
sec_contact_asym_mig_three_epoch	Round_3_Replicate_22	-1057.39	2128.78	2252.4	109.86	1.5841,2.548,25.5679,3.0923,0.0297,1.5216,0.1985
sec_contact_asym_mig_three_epoch	Round_3_Replicate_23	-1836.45	3686.9	470552.2	245.57	0.3605,0.7671,24.7657,1.438,0.1798,2.2082,0.1864
sec_contact_asym_mig_three_epoch	Round_3_Replicate_24	-2541.52	5097.04	135751591.65	278.24	0.2743,0.5081,9.1081,1.0511,0.267,2.6507,0.1432
sec_contact_asym_mig_three_epoch	Round_3_Replicate_25	-1458.06	2930.12	3958.28	185.32	0.4579,2.3736,6.8464,4.7926,0.0435,0.4632,0.0222
sec_contact_asym_mig_three_epoch	Round_3_Replicate_26	-912.79	1839.58	2822.55	117.77	1.9775,1.627,28.9624,0.5265,0.1504,2.3016,0.3508
sec_contact_asym_mig_three_epoch	Round_3_Replicate_27	-995.8	2005.6	2488.87	129.16	0.8548,2.2022,24.5131,5.7502,0.1172,1.5371,0.063
sec_contact_asym_mig_three_epoch	Round_3_Replicate_28	-1644.67	3303.34	4217.58	118.11	0.398,4.7584,27.6183,0.5173,0.0993,0.8035,0.0615
sec_contact_asym_mig_three_epoch	Round_3_Replicate_29	-2490.78	4995.56	54404.27	111.48	1.1627,6.0097,8.1087,3.3891,0.0329,0.5473,0.3123
sec_contact_asym_mig_three_epoch	Round_3_Replicate_30	-825.82	1665.64	2227.0	112.98	1.7855,1.5743,5.7346,4.3785,0.38,2.1434,0.3114
sec_contact_asym_mig_three_epoch	Round_4_Replicate_1	-704.24	1422.48	1246.72	394.4	0.3846,0.4124,3.1723,0.5094,0.0223,0.3582,0.0182
sec_contact_asym_mig_three_epoch	Round_4_Replicate_2	-816.58	1647.16	1928.76	285.11	0.7709,0.5686,3.9069,0.2725,0.0172,0.69,0.041
sec_contact_asym_mig_three_epoch	Round_4_Replicate_3	-924.89	1863.78	1622.91	283.08	0.355,0.9496,7.4275,0.3662,0.048,0.4788,0.0164
sec_contact_asym_mig_three_epoch	Round_4_Replicate_4	-760.95	1535.9	1290.46	320.83	0.4189,0.6338,2.5524,0.4443,0.0201,0.4249,0.0304
sec_contact_asym_mig_three_epoch	Round_4_Replicate_5	-825.86	1665.72	2686.56	410.96	0.4119,0.4435,10.4424,0.1864,0.0191,0.6032,0.0458
sec_contact_asym_mig_three_epoch	Round_4_Replicate_6	-704.37	1422.74	1154.42	384.31	0.411,0.4194,3.0968,0.6189,0.0316,0.3476,0.0289
sec_contact_asym_mig_three_epoch	Round_4_Replicate_7	-852.17	1718.34	3039.65	272.63	0.5232,0.7115,2.1453,0.3713,0.0331,0.7977,0.0203
sec_contact_asym_mig_three_epoch	Round_4_Replicate_8	-802.82	1619.64	1593.4	286.44	0.4628,0.7629,3.5305,0.4412,0.0248,0.5797,0.0202
sec_contact_asym_mig_three_epoch	Round_4_Replicate_9	-801.31	1616.62	2340.07	274.19	0.6265,0.642,2.8772,0.6924,0.0404,0.7915,0.0153
sec_contact_asym_mig_three_epoch	Round_4_Replicate_10	-739.83	1493.66	1452.68	347.73	0.4145,0.5291,2.9979,0.4765,0.0383,0.4541,0.0145
sec_contact_asym_mig_three_epoch	Round_4_Replicate_11	-703.73	1421.46	1194.89	415.28	0.4027,0.3571,3.6671,0.5898,0.0472,0.3249,0.0192
sec_contact_asym_mig_three_epoch	Round_4_Replicate_12	-898.13	1810.26	1498.66	274.94	0.3868,0.9593,2.7503,0.2356,0.0357,0.4115,0.0408
sec_contact_asym_mig_three_epoch	Round_4_Replicate_13	-783.26	1580.52	1227.62	362.95	0.2985,0.5997,4.2029,0.2417,0.0919,0.3254,0.0307
sec_contact_asym_mig_three_epoch	Round_4_Replicate_14	-821.32	1656.64	2059.85	245.98	0.6892,0.8269,4.495,0.2311,0.0128,0.8664,0.0191
sec_contact_asym_mig_three_epoch	Round_4_Replicate_15	-709.52	1433.04	1081.28	423.34	0.3428,0.4079,6.1669,0.3304,0.0177,0.3198,0.0187
sec_contact_asym_mig_three_epoch	Round_4_Replicate_16	-820.47	1654.94	1282.66	307.18	0.4155,0.7394,5.2534,0.5659,0.0443,0.4327,0.0273
sec_contact_asym_mig_three_epoch	Round_4_Replicate_17	-888.48	1790.96	4260.42	416.54	0.4101,0.4042,7.4535,0.5367,0.05,0.6643,0.0148
sec_contact_asym_mig_three_epoch	Round_4_Replicate_18	-938.24	1890.48	4374.44	276.17	0.454,0.7552,2.9168,0.2497,0.0495,0.8741,0.0267
sec_contact_asym_mig_three_epoch	Round_4_Replicate_19	-683.98	1381.96	1016.9	440.69	0.3113,0.3644,4.1501,0.289,0.0406,0.2611,0.0346
sec_contact_asym_mig_three_epoch	Round_4_Replicate_20	-677.7	1369.4	1033.7	435.66	0.3348,0.3402,3.0241,0.218,0.0266,0.248,0.0155
sec_contact_asym_mig_three_epoch	Round_4_Replicate_21	-884.29	1782.58	4235.57	482.97	0.3594,0.2933,4.5285,0.3844,0.0192,0.4997,0.0148
sec_contact_asym_mig_three_epoch	Round_4_Replicate_22	-861.75	1737.5	3733.97	515.56	0.3469,0.2831,6.2529,0.2788,0.0162,0.4714,0.0462
sec_contact_asym_mig_three_epoch	Round_4_Replicate_23	-812.53	1639.06	1655.58	241.98	0.6634,0.886,3.2617,0.1874,0.0315,0.7341,0.0148
sec_contact_asym_mig_three_epoch	Round_4_Replicate_24	-793.26	1600.52	2231.09	438.47	0.43,0.2786,2.5182,0.216,0.0429,0.356,0.0215
sec_contact_asym_mig_three_epoch	Round_4_Replicate_25	-694.18	1402.36	1130.4	409.54	0.3752,0.3816,3.3448,0.4084,0.0183,0.3126,0.0133
sec_contact_asym_mig_three_epoch	Round_4_Replicate_26	-828.74	1671.48	1961.22	289.67	0.433,0.7528,4.1341,0.7235,0.0215,0.6474,0.0193
sec_contact_asym_mig_three_epoch	Round_4_Replicate_27	-770.17	1554.34	1342.81	351.51	0.5243,0.513,7.6124,0.3932,0.0222,0.488,0.0124
sec_contact_asym_mig_three_epoch	Round_4_Replicate_28	-754.87	1523.74	1468.87	304.18	0.6296,0.5323,2.0658,0.425,0.0333,0.5044,0.0431
sec_contact_asym_mig_three_epoch	Round_4_Replicate_29	-694.56	1403.12	1200.42	401.03	0.3604,0.4008,2.2928,0.3403,0.0434,0.3086,0.0168
sec_contact_asym_mig_three_epoch	Round_4_Replicate_30	-761.66	1537.32	1498.71	345.29	0.4785,0.5431,5.5489,0.1892,0.0307,0.5181,0.0234
sec_contact_asym_mig_three_epoch	Round_4_Replicate_31	-724.94	1463.88	1211.26	392.0	0.4125,0.4381,4.9106,0.2081,0.049,0.3713,0.0401
sec_contact_asym_mig_three_epoch	Round_4_Replicate_32	-674.64	1363.28	1057.11	440.59	0.3098,0.3456,2.8749,0.5687,0.0238,0.2604,0.0157
sec_contact_asym_mig_three_epoch	Round_4_Replicate_33	-873.8	1761.6	1530.23	327.25	0.717,0.4735,5.3778,0.4124,0.0119,0.3888,0.031
sec_contact_asym_mig_three_epoch	Round_4_Replicate_34	-829.84	1673.68	1657.23	255.9	0.5347,0.9001,4.2091,0.3163,0.0478,0.6777,0.0121
sec_contact_asym_mig_three_epoch	Round_4_Replicate_35	-767.7	1549.4	1697.96	315.61	0.5597,0.5593,3.9325,0.4219,0.0303,0.5957,0.0184
sec_contact_asym_mig_three_epoch	Round_4_Replicate_36	-845.0	1704.0	3171.72	301.31	0.6176,0.5527,4.1347,0.5045,0.0236,0.823,0.0385
sec_contact_asym_mig_three_epoch	Round_4_Replicate_37	-837.72	1689.44	1638.2	270.42	0.4841,0.8716,5.2659,0.2105,0.0516,0.6328,0.0245
sec_contact_asym_mig_three_epoch	Round_4_Replicate_38	-739.72	1493.44	1206.33	377.75	0.3805,0.5036,6.1112,0.5358,0.0469,0.3998,0.0533
sec_contact_asym_mig_three_epoch	Round_4_Replicate_39	-759.79	1533.58	2046.41	413.78	0.3487,0.3865,2.7286,0.3289,0.0228,0.4179,0.052
sec_contact_asym_mig_three_epoch	Round_4_Replicate_40	-806.12	1626.24	1168.99	355.39	0.3392,0.6049,5.7186,0.423,0.0496,0.31,0.024
