Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2)
sec_contact_sym_mig	Round_1_Replicate_1	-3966.07	7942.14	2431663.42	153.15	0.5762,4.3903,0.9836,0.1644,0.6764
sec_contact_sym_mig	Round_1_Replicate_2	-1153.91	2317.82	3125.55	126.76	2.1917,0.6799,0.2402,0.8094,5.139
sec_contact_sym_mig	Round_1_Replicate_3	-2707.72	5425.44	103860.54	113.66	0.4229,2.5314,0.7225,4.1239,0.941
sec_contact_sym_mig	Round_1_Replicate_4	-919.19	1848.38	1580.36	134.1	1.0816,1.649,0.14,0.1347,3.2427
sec_contact_sym_mig	Round_1_Replicate_5	-2445.59	4901.18	135254.68	71.05	2.9469,4.4647,0.187,0.3121,3.3644
sec_contact_sym_mig	Round_1_Replicate_6	-5549.69	11109.38	79815246.67	130.09	0.4505,6.0526,2.2439,0.8866,0.9093
sec_contact_sym_mig	Round_1_Replicate_7	-1984.08	3978.16	18419.87	331.76	0.5453,0.1202,2.4037,2.3268,0.4112
sec_contact_sym_mig	Round_1_Replicate_8	-2250.8	4511.6	60406.08	624.01	0.1666,0.3517,2.8091,4.607,8.0563
sec_contact_sym_mig	Round_1_Replicate_9	-1026.39	2062.78	2834.77	140.87	1.6563,0.2886,0.1448,3.6189,4.3776
sec_contact_sym_mig	Round_1_Replicate_10	-1314.28	2638.56	3463.47	107.1	4.5515,0.642,0.1448,1.4907,2.0604
sec_contact_sym_mig	Round_2_Replicate_1	-830.12	1670.24	1303.95	292.23	0.6327,0.5259,0.3333,0.0822,1.1042
sec_contact_sym_mig	Round_2_Replicate_2	-1461.33	2932.66	9694.42	157.61	1.4346,1.3262,0.2713,0.2049,1.6443
sec_contact_sym_mig	Round_2_Replicate_3	-1517.82	3045.64	10255.16	158.82	1.4949,0.8133,0.4233,0.0994,3.6609
sec_contact_sym_mig	Round_2_Replicate_4	-1268.25	2546.5	3458.77	100.95	0.3448,2.2411,0.0531,0.0714,8.4601
sec_contact_sym_mig	Round_2_Replicate_5	-1007.95	2025.9	2123.51	139.95	0.3771,1.2723,0.0716,0.0294,7.1522
sec_contact_sym_mig	Round_2_Replicate_6	-1227.51	2465.02	3749.48	105.27	1.0856,1.9315,0.215,0.2584,7.6155
sec_contact_sym_mig	Round_2_Replicate_7	-1126.05	2262.1	3078.84	111.33	2.0073,2.3611,0.0643,0.2705,2.069
sec_contact_sym_mig	Round_2_Replicate_8	-1165.0	2340.0	2759.85	106.03	1.6682,3.1318,0.0396,0.1941,2.0223
sec_contact_sym_mig	Round_2_Replicate_9	-1622.17	3254.34	4040.36	153.32	0.4306,3.8593,0.0671,0.0827,0.8242
sec_contact_sym_mig	Round_2_Replicate_10	-745.92	1501.84	1349.58	107.82	1.9757,0.7569,0.0559,0.3079,7.3619
sec_contact_sym_mig	Round_2_Replicate_11	-1467.61	2945.22	9065.91	62.68	2.8685,2.7675,0.1545,0.1467,10.6632
sec_contact_sym_mig	Round_2_Replicate_12	-2914.33	5838.66	406991.4	70.87	2.2005,2.939,0.401,0.0596,9.4093
sec_contact_sym_mig	Round_2_Replicate_13	-948.96	1907.92	1949.17	210.51	0.3101,0.765,0.0841,0.1088,4.0787
sec_contact_sym_mig	Round_2_Replicate_14	-948.47	1906.94	1691.37	135.14	2.88,0.6191,0.061,0.4802,2.3944
sec_contact_sym_mig	Round_2_Replicate_15	-1014.37	2038.74	1738.89	57.45	1.2338,4.5834,0.0489,0.473,10.6844
sec_contact_sym_mig	Round_2_Replicate_16	-1537.7	3085.4	8677.27	114.1	1.9402,3.1096,0.0526,0.4247,1.1659
sec_contact_sym_mig	Round_2_Replicate_17	-1066.02	2142.04	2668.61	95.75	1.7801,1.5545,0.1808,0.0634,8.9562
sec_contact_sym_mig	Round_2_Replicate_18	-948.79	1907.58	1731.47	188.12	1.7077,0.8156,0.0922,0.1545,1.1287
sec_contact_sym_mig	Round_2_Replicate_19	-2126.51	4263.02	53059.22	128.24	2.47,2.3682,0.1352,0.0302,1.2081
sec_contact_sym_mig	Round_2_Replicate_20	-931.51	1873.02	1486.21	173.23	0.4303,1.3497,0.1458,0.0368,3.4785
sec_contact_sym_mig	Round_3_Replicate_1	-757.15	1524.3	1417.82	131.02	1.3612,0.5229,0.1222,0.4833,13.1622
sec_contact_sym_mig	Round_3_Replicate_2	-1038.35	2086.7	2772.16	96.86	2.4905,0.4346,0.1158,0.0668,22.0042
sec_contact_sym_mig	Round_3_Replicate_3	-771.68	1553.36	1098.53	103.02	0.7628,1.421,0.1019,0.3136,27.5322
sec_contact_sym_mig	Round_3_Replicate_4	-1121.01	2252.02	3263.48	108.79	2.912,0.4316,0.0345,0.7791,5.0939
sec_contact_sym_mig	Round_3_Replicate_5	-772.34	1554.68	1415.59	131.17	1.5838,0.544,0.1188,0.8727,7.6231
sec_contact_sym_mig	Round_3_Replicate_6	-970.36	1950.72	2279.95	239.79	0.9711,0.2095,0.3138,0.087,20.3085
sec_contact_sym_mig	Round_3_Replicate_7	-731.85	1473.7	986.52	128.91	0.7527,1.3435,0.0849,0.5962,5.9205
sec_contact_sym_mig	Round_3_Replicate_8	-920.19	1850.38	1734.49	89.92	2.1701,1.6023,0.1284,0.1988,7.4918
sec_contact_sym_mig	Round_3_Replicate_9	-715.22	1440.44	940.7	138.3	0.7143,1.1505,0.1043,0.0873,6.9703
sec_contact_sym_mig	Round_3_Replicate_10	-895.54	1801.08	2106.05	141.31	0.9466,0.3853,0.0962,0.0539,23.0924
sec_contact_sym_mig	Round_3_Replicate_11	-963.92	1937.84	1919.3	104.89	0.5025,1.231,0.0719,0.0744,25.1011
sec_contact_sym_mig	Round_3_Replicate_12	-669.38	1348.76	1000.38	70.42	2.6214,1.5075,0.0359,0.0937,11.8369
sec_contact_sym_mig	Round_3_Replicate_13	-771.32	1552.64	1464.44	92.56	2.0909,0.7351,0.0832,0.1792,14.9924
sec_contact_sym_mig	Round_3_Replicate_14	-989.41	1988.82	2581.64	83.75	2.9854,0.5439,0.0668,0.0935,12.804
sec_contact_sym_mig	Round_3_Replicate_15	-907.57	1825.14	2194.54	95.0	2.2785,0.5296,0.0796,0.0807,14.1541
sec_contact_sym_mig	Round_3_Replicate_16	-738.57	1487.14	1360.71	232.47	0.6476,0.305,0.2007,0.3895,11.5965
