Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sec_contact_sym_mig_size	Round_1_Replicate_1	-2578.95	5171.9	59043.75	215.0	0.2085,1.0056,0.5239,4.5538,0.5622,0.1876,0.2117
sec_contact_sym_mig_size	Round_1_Replicate_2	-763.84	1541.68	1053.16	278.43	0.168,5.7315,0.3043,0.5704,0.2588,0.8494,2.3563
sec_contact_sym_mig_size	Round_1_Replicate_3	-3787.32	7588.64	2681363.16	282.78	0.9248,0.4875,0.3224,1.003,2.5347,0.2006,2.2184
sec_contact_sym_mig_size	Round_1_Replicate_4	-1043.18	2100.36	2140.35	315.51	0.4519,6.0832,0.3348,0.5361,0.6199,2.3789,5.2096
sec_contact_sym_mig_size	Round_1_Replicate_5	-3867.43	7748.86	2602552.68	309.65	0.4303,0.3744,3.6242,0.1869,3.3918,0.4875,0.3173
sec_contact_sym_mig_size	Round_1_Replicate_6	-1550.16	3114.32	12413.94	210.72	1.8131,1.1197,0.9896,0.5217,0.8115,1.1604,0.3071
sec_contact_sym_mig_size	Round_1_Replicate_7	-6341.63	12697.26	269968508.47	118.78	0.9756,0.1468,0.6025,1.7029,3.5896,7.4529,0.2927
sec_contact_sym_mig_size	Round_1_Replicate_8	-2509.54	5033.08	145455.94	106.93	0.8362,0.7941,2.9077,2.8053,0.2299,0.1995,1.5974
sec_contact_sym_mig_size	Round_1_Replicate_9	-3822.18	7658.36	2221136.22	149.47	0.1192,0.3305,4.9938,0.3853,1.6718,0.1778,7.8594
sec_contact_sym_mig_size	Round_1_Replicate_10	-1419.18	2852.36	6766.06	447.4	2.8846,0.3804,0.3292,0.2289,1.644,0.5053,0.5614
sec_contact_sym_mig_size	Round_2_Replicate_1	-744.09	1502.18	960.21	308.4	0.4055,3.6581,0.4766,0.4785,0.3406,0.4675,0.9264
sec_contact_sym_mig_size	Round_2_Replicate_2	-747.3	1508.6	1290.31	305.84	0.0561,4.6424,0.7947,0.3214,0.1035,0.3045,1.1719
sec_contact_sym_mig_size	Round_2_Replicate_3	-888.48	1790.96	1695.17	532.74	0.3001,3.9521,0.1253,0.147,0.4655,1.6498,1.3683
sec_contact_sym_mig_size	Round_2_Replicate_4	-746.17	1506.34	1279.21	269.33	0.2781,3.7637,0.4099,0.329,0.185,0.6013,5.9735
sec_contact_sym_mig_size	Round_2_Replicate_5	-1218.56	2451.12	3971.22	249.47	0.043,7.155,0.5651,0.1647,0.0948,0.4614,4.6164
sec_contact_sym_mig_size	Round_2_Replicate_6	-1031.81	2077.62	2289.5	263.99	0.078,2.137,0.5373,0.5995,0.4975,0.6388,2.0614
sec_contact_sym_mig_size	Round_2_Replicate_7	-1981.66	3977.32	15841.02	175.14	0.143,14.434,0.28,1.6389,0.5843,2.9504,7.2401
sec_contact_sym_mig_size	Round_2_Replicate_8	-2725.25	5464.5	136493.2	164.73	0.5577,15.623,0.3537,1.9299,0.9179,2.217,5.4861
sec_contact_sym_mig_size	Round_2_Replicate_9	-705.92	1425.84	1029.97	220.43	0.2363,2.3993,1.0355,0.4524,0.1559,0.4517,2.2259
sec_contact_sym_mig_size	Round_2_Replicate_10	-645.26	1304.52	807.16	145.39	0.4726,3.3897,1.1611,0.8518,0.1041,0.5841,4.7346
sec_contact_sym_mig_size	Round_2_Replicate_11	-920.0	1854.0	2078.96	233.92	0.6169,2.7598,0.4892,0.2723,0.1282,1.3937,5.6457
sec_contact_sym_mig_size	Round_2_Replicate_12	-647.81	1309.62	809.5	327.35	0.2593,3.7671,0.4748,0.4265,0.1483,0.4396,0.6907
sec_contact_sym_mig_size	Round_2_Replicate_13	-910.1	1834.2	1855.38	316.07	0.0477,4.7917,0.7089,0.1966,0.4453,1.0962,2.5978
sec_contact_sym_mig_size	Round_2_Replicate_14	-1706.97	3427.94	6626.21	243.69	0.4067,18.3811,0.1061,0.318,0.1073,2.7574,6.7639
sec_contact_sym_mig_size	Round_2_Replicate_15	-828.9	1671.8	1274.2	541.07	0.1182,2.3758,0.2902,0.2165,0.8713,0.6368,5.9428
sec_contact_sym_mig_size	Round_2_Replicate_16	-1766.5	3547.0	6703.38	260.76	0.1443,8.0973,0.1116,1.0461,0.5798,0.8708,1.5069
sec_contact_sym_mig_size	Round_2_Replicate_17	-1347.14	2708.28	3548.01	475.47	0.0865,3.8804,0.1118,0.4763,0.9593,1.6485,3.1502
sec_contact_sym_mig_size	Round_2_Replicate_18	-828.24	1670.48	1236.41	198.3	0.0516,4.9669,0.9955,0.806,0.1447,1.2597,0.6648
sec_contact_sym_mig_size	Round_2_Replicate_19	-790.2	1594.4	1179.69	340.36	0.1009,12.7305,0.9297,0.2658,0.2754,0.3576,0.6586
