Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2, T3)
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_1	-1000.63	2017.26	4753.31	123.07	2.0864,3.681,2.3432,0.9056,0.2798,0.7417,1.595,1.6304
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_2	-1527.1	3070.2	3401.41	106.84	1.5356,0.2426,3.4763,4.805,0.3628,1.1576,0.2632,0.5298
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_3	-1738.4	3492.8	76456943301.9	111.84	3.9619,5.2096,0.5609,0.1242,0.267,3.1766,2.0735,4.0581
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_4	-1566.59	3149.18	141309.0	104.86	0.4401,1.0287,1.9601,1.0478,2.0302,1.1666,0.9121,5.0063
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_5	-2141.99	4299.98	1393784.93	136.49	0.1555,1.0065,0.4914,1.1779,0.2004,2.4723,1.2677,3.0195
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_6	-823.31	1662.62	1328.6	80.77	0.4049,3.3386,3.4801,1.2764,0.2003,5.2221,2.3463,0.7265
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_7	-4288.62	8593.24	8562061.61	111.43	1.015,0.9696,7.3291,2.1694,2.7163,0.968,0.4938,0.3441
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_8	-982.97	1981.94	2077.27	291.62	0.3789,0.7157,1.1559,0.297,8.0994,5.0785,3.5174,0.4859
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_9	-1306.01	2628.02	22447.48	452.27	0.3735,0.1793,0.2251,0.4459,8.1685,0.1328,4.2064,0.8002
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_10	-1376.39	2768.78	3955.75	196.44	0.1972,0.4406,3.599,0.2902,0.255,1.4851,0.552,0.2943
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_1	-1176.94	2369.88	6303.26	56.75	0.2525,12.2844,1.3929,4.3262,0.138,5.7858,1.9853,2.7966
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_2	-1130.03	2276.06	5998.62	82.88	0.2519,0.8976,3.2431,0.8812,0.6177,10.1394,4.6511,2.4741
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_3	-1753.94	3523.88	9218.1	91.07	1.4217,1.2367,6.7978,0.4472,0.7584,2.7331,1.9091,1.3229
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_4	-1795.67	3607.34	11570.42	42.2	0.1193,2.593,8.3632,0.5552,0.0815,18.4791,4.4512,1.2336
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_5	-1460.91	2937.82	21211.35	97.27	0.6079,2.5574,3.9411,0.7179,0.1889,2.6946,0.8302,2.2704
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_6	-1711.32	3438.64	7954.82	63.05	0.1897,7.5693,3.346,0.4754,0.5549,18.6045,2.284,0.1798
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_7	-1127.84	2271.68	12825.4	103.45	0.1851,13.9808,1.4326,1.523,0.1708,3.0158,0.7568,2.3379
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_8	-892.52	1801.04	2018.99	158.08	0.4556,3.0313,1.6973,0.4248,0.3303,3.1028,1.0924,0.3769
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_9	-939.97	1895.94	1652.02	38.76	0.1012,4.5066,3.1645,4.3579,0.0928,14.6791,8.8321,0.3572
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_10	-840.31	1696.62	1655.23	106.82	0.9708,1.0572,2.1694,1.8865,0.1202,1.8163,1.1897,0.8109
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_11	-1355.24	2726.48	6675.87	54.66	0.8214,8.7529,3.7588,4.3216,0.1652,2.9418,3.964,0.6178
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_12	-1471.7	2959.4	6118.01	57.31	1.009,2.0106,7.4675,0.615,0.0504,9.9352,3.0854,0.5899
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_13	-716.88	1449.76	1219.19	90.13	0.2765,13.1346,2.2986,1.566,0.1044,2.9897,3.0471,0.7369
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_14	-971.06	1958.12	2595.9	73.59	1.4459,1.0093,5.2963,1.452,0.0638,5.6502,1.1622,0.8403
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_15	-1153.24	2322.48	3462.76	45.13	0.6873,12.0114,7.9744,3.2292,0.0541,9.4675,0.6583,0.2301
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_16	-1491.05	2998.1	6349.06	99.52	0.1604,2.0286,4.539,0.4475,0.0895,6.4876,0.8724,0.5622
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_17	-725.05	1466.1	1298.94	74.67	0.2629,7.9766,1.9134,0.7821,0.3357,12.2257,1.2378,0.5517
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_18	-888.35	1792.7	1607.64	154.96	0.1088,2.2239,2.4002,0.8476,0.097,1.7722,0.8185,0.1779
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_19	-2089.72	4195.44	38814.04	64.56	0.1548,1.4071,4.9288,3.8941,0.2478,3.114,2.4149,0.2942
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_20	-897.24	1810.48	1237.46	72.61	1.3897,1.335,2.2562,4.0728,0.0615,2.7406,2.3168,0.3371
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_1	-854.17	1724.34	1993.55	72.5	0.2938,25.3864,4.3406,1.6522,0.1281,4.126,1.5382,1.6085
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_2	-1340.21	2696.42	3249.99	119.19	0.8703,4.5848,0.7505,3.2703,0.2485,1.0047,0.8348,0.2715
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_3	-920.64	1857.28	1472.13	58.29	0.2067,17.5855,3.6339,3.4505,0.0828,4.961,1.9674,0.4907
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_4	-960.62	1937.24	4564.62	190.67	0.9093,22.2318,0.6145,0.8517,0.1561,1.0705,1.672,0.6626
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_5	-913.74	1843.48	2192.61	48.44	0.9835,12.5709,5.6657,1.4185,0.1833,12.5188,2.5648,1.9741
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_6	-1000.39	2016.78	1832.03	93.12	0.7823,27.5415,6.2465,1.0329,0.0665,3.1239,1.0234,0.2368
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_7	-1077.92	2171.84	7150.13	148.17	0.7662,9.0817,0.8364,0.7753,0.1332,3.2797,0.8241,0.9463
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_8	-1198.99	2413.98	2549.65	77.88	0.0671,27.8703,1.0651,3.6708,0.2801,3.2225,1.1288,0.6528
