Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2, T3)
sec_contact_sym_mig_three_epoch	Round_1_Replicate_1	-1668.33	3348.66	17406.87	102.24	5.2532,0.5114,5.9717,1.7449,1.2394,2.1883
sec_contact_sym_mig_three_epoch	Round_1_Replicate_2	-1775.09	3562.18	6367.28	302.22	2.9272,0.1776,5.3436,0.293,2.5788,0.1756
sec_contact_sym_mig_three_epoch	Round_1_Replicate_3	-2855.78	5723.56	421535867.58	127.78	3.0479,0.2487,4.2666,0.2025,4.2187,3.6655
sec_contact_sym_mig_three_epoch	Round_1_Replicate_4	-2146.61	4305.22	402512.25	63.03	0.8148,6.375,0.672,0.1569,0.2244,5.277
sec_contact_sym_mig_three_epoch	Round_1_Replicate_5	-1403.92	2819.84	67214246496.5	119.37	0.8452,0.1292,0.5606,3.7332,1.2852,3.291
sec_contact_sym_mig_three_epoch	Round_1_Replicate_6	-821.62	1655.24	1623.5	94.34	2.469,0.7726,0.1233,5.6778,2.0822,0.2571
sec_contact_sym_mig_three_epoch	Round_1_Replicate_7	-1612.09	3236.18	5137.89	106.84	0.7028,4.4679,0.542,1.1258,0.6328,0.4442
sec_contact_sym_mig_three_epoch	Round_1_Replicate_8	-1301.07	2614.14	4711.38	63.62	1.8705,3.6348,0.3521,6.2325,2.3566,0.5806
sec_contact_sym_mig_three_epoch	Round_1_Replicate_9	-1987.06	3986.12	8581.88	147.42	4.3764,0.2003,1.1062,2.9041,2.4334,0.1706
sec_contact_sym_mig_three_epoch	Round_1_Replicate_10	-1090.36	2192.72	4541.4	343.72	0.3638,0.2247,0.1979,0.417,2.9903,0.1419
sec_contact_sym_mig_three_epoch	Round_2_Replicate_1	-709.81	1431.62	1243.89	72.07	1.5772,1.9729,0.0835,8.0124,3.9381,0.6552
sec_contact_sym_mig_three_epoch	Round_2_Replicate_2	-1899.48	3810.96	15572.61	95.98	5.3835,0.2941,0.0329,1.6654,2.5128,0.3256
sec_contact_sym_mig_three_epoch	Round_2_Replicate_3	-2286.94	4585.88	14670.34	61.28	6.0611,0.2001,0.2345,13.5421,5.1328,0.0849
sec_contact_sym_mig_three_epoch	Round_2_Replicate_4	-742.56	1497.12	1097.97	120.87	0.9144,1.5693,0.1337,2.4807,2.9345,0.3255
sec_contact_sym_mig_three_epoch	Round_2_Replicate_5	-768.41	1548.82	1226.95	48.11	5.2741,1.8737,0.0487,10.4903,3.2374,0.1477
sec_contact_sym_mig_three_epoch	Round_2_Replicate_6	-1012.34	2036.68	2163.82	56.39	2.1045,0.8291,0.3765,23.11,2.4426,0.2756
sec_contact_sym_mig_three_epoch	Round_2_Replicate_7	-758.82	1529.64	1605.97	77.62	2.1688,1.2735,0.0541,7.1099,3.2703,0.3619
sec_contact_sym_mig_three_epoch	Round_2_Replicate_8	-728.18	1468.36	1528.37	114.99	1.1432,1.1373,0.187,4.9614,1.2992,0.6888
sec_contact_sym_mig_three_epoch	Round_2_Replicate_9	-1786.41	3584.82	7100.51	106.47	4.3699,0.2739,0.3088,2.5108,4.6206,0.1003
sec_contact_sym_mig_three_epoch	Round_2_Replicate_10	-685.78	1383.56	1195.23	85.72	1.4286,1.0384,0.2984,9.8725,1.0029,0.7231
sec_contact_sym_mig_three_epoch	Round_2_Replicate_11	-870.97	1753.94	1535.63	162.69	1.3154,0.5056,0.3308,3.2418,3.3993,0.088
sec_contact_sym_mig_three_epoch	Round_2_Replicate_12	-673.44	1358.88	996.21	145.47	0.8141,0.9957,0.2637,7.2082,8.3457,0.4127
sec_contact_sym_mig_three_epoch	Round_2_Replicate_13	-1945.64	3903.28	8230.48	77.52	7.2939,0.3242,0.3394,4.626,1.9694,0.352
