Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-1792.42	3592.84	17988.03	93.33	5.1135,1.6591,0.1478,2.6806
sym_mig	Round_1_Replicate_2	-3176.7	6361.4	823914.47	298.71	1.0178,0.7387,0.1324,0.1587
sym_mig	Round_1_Replicate_3	-3743.83	7495.66	2052118.86	183.66	5.3539,1.2464,0.2815,0.4485
sym_mig	Round_1_Replicate_4	-1160.4	2328.8	3099.64	232.54	1.2514,0.1876,0.3432,4.5982
sym_mig	Round_1_Replicate_5	-6240.49	12488.98	11720412136.0	98.74	1.5353,3.1513,7.0104,2.5676
sym_mig	Round_1_Replicate_6	-1231.11	2470.22	3347.15	158.42	2.1004,0.2817,0.2379,5.1312
sym_mig	Round_1_Replicate_7	-6415.43	12838.86	576935146.31	209.52	0.4309,5.761,3.4034,0.3189
sym_mig	Round_1_Replicate_8	-765.83	1539.66	1086.84	447.82	0.3555,0.2752,0.5525,0.536
sym_mig	Round_1_Replicate_9	-3934.84	7877.68	4729398.19	330.75	0.5211,0.4917,3.2193,3.8921
sym_mig	Round_1_Replicate_10	-4052.58	8113.16	4301472.22	167.97	5.4437,1.565,0.2881,0.509
sym_mig	Round_2_Replicate_1	-3835.77	7679.54	4217326.94	182.57	1.1824,1.0015,1.4278,2.1212
sym_mig	Round_2_Replicate_2	-1376.4	2760.8	4593.7	461.82	0.6029,0.1045,1.1555,0.2948
sym_mig	Round_2_Replicate_3	-1464.18	2936.36	5701.0	328.61	0.2356,0.8049,0.6884,0.6793
sym_mig	Round_2_Replicate_4	-670.92	1349.84	851.68	572.37	0.2285,0.1975,0.6207,0.7707
sym_mig	Round_2_Replicate_5	-1388.97	2785.94	5941.26	435.56	0.5606,0.1788,1.2137,0.389
sym_mig	Round_2_Replicate_6	-896.41	1800.82	1352.09	377.65	0.2242,0.5848,0.2454,0.4519
sym_mig	Round_2_Replicate_7	-1272.53	2553.06	4062.61	521.35	0.1927,0.107,0.1491,1.7202
sym_mig	Round_2_Replicate_8	-691.45	1390.9	1190.56	516.4	0.3296,0.1534,0.1461,0.3276
sym_mig	Round_2_Replicate_9	-1362.92	2733.84	5174.37	418.76	0.6575,0.1712,1.0721,0.536
sym_mig	Round_2_Replicate_10	-1246.81	2501.62	4857.94	321.23	0.8192,0.4059,0.4436,0.4579
sym_mig	Round_2_Replicate_11	-654.07	1316.14	804.42	337.83	0.3841,0.4004,0.2616,1.9926
sym_mig	Round_2_Replicate_12	-2198.31	4404.62	30354.65	393.81	0.1311,0.7109,1.6442,0.538
sym_mig	Round_2_Replicate_13	-853.58	1715.16	1609.49	266.26	1.1128,0.282,0.1366,1.5027
sym_mig	Round_2_Replicate_14	-1712.41	3432.82	18993.27	232.93	0.8523,1.0649,0.3901,0.6731
sym_mig	Round_2_Replicate_15	-1731.89	3471.78	16114.18	490.08	0.2514,0.3215,1.8833,0.6702
sym_mig	Round_2_Replicate_16	-1926.12	3860.24	20509.54	380.12	0.9402,0.1589,1.5078,1.7946
sym_mig	Round_2_Replicate_17	-1249.38	2506.76	3343.7	395.97	0.9228,0.1104,0.3665,0.3239
sym_mig	Round_2_Replicate_18	-904.04	1816.08	1836.33	432.39	0.552,0.1455,0.54,1.3773
sym_mig	Round_2_Replicate_19	-2274.99	4557.98	78741.76	379.95	0.5047,0.3588,1.8327,0.5094
sym_mig	Round_2_Replicate_20	-639.91	1287.82	814.12	518.1	0.257,0.2271,0.4046,0.7291
sym_mig	Round_3_Replicate_1	-645.35	1298.7	861.59	471.42	0.2967,0.2447,0.331,1.0201
sym_mig	Round_3_Replicate_2	-671.92	1351.84	927.18	661.92	0.1726,0.1605,0.6108,0.8546
sym_mig	Round_3_Replicate_3	-1101.21	2210.42	2506.24	297.77	0.3596,0.7844,0.4264,0.9378
sym_mig	Round_3_Replicate_4	-937.24	1882.48	1725.05	646.99	0.2265,0.2064,1.2007,3.364
sym_mig	Round_3_Replicate_5	-674.37	1356.74	920.86	1010.31	0.119,0.0999,1.0907,1.3128
sym_mig	Round_3_Replicate_6	-688.34	1384.68	1083.51	601.12	0.2239,0.1436,0.5364,3.1273
sym_mig	Round_3_Replicate_7	-630.75	1269.5	803.65	638.34	0.1675,0.1438,0.6455,0.2814
sym_mig	Round_3_Replicate_8	-1044.0	2096.0	2353.87	472.44	0.4991,0.149,0.8667,0.5629
sym_mig	Round_3_Replicate_9	-1384.83	2777.66	5754.84	323.89	0.94,0.258,0.7654,1.0221
sym_mig	Round_3_Replicate_10	-778.45	1564.9	1411.16	444.01	0.2536,0.1986,0.2573,2.4564
sym_mig	Round_3_Replicate_11	-701.39	1410.78	941.64	348.58	0.6373,0.3523,0.1021,0.5868
sym_mig	Round_3_Replicate_12	-601.81	1211.62	770.2	612.75	0.1734,0.1544,0.3867,0.272
sym_mig	Round_3_Replicate_13	-1091.84	2191.68	2643.12	303.62	1.0237,0.307,0.4295,0.835
sym_mig	Round_3_Replicate_14	-915.92	1839.84	1604.54	461.28	0.2219,0.3361,0.6692,0.3304
sym_mig	Round_3_Replicate_15	-753.96	1515.92	1262.28	479.75	0.4113,0.1568,0.2824,0.3159
sym_mig	Round_3_Replicate_16	-1344.85	2697.7	4949.37	434.08	0.6052,0.1604,1.1123,0.3954
sym_mig	Round_3_Replicate_17	-608.6	1225.2	762.69	604.31	0.1825,0.1547,0.4626,0.2708
sym_mig	Round_3_Replicate_18	-1002.37	2012.74	2073.9	277.22	0.5024,0.8459,0.2444,0.7126
sym_mig	Round_3_Replicate_19	-714.47	1436.94	859.01	219.13	0.8776,0.8134,0.1174,1.5302
sym_mig	Round_3_Replicate_20	-994.59	1997.18	2057.73	322.27	0.9406,0.314,0.2989,0.5566
sym_mig	Round_3_Replicate_21	-674.88	1357.76	787.56	430.31	0.3161,0.3389,0.3632,0.6198
sym_mig	Round_3_Replicate_22	-688.61	1385.22	1073.47	406.59	0.5134,0.2471,0.1161,0.5744
sym_mig	Round_3_Replicate_23	-783.89	1575.78	1102.51	667.18	0.2094,0.1751,1.0406,1.2852
sym_mig	Round_3_Replicate_24	-1069.23	2146.46	2255.57	379.36	0.2653,0.4904,0.7065,1.9689
sym_mig	Round_3_Replicate_25	-662.15	1332.3	842.47	445.73	0.2902,0.2627,0.4297,1.9847
sym_mig	Round_3_Replicate_26	-714.8	1437.6	920.0	291.99	0.7066,0.4652,0.2295,1.1892
sym_mig	Round_3_Replicate_27	-958.5	1925.0	1693.65	427.73	0.256,0.3959,0.7327,1.5464
sym_mig	Round_3_Replicate_28	-873.4	1754.8	1564.77	317.02	0.98,0.2516,0.1669,0.8193
sym_mig	Round_3_Replicate_29	-741.06	1490.12	1372.75	407.75	0.3892,0.1733,0.3476,3.9445
sym_mig	Round_3_Replicate_30	-669.08	1346.16	874.19	660.27	0.1775,0.1536,0.7717,0.4724
sym_mig	Round_4_Replicate_1	-616.47	1240.94	799.36	690.76	0.1183,0.1054,0.6944,0.1673
sym_mig	Round_4_Replicate_2	-613.54	1235.08	744.86	572.63	0.2003,0.1901,0.4169,0.3546
sym_mig	Round_4_Replicate_3	-601.41	1210.82	758.91	518.7	0.2391,0.2217,0.1812,0.3541
sym_mig	Round_4_Replicate_4	-596.63	1201.26	736.22	565.06	0.2045,0.1789,0.2962,0.288
sym_mig	Round_4_Replicate_5	-591.21	1190.42	758.16	619.85	0.1487,0.1352,0.2477,0.1877
sym_mig	Round_4_Replicate_6	-609.66	1227.32	753.12	500.9	0.2779,0.2312,0.2804,0.4727
sym_mig	Round_4_Replicate_7	-612.51	1233.02	772.36	592.6	0.1977,0.164,0.458,0.3114
sym_mig	Round_4_Replicate_8	-597.03	1202.06	731.49	609.89	0.1608,0.149,0.3752,0.2204
sym_mig	Round_4_Replicate_9	-595.22	1198.44	750.15	565.58	0.1923,0.166,0.1766,0.2244
sym_mig	Round_4_Replicate_10	-605.71	1219.42	727.37	498.19	0.2714,0.2367,0.2605,0.4239
sym_mig	Round_4_Replicate_11	-593.92	1195.84	773.89	654.87	0.113,0.1068,0.2019,0.1327
sym_mig	Round_4_Replicate_12	-618.0	1244.0	777.43	648.48	0.1491,0.1344,0.6075,0.2303
sym_mig	Round_4_Replicate_13	-630.93	1269.86	814.96	652.62	0.1616,0.1436,0.6334,0.3037
sym_mig	Round_4_Replicate_14	-664.5	1337.0	964.33	629.55	0.2067,0.1296,0.6831,0.3207
sym_mig	Round_4_Replicate_15	-594.25	1196.5	738.75	559.21	0.2043,0.1813,0.2359,0.2748
sym_mig	Round_4_Replicate_16	-620.31	1248.62	779.77	577.37	0.2023,0.1914,0.4113,0.4115
sym_mig	Round_4_Replicate_17	-601.84	1211.68	733.62	559.73	0.2124,0.1846,0.3414,0.3105
sym_mig	Round_4_Replicate_18	-625.39	1258.78	771.82	613.35	0.1691,0.1465,0.5831,0.235
sym_mig	Round_4_Replicate_19	-610.53	1229.06	746.04	536.91	0.241,0.2044,0.3574,0.3953
sym_mig	Round_4_Replicate_20	-644.14	1296.28	861.52	641.69	0.1815,0.1384,0.6871,0.3133
sym_mig	Round_4_Replicate_21	-606.87	1221.74	742.88	545.02	0.2314,0.1975,0.3488,0.366
sym_mig	Round_4_Replicate_22	-644.48	1296.96	837.1	595.64	0.2094,0.1796,0.5404,0.5332
sym_mig	Round_4_Replicate_23	-603.97	1215.94	776.93	516.96	0.2671,0.2031,0.2178,0.3563
sym_mig	Round_4_Replicate_24	-598.69	1205.38	762.24	530.43	0.2399,0.2014,0.2037,0.3314
sym_mig	Round_4_Replicate_25	-664.96	1337.92	881.63	657.09	0.183,0.1508,0.7441,0.4739
sym_mig	Round_4_Replicate_26	-623.93	1255.86	809.74	693.88	0.124,0.1125,0.733,0.1941
sym_mig	Round_4_Replicate_27	-593.12	1194.24	744.79	633.27	0.1404,0.1302,0.342,0.1835
sym_mig	Round_4_Replicate_28	-606.61	1221.22	732.9	486.26	0.2818,0.25,0.2371,0.4583
sym_mig	Round_4_Replicate_29	-596.46	1200.92	728.96	537.67	0.2203,0.2016,0.2181,0.3034
sym_mig	Round_4_Replicate_30	-601.12	1210.24	777.03	682.8	0.1151,0.1073,0.5038,0.1594
sym_mig	Round_4_Replicate_31	-607.59	1223.18	755.0	522.37	0.2528,0.2171,0.294,0.4328
sym_mig	Round_4_Replicate_32	-595.59	1199.18	756.26	588.59	0.1881,0.1603,0.3101,0.2607
sym_mig	Round_4_Replicate_33	-645.9	1299.8	854.61	605.27	0.2129,0.1623,0.5953,0.4374
sym_mig	Round_4_Replicate_34	-608.62	1225.24	749.1	534.09	0.2343,0.2151,0.3112,0.4188
sym_mig	Round_4_Replicate_35	-616.23	1240.46	778.73	586.47	0.1929,0.1848,0.395,0.3751
sym_mig	Round_4_Replicate_36	-603.17	1214.34	797.33	561.41	0.2059,0.1888,0.2117,0.3212
sym_mig	Round_4_Replicate_37	-600.94	1209.88	782.17	610.6	0.1782,0.1422,0.387,0.2402
sym_mig	Round_4_Replicate_38	-651.66	1311.32	816.58	647.79	0.1606,0.1543,0.7307,0.3258
sym_mig	Round_4_Replicate_39	-599.12	1206.24	735.86	515.59	0.2484,0.2165,0.2029,0.3394
sym_mig	Round_4_Replicate_40	-595.45	1198.9	764.03	636.34	0.1471,0.1339,0.3666,0.2073
