Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sym_mig_size	Round_1_Replicate_1	-8677.44	17368.88	1.66558523122e+11	82.0	3.9922,5.4489,2.3694,4.2719,2.0087,1.8065,0.12
sym_mig_size	Round_1_Replicate_2	-6865.64	13745.28	1445466762.85	174.84	0.74,4.1936,0.3086,6.892,5.343,2.418,4.6128
sym_mig_size	Round_1_Replicate_3	-3297.6	6609.2	663975.54	275.28	3.129,0.3346,0.2423,1.1528,2.0825,4.4843,2.366
sym_mig_size	Round_1_Replicate_4	-3282.58	6579.16	653385.49	227.21	0.2521,7.7181,3.8766,0.7343,0.9407,0.2176,0.3113
sym_mig_size	Round_1_Replicate_5	-835.13	1684.26	1397.27	130.67	6.2453,1.0388,0.9234,0.6892,0.2616,6.3111,0.9932
sym_mig_size	Round_1_Replicate_6	-2340.01	4694.02	57728.0	155.37	1.1239,1.0004,3.321,4.0559,0.3689,1.2376,0.1588
sym_mig_size	Round_1_Replicate_7	-3246.01	6506.02	279319.64	157.52	0.1437,5.9436,0.3901,2.2965,0.9504,1.5493,0.132
sym_mig_size	Round_1_Replicate_8	-8689.86	17393.72	42409353391.5	190.76	0.1728,0.3748,4.3291,6.4957,1.9836,0.4344,0.2811
sym_mig_size	Round_1_Replicate_9	-3387.88	6789.76	296694.0	186.77	2.8385,1.2119,0.1798,6.2974,1.5071,0.5392,0.1869
sym_mig_size	Round_1_Replicate_10	-1357.39	2728.78	5234.77	208.86	4.7767,0.5467,0.5026,0.9133,0.531,1.8718,7.9531
sym_mig_size	Round_2_Replicate_1	-906.61	1827.22	2042.24	129.75	5.3516,0.349,0.3559,0.4167,0.1064,17.0714,0.6192
sym_mig_size	Round_2_Replicate_2	-590.75	1195.5	845.77	278.45	7.0882,1.0855,0.2499,0.2698,0.1866,1.8833,0.3324
sym_mig_size	Round_2_Replicate_3	-1466.18	2946.36	5772.23	62.92	11.3032,0.621,1.7103,0.7771,0.1908,16.1066,0.2732
sym_mig_size	Round_2_Replicate_4	-703.28	1420.56	1034.28	359.29	8.196,2.2821,0.2766,0.236,0.4759,2.0005,1.1768
sym_mig_size	Round_2_Replicate_5	-1248.7	2511.4	3334.7	74.6	20.3118,1.3036,2.4781,0.5259,0.1308,6.0946,0.6101
sym_mig_size	Round_2_Replicate_6	-964.71	1943.42	2305.03	40.33	14.8979,3.6674,1.7555,0.9683,0.0622,13.9025,0.296
sym_mig_size	Round_2_Replicate_7	-2181.42	4376.84	40301.55	139.82	2.488,1.3397,2.4317,0.4042,0.7247,11.8079,3.4261
sym_mig_size	Round_2_Replicate_8	-693.2	1400.4	1054.84	230.87	2.0038,0.2913,0.5717,0.4564,0.1749,2.1995,0.2836
sym_mig_size	Round_2_Replicate_9	-803.77	1621.54	1653.79	111.18	25.2939,2.9627,0.7491,0.5034,0.1083,9.6137,1.8042
sym_mig_size	Round_2_Replicate_10	-915.71	1845.42	1722.02	117.29	10.549,0.3751,0.5675,1.263,0.2725,9.025,0.4354
sym_mig_size	Round_2_Replicate_11	-1161.91	2337.82	3787.04	61.81	12.4319,1.4137,2.7537,0.495,0.0843,15.0719,1.7304
sym_mig_size	Round_2_Replicate_12	-1380.63	2775.26	5890.67	200.57	1.7463,1.0984,1.1505,0.4218,0.5836,2.9443,1.9826
sym_mig_size	Round_2_Replicate_13	-1806.8	3627.6	11918.01	160.02	1.8974,1.7821,0.2605,0.7525,1.0185,10.4286,0.5039
sym_mig_size	Round_2_Replicate_14	-878.76	1771.52	2181.39	194.84	3.8318,1.435,0.6594,0.2241,0.2478,7.6503,1.678
sym_mig_size	Round_2_Replicate_15	-1565.18	3144.36	5856.96	119.93	10.5838,0.5112,1.3764,0.2044,0.389,5.6111,0.304
sym_mig_size	Round_2_Replicate_16	-3045.59	6105.18	473166.47	119.05	1.606,0.8371,3.0618,1.3115,0.6627,21.8669,0.3935
sym_mig_size	Round_2_Replicate_17	-2146.63	4307.26	59686.84	101.83	3.2773,1.3526,0.7893,1.6068,0.579,8.6675,0.3607
sym_mig_size	Round_2_Replicate_18	-1823.84	3661.68	17628.97	127.81	1.6463,1.0684,0.7218,1.7371,0.4402,6.8107,3.6337
sym_mig_size	Round_2_Replicate_19	-1304.22	2622.44	3167.36	129.93	25.1076,2.5046,0.2703,0.7331,0.5953,8.9181,0.9193
sym_mig_size	Round_2_Replicate_20	-1160.04	2334.08	3220.18	104.74	2.4107,0.3513,2.7182,0.3839,0.1504,22.0695,1.1844
sym_mig_size	Round_3_Replicate_1	-1226.44	2466.88	5244.27	214.11	10.308,0.5463,0.8233,0.5919,0.3745,0.946,0.3135
sym_mig_size	Round_3_Replicate_2	-777.48	1568.96	1398.69	239.04	4.6303,0.4613,0.5316,0.2777,0.2127,1.6352,0.2602
sym_mig_size	Round_3_Replicate_3	-641.06	1296.12	960.31	234.87	4.7635,0.3207,0.2887,0.3563,0.2454,2.9034,0.2351
sym_mig_size	Round_3_Replicate_4	-855.9	1725.8	2194.23	227.53	20.7869,2.8043,0.3682,0.4604,0.2178,0.9878,0.2363
sym_mig_size	Round_3_Replicate_5	-723.01	1460.02	1633.29	243.77	22.7218,2.5725,0.1007,0.1126,0.0998,2.7756,0.1402
sym_mig_size	Round_3_Replicate_6	-1297.66	2609.32	3968.87	321.06	22.1337,1.0497,0.1132,0.4808,0.1155,1.32,0.8893
sym_mig_size	Round_3_Replicate_7	-1645.64	3305.28	7565.41	218.52	25.26,1.0037,0.0984,1.0342,0.0512,2.2373,0.4987
sym_mig_size	Round_3_Replicate_8	-567.91	1149.82	694.75	449.76	5.2793,0.6716,0.125,0.1422,0.3081,0.495,0.1121
sym_mig_size	Round_3_Replicate_9	-1294.03	2602.06	5323.47	196.19	23.6227,1.4387,0.8417,0.1174,0.2046,3.2212,0.9512
sym_mig_size	Round_3_Replicate_10	-886.88	1787.76	1706.34	397.06	3.4797,3.7063,0.1442,0.1537,0.511,2.7604,0.7298
sym_mig_size	Round_3_Replicate_11	-683.24	1380.48	847.65	285.59	21.0195,2.3887,0.2144,0.4598,0.1197,0.7328,0.2334
sym_mig_size	Round_3_Replicate_12	-684.47	1382.94	952.88	300.27	9.5699,0.7111,0.434,0.3577,0.1428,0.6118,0.2745
sym_mig_size	Round_3_Replicate_13	-759.21	1532.42	1606.45	342.36	4.2787,0.4064,0.3252,0.2163,0.1218,1.2223,0.4208
sym_mig_size	Round_3_Replicate_14	-945.94	1905.88	1898.42	294.25	24.5321,0.2872,0.111,0.2304,0.2496,4.1103,0.2969
sym_mig_size	Round_3_Replicate_15	-991.15	1996.3	1969.89	233.29	3.4854,0.5921,0.7566,0.2214,0.0472,0.8914,0.1094
sym_mig_size	Round_3_Replicate_16	-839.48	1692.96	1712.41	289.03	10.5175,1.1595,0.2534,0.506,0.1471,0.5339,0.164
