Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m1, m2, T1, T2)
sym_mig_twoepoch	Round_1_Replicate_1	-1465.15	2942.3	4266.57	232.85	0.192,1.0784,7.6878,0.4592,0.4181,7.9092
sym_mig_twoepoch	Round_1_Replicate_2	-2651.64	5315.28	56118.28	195.93	4.3157,0.1452,0.1867,1.3206,1.1026,1.8917
sym_mig_twoepoch	Round_1_Replicate_3	-8397.23	16806.46	88254264261.2	62.88	3.2122,5.5845,0.5412,1.6778,1.4319,2.8617
sym_mig_twoepoch	Round_1_Replicate_4	-2639.23	5290.46	175784.13	217.21	0.5271,1.0188,1.1847,1.1733,0.4379,3.8451
sym_mig_twoepoch	Round_1_Replicate_5	-4760.61	9533.22	32782120.28	160.54	1.1219,1.0212,3.8004,2.0643,3.9512,3.4526
sym_mig_twoepoch	Round_1_Replicate_6	-6969.58	13951.16	5223135082.34	107.37	2.9579,1.6333,0.6712,2.1118,0.3168,2.8705
sym_mig_twoepoch	Round_1_Replicate_7	-3446.7	6905.4	567189.31	187.34	6.91,0.195,0.4615,2.0911,5.582,3.3749
sym_mig_twoepoch	Round_1_Replicate_8	-4915.8	9843.6	31037204.89	242.4	0.3376,1.7232,3.9921,3.1325,0.9386,0.1871
sym_mig_twoepoch	Round_1_Replicate_9	-1981.67	3975.34	15189.14	236.12	0.2005,1.2567,0.5379,0.7636,0.4595,5.46
sym_mig_twoepoch	Round_1_Replicate_10	-1667.13	3346.26	14945.01	920.41	0.2063,0.139,0.8844,3.1754,0.5198,6.334
sym_mig_twoepoch	Round_2_Replicate_1	-2468.84	4949.68	16263.25	194.21	0.0635,1.8418,24.9692,0.5405,0.9144,27.2859
sym_mig_twoepoch	Round_2_Replicate_2	-943.22	1898.44	1581.03	661.17	0.0943,0.2845,7.5392,0.7574,0.7497,2.0175
sym_mig_twoepoch	Round_2_Replicate_3	-2650.65	5313.3	21160.12	111.52	0.1062,3.6587,9.7391,0.3825,0.2605,12.8624
sym_mig_twoepoch	Round_2_Replicate_4	-1967.03	3946.06	8907.71	190.81	0.0806,1.4402,3.7662,0.3156,0.4725,12.842
sym_mig_twoepoch	Round_2_Replicate_5	-2202.28	4416.56	23338.12	457.06	0.0896,0.7227,6.0218,1.6733,1.2091,2.255
sym_mig_twoepoch	Round_2_Replicate_6	-1206.27	2424.54	2871.52	445.61	0.0805,0.4483,6.5379,0.4923,0.4438,12.8839
sym_mig_twoepoch	Round_2_Replicate_7	-2094.54	4201.08	24383.94	290.36	0.1944,0.9944,2.2909,1.0732,0.1642,10.4979
sym_mig_twoepoch	Round_2_Replicate_8	-2840.13	5692.26	67028.3	132.33	0.1868,3.527,4.3687,0.728,0.4527,20.3536
sym_mig_twoepoch	Round_2_Replicate_9	-2764.42	5540.84	72428.97	239.83	0.1289,1.8111,8.4062,1.268,0.4268,3.5322
sym_mig_twoepoch	Round_2_Replicate_10	-1033.9	2079.8	2155.21	308.39	0.1492,0.5783,12.9452,0.2305,0.2563,3.8635
sym_mig_twoepoch	Round_2_Replicate_11	-746.9	1505.8	1100.87	399.19	0.2049,0.3159,3.3222,0.3459,0.1208,13.8575
sym_mig_twoepoch	Round_2_Replicate_12	-2230.58	4473.16	12270.35	113.37	0.1495,2.9733,4.7414,0.2886,0.3094,12.8117
sym_mig_twoepoch	Round_2_Replicate_13	-2375.68	4763.36	96269.74	181.27	0.7511,1.1157,3.6318,0.8411,0.1804,3.9245
sym_mig_twoepoch	Round_2_Replicate_14	-3242.9	6497.8	348655.62	160.55	0.2577,2.7771,10.6557,1.1712,0.3296,23.3202
