Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
anc_asym_mig	Round_4_Replicate_30	-653.71	1319.42	920.68	375.46	0.4194,0.3208,0.4867,0.726,3.6518,0.1251	
anc_asym_mig	Round_4_Replicate_7	-655.35	1322.7	916.5	279.88	0.5774,0.4228,0.3706,0.5696,6.7666,0.1683	
anc_asym_mig	Round_4_Replicate_25	-659.23	1330.46	919.72	312.27	0.4532,0.3692,0.2176,0.4499,3.9135,0.0653	
anc_asym_mig	Round_4_Replicate_8	-659.38	1330.76	931.65	451.17	0.3783,0.2482,0.4233,1.0383,4.9954,0.0964	
anc_asym_mig	Round_4_Replicate_14	-659.82	1331.64	999.32	284.05	0.5475,0.4186,0.2933,0.5385,5.3032,0.1723	
anc_asym_mig_size	Round_4_Replicate_21	-606.08	1228.16	859.6	571.69	0.3884,0.755,0.1245,0.1132,9.7418,5.6089,0.9809,0.124	
anc_asym_mig_size	Round_4_Replicate_38	-606.37	1228.74	804.08	585.03	0.9674,0.5662,0.1091,0.1326,8.1356,2.7198,1.3911,0.1196	
anc_asym_mig_size	Round_4_Replicate_39	-608.4	1232.8	862.93	535.04	1.1702,0.7383,0.1598,0.1508,17.4384,5.4332,0.5338,0.1656	
anc_asym_mig_size	Round_4_Replicate_15	-608.98	1233.96	856.75	545.11	0.9281,0.5855,0.1579,0.1494,11.979,4.4931,1.4935,0.1595	
anc_asym_mig_size	Round_4_Replicate_4	-610.68	1237.36	867.06	500.82	0.9114,0.7888,0.1607,0.1745,7.7831,3.3659,0.548,0.1777	
anc_sym_mig	Round_4_Replicate_32	-610.5	1231.0	753.12	556.69	0.2146,0.1918,0.4344,0.3171,0.0132	
anc_sym_mig	Round_4_Replicate_9	-611.24	1232.48	738.44	563.41	0.1981,0.1881,0.451,0.2766,0.014	
anc_sym_mig	Round_4_Replicate_38	-612.75	1235.5	740.93	548.23	0.219,0.2002,0.4407,0.3269,0.0128	
anc_sym_mig	Round_4_Replicate_19	-613.39	1236.78	788.72	547.16	0.2314,0.1971,0.4052,0.3579,0.0161	
