Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
sym_mig_size	Round_4_Replicate_14	-504.73	1023.46	581.33	70.4	3.5057,3.0029,0.3599,0.337,0.0355,10.552,0.0644	
asym_mig_size	Round_4_Replicate_12	-508.15	1032.3	596.65	64.53	3.0259,4.8023,0.5118,0.3642,0.0487,0.0148,11.0225,0.0914	
no_mig_size	Round_4_Replicate_37	-581.33	1174.66	778.22	467.4	4.826,0.7652,0.0814,0.1264,0.3732,0.0712	
anc_sym_mig_size	Round_4_Replicate_3	-583.32	1180.64	762.94	584.02	2.7598,0.2254,0.0594,0.1098,1.6347,0.3302,0.0557	
sym_mig	Round_4_Replicate_5	-591.21	1190.42	758.16	619.85	0.1487,0.1352,0.2477,0.1877	
anc_asym_mig_size	Round_4_Replicate_21	-606.08	1228.16	859.6	571.69	0.3884,0.755,0.1245,0.1132,9.7418,5.6089,0.9809,0.124	
anc_sym_mig	Round_4_Replicate_32	-610.5	1231.0	753.12	556.69	0.2146,0.1918,0.4344,0.3171,0.0132	
asym_mig	Round_4_Replicate_18	-611.4	1232.8	764.24	469.77	0.3138,0.2511,0.0877,0.234,0.4415	
sec_contact_sym_mig_three_epoch	Round_4_Replicate_24	-636.51	1285.02	859.32	123.82	0.8935,0.8288,0.2836,11.956,4.3997,0.2974	
sec_contact_sym_mig	Round_4_Replicate_6	-637.65	1285.3	789.24	79.3	2.0681,1.7096,0.0454,0.1427,9.5695	
sym_mig_twoepoch	Round_4_Replicate_34	-637.19	1286.38	766.85	246.69	0.6477,0.5832,1.8828,0.1375,0.0272,2.1574	
asym_mig_twoepoch	Round_4_Replicate_14	-635.44	1286.88	842.32	423.35	0.4203,0.2879,1.103,3.4861,0.0828,0.2095,0.378,0.5796	
sec_contact_sym_mig_size	Round_4_Replicate_6	-637.76	1289.52	790.05	58.39	1.7786,9.1806,2.7921,2.3206,0.0335,1.8906,11.6878	
no_mig	Round_4_Replicate_27	-646.44	1298.88	927.55	471.14	0.2723,0.2579,0.2868	
sec_contact_asym_mig	Round_4_Replicate_15	-647.47	1306.94	770.76	1040.45	0.0921,0.1478,1.9606,0.299,0.1999,1.9009	
anc_asym_mig	Round_4_Replicate_30	-653.71	1319.42	920.68	375.46	0.4194,0.3208,0.4867,0.726,3.6518,0.1251	
sec_contact_asym_mig_three_epoch	Round_4_Replicate_32	-674.64	1363.28	1057.11	440.59	0.3098,0.3456,2.8749,0.5687,0.0238,0.2604,0.0157	
sec_contact_asym_mig_size	Round_4_Replicate_13	-678.2	1372.4	1059.09	416.52	0.2949,0.3662,4.4047,0.2295,0.1158,0.0735,0.4257,0.0288	
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_4	-683.16	1382.32	1037.09	90.3	0.6825,18.4756,1.9621,1.3977,0.2134,3.3247,11.1394,0.8819	
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_10	-782.57	1583.14	1949.34	62.05	0.1016,0.0271,2.4211,3.1522,3.4142,0.5191,14.9197,0.4949,3.3275	
