Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, m12, m21, T, s)
founder_asym	Round_1_Replicate_1	-8340.17	16694.34	84116567896.2	59.69	6.1876,5.6139,1.0557,1.816,5.5038,0.2358,0.3748
founder_asym	Round_1_Replicate_2	-1255.87	2525.74	4367.94	682.51	0.6741,5.7207,0.1321,2.1115,0.9572,2.65,0.4876
founder_asym	Round_1_Replicate_3	-6474.94	12963.88	1043634750.64	86.94	4.1907,7.9697,2.19,1.3806,2.6734,0.4363,0.0462
founder_asym	Round_1_Replicate_4	-3471.86	6957.72	731224.99	378.77	2.0892,0.1998,0.1343,4.6462,1.3653,0.7526,0.059
founder_asym	Round_1_Replicate_5	-2363.6	4741.2	27082.62	377.71	0.2394,0.1214,3.1321,3.0945,0.1739,1.0634,0.0641
founder_asym	Round_1_Replicate_6	-1321.23	2656.46	4257.91	439.94	0.601,4.9636,0.9968,0.3696,0.4756,0.3105,0.1401
founder_asym	Round_1_Replicate_7	-2726.96	5467.92	218552.29	423.45	0.8424,7.3506,0.2243,0.5344,5.0948,0.2721,0.1824
founder_asym	Round_1_Replicate_8	-6026.87	12067.74	5144687034.09	45.94	8.7152,5.1818,5.3266,5.7185,0.2821,4.8893,0.4918
founder_asym	Round_1_Replicate_9	-1759.14	3532.28	12490.82	844.49	0.1289,0.1413,0.4907,2.3685,1.8356,0.9982,0.0351
founder_asym	Round_1_Replicate_10	-5410.57	10835.14	42763676.6	435.77	0.2063,0.1221,7.4194,0.2086,5.5783,0.6948,0.0848
founder_asym	Round_2_Replicate_1	-1711.89	3437.78	8902.0	389.23	1.2027,3.1927,0.1202,1.2571,0.836,8.0061,0.1776
founder_asym	Round_2_Replicate_2	-1590.28	3194.56	13446.46	721.92	0.3332,10.5688,0.3357,4.4657,0.3275,3.0287,0.4303
founder_asym	Round_2_Replicate_3	-1949.17	3912.34	19228.36	471.25	1.3611,4.3757,0.0999,1.5984,3.5468,9.9,0.495
founder_asym	Round_2_Replicate_4	-1252.42	2518.84	4460.53	779.77	0.3152,8.8156,0.1486,1.7676,2.1615,4.9802,0.2044
founder_asym	Round_2_Replicate_5	-1578.07	3170.14	10433.04	884.38	0.2388,9.6742,0.3563,5.241,0.6307,0.7617,0.4876
founder_asym	Round_2_Replicate_6	-2494.84	5003.68	21771.88	633.05	1.4921,18.5729,0.0447,2.981,0.8958,4.2274,0.1401
founder_asym	Round_2_Replicate_7	-653.59	1321.18	868.82	1009.09	0.2408,5.0316,0.1122,1.0152,0.7785,1.3452,0.4828
founder_asym	Round_2_Replicate_8	-679.62	1373.24	1000.37	812.48	0.2523,1.8093,0.1548,0.7811,0.2427,1.1258,0.2837
founder_asym	Round_2_Replicate_9	-1178.4	2370.8	3055.77	887.71	0.4616,1.5027,0.0585,1.5991,2.3735,4.2229,0.3375
founder_asym	Round_2_Replicate_10	-1549.63	3113.26	10248.33	433.77	0.9147,2.5254,0.2455,1.274,1.6473,3.0915,0.495
founder_asym	Round_2_Replicate_11	-4322.07	8658.14	13226527.39	456.01	1.1287,2.8394,0.3633,5.8344,1.2712,7.4554,0.2173
founder_asym	Round_2_Replicate_12	-1380.32	2774.64	6843.17	673.87	0.4945,17.6328,0.2122,2.1056,1.6144,1.0124,0.495
founder_asym	Round_2_Replicate_13	-4926.77	9867.54	38646378.7	335.01	2.6168,2.2756,0.3004,5.2625,2.6179,6.6429,0.2185
founder_asym	Round_2_Replicate_14	-1258.86	2531.72	4247.8	661.13	0.3005,2.8106,0.2726,0.5464,1.9846,1.4916,0.1962
founder_asym	Round_2_Replicate_15	-1090.34	2194.68	2865.65	512.69	0.4763,5.3236,0.3846,1.0557,0.6082,0.9512,0.1801
founder_asym	Round_2_Replicate_16	-1043.27	2100.54	2459.38	287.54	0.9278,4.6218,0.5203,0.7435,0.4665,9.3697,0.4562
founder_asym	Round_2_Replicate_17	-1167.69	2349.38	3225.79	1883.7	0.2621,1.7644,0.0423,4.6176,2.8716,9.2381,0.495
founder_asym	Round_2_Replicate_18	-983.67	1981.34	1653.37	891.17	0.1918,2.4995,0.2384,0.6004,1.2856,1.0613,0.4794
founder_asym	Round_2_Replicate_19	-1980.02	3974.04	14406.22	411.51	1.5698,4.6741,0.1152,1.5778,0.5144,9.7128,0.2447
founder_asym	Round_2_Replicate_20	-1979.08	3972.16	14605.79	540.69	1.1774,2.9877,0.0782,2.1129,1.1455,6.5397,0.2587
founder_asym	Round_3_Replicate_1	-2201.41	4416.82	31718.75	523.77	0.942,9.3285,0.0752,2.7649,3.0751,1.2475,0.1965
founder_asym	Round_3_Replicate_2	-715.08	1444.16	921.7	785.24	0.3485,1.3565,0.1749,0.2616,0.8508,0.5106,0.1769
founder_asym	Round_3_Replicate_3	-1039.05	2092.1	2515.5	743.19	0.3886,1.5142,0.2461,1.9232,0.8219,0.6698,0.4643
founder_asym	Round_3_Replicate_4	-725.19	1464.38	1168.58	805.67	0.2442,2.9662,0.1474,0.6261,0.3094,1.5098,0.4839
founder_asym	Round_3_Replicate_5	-690.0	1394.0	829.56	1409.96	0.144,1.4407,0.1148,2.7679,0.6052,1.1149,0.3805
founder_asym	Round_3_Replicate_6	-1130.31	2274.62	2400.57	1387.96	0.1144,11.6612,0.164,2.8085,2.2662,1.1787,0.4999
founder_asym	Round_3_Replicate_7	-735.59	1485.18	1101.03	645.75	0.2372,13.3192,0.2215,0.6036,0.336,2.5472,0.4839
founder_asym	Round_3_Replicate_8	-945.55	1905.1	2320.67	906.8	0.2077,1.9798,0.0647,0.5321,0.4002,1.6373,0.2709
founder_asym	Round_3_Replicate_9	-972.18	1958.36	1369.05	1225.47	0.1114,14.1252,0.3507,0.5412,0.8022,0.3493,0.1776
founder_asym	Round_3_Replicate_10	-687.14	1388.28	1014.56	1896.96	0.1137,5.6838,0.0563,0.5462,1.6507,0.4035,0.1477
founder_asym	Round_3_Replicate_11	-708.07	1430.14	1086.66	833.22	0.1448,13.8516,0.1415,0.8566,0.3917,3.4637,0.2186
founder_asym	Round_3_Replicate_12	-679.99	1373.98	825.99	864.06	0.3143,13.0101,0.2438,0.3806,0.2116,0.3837,0.4331
founder_asym	Round_3_Replicate_13	-1202.59	2419.18	3531.48	1503.2	0.0697,3.0933,0.0766,0.6413,0.1955,0.848,0.4145
founder_asym	Round_3_Replicate_14	-708.6	1431.2	1109.95	1764.67	0.1385,12.501,0.0597,2.6219,0.5308,1.688,0.4673
founder_asym	Round_3_Replicate_15	-666.79	1347.58	825.27	1876.17	0.1316,18.9834,0.0735,2.2022,1.1345,0.3973,0.359
founder_asym	Round_3_Replicate_16	-710.17	1434.34	1148.42	1802.7	0.1699,7.8206,0.0395,0.6991,2.5966,1.3244,0.4599
founder_asym	Round_3_Replicate_17	-704.05	1422.1	1125.09	798.09	0.316,3.3773,0.1234,1.0784,0.3138,3.2823,0.4902
founder_asym	Round_3_Replicate_18	-664.28	1342.56	775.57	565.95	0.4602,1.6464,0.2815,0.4408,0.4108,1.0745,0.475
founder_asym	Round_3_Replicate_19	-785.22	1584.44	1261.83	617.87	0.6652,18.5343,0.1125,0.5179,1.3081,1.5983,0.4896
founder_asym	Round_3_Replicate_20	-898.08	1810.16	1641.74	582.22	0.1132,6.9118,0.2712,0.5199,0.3226,5.396,0.1877
founder_asym	Round_3_Replicate_21	-771.51	1557.02	1049.5	629.7	0.3132,2.6784,0.2063,0.7122,0.9605,2.3935,0.2266
founder_asym	Round_3_Replicate_22	-1594.51	3203.02	11208.43	645.45	0.3044,2.1249,0.3122,0.5692,2.4536,1.4958,0.1881
founder_asym	Round_3_Replicate_23	-1897.64	3809.28	26994.17	475.99	0.5517,1.6319,0.3939,1.3147,1.9368,1.8035,0.4346
founder_asym	Round_3_Replicate_24	-707.35	1428.7	1110.54	1625.93	0.1377,2.0184,0.0752,0.9954,0.6607,0.5714,0.4839
founder_asym	Round_3_Replicate_25	-1121.67	2257.34	2334.96	995.9	0.1651,5.4688,0.2201,1.4905,1.7643,1.5186,0.4999
founder_asym	Round_3_Replicate_26	-852.17	1718.34	1487.32	570.63	0.7169,2.4987,0.1403,0.9412,0.7189,0.793,0.4963
founder_asym	Round_3_Replicate_27	-947.45	1908.9	2258.47	1047.55	0.1308,9.9081,0.0642,0.9921,0.2946,3.4081,0.1889
founder_asym	Round_3_Replicate_28	-1208.34	2430.68	2627.52	1152.58	0.1083,4.6533,0.3393,1.1375,1.6824,0.4832,0.0991
founder_asym	Round_3_Replicate_29	-668.35	1350.7	842.42	1164.91	0.1897,16.4875,0.1659,1.0859,0.2082,0.5279,0.4589
founder_asym	Round_3_Replicate_30	-857.26	1728.52	1263.82	1261.06	0.11,11.9306,0.1189,0.8772,2.2882,3.9976,0.1445
founder_asym	Round_4_Replicate_1	-657.91	1329.82	768.74	831.47	0.2823,10.2041,0.187,1.2429,0.394,1.1117,0.4507
founder_asym	Round_4_Replicate_2	-661.4	1336.8	860.44	1147.54	0.1532,9.7461,0.1188,1.462,0.6253,2.1331,0.4599
founder_asym	Round_4_Replicate_3	-650.31	1314.62	815.24	628.19	0.2942,2.745,0.2185,0.6462,0.3919,1.7054,0.2594
founder_asym	Round_4_Replicate_4	-667.58	1349.16	901.49	1020.19	0.2149,2.7887,0.103,0.6789,1.1061,1.0931,0.2809
founder_asym	Round_4_Replicate_5	-677.78	1369.56	864.88	1014.51	0.2133,4.0948,0.1163,1.3035,0.9827,1.9602,0.372
founder_asym	Round_4_Replicate_6	-654.08	1322.16	891.9	727.87	0.2785,4.1418,0.1665,0.5756,0.4521,1.386,0.3154
founder_asym	Round_4_Replicate_7	-655.38	1324.76	885.62	853.15	0.2328,10.9699,0.1457,1.0585,0.4153,2.2126,0.4566
founder_asym	Round_4_Replicate_8	-782.21	1578.42	1137.4	814.72	0.2724,4.2904,0.1725,1.5893,0.646,1.708,0.2876
founder_asym	Round_4_Replicate_9	-658.24	1330.48	872.95	909.86	0.2716,8.9083,0.1199,0.8787,0.8232,1.5443,0.4651
founder_asym	Round_4_Replicate_10	-646.97	1307.94	831.63	643.42	0.3343,7.6874,0.1966,0.6389,0.4153,1.6826,0.3877
founder_asym	Round_4_Replicate_11	-663.94	1341.88	829.27	1316.9	0.1785,5.9379,0.093,1.6963,1.1447,1.4403,0.4754
founder_asym	Round_4_Replicate_12	-651.29	1316.58	771.07	1209.25	0.1749,3.4262,0.1223,1.6977,0.7036,1.1067,0.471
founder_asym	Round_4_Replicate_13	-712.25	1438.5	943.47	968.45	0.2894,8.7129,0.1387,1.7814,0.4871,1.0349,0.4662
founder_asym	Round_4_Replicate_14	-656.14	1326.28	876.1	648.93	0.3812,6.121,0.1706,0.5568,0.5544,1.8553,0.4667
founder_asym	Round_4_Replicate_15	-652.07	1318.14	758.65	934.82	0.2438,11.2012,0.1647,1.4581,0.4476,1.2314,0.4853
founder_asym	Round_4_Replicate_16	-682.16	1378.32	946.52	993.87	0.2824,9.6068,0.0921,0.6156,1.3726,2.0902,0.4751
founder_asym	Round_4_Replicate_17	-641.88	1297.76	799.01	963.87	0.2329,6.1351,0.1533,0.9064,0.4057,0.7901,0.3803
founder_asym	Round_4_Replicate_18	-644.53	1303.06	842.05	994.54	0.2618,7.3817,0.1209,0.8684,0.6548,0.9138,0.4834
founder_asym	Round_4_Replicate_19	-672.12	1358.24	1003.11	708.56	0.3277,3.7881,0.1354,0.6597,0.5381,1.9408,0.3783
founder_asym	Round_4_Replicate_20	-659.29	1332.58	936.0	1030.15	0.2637,5.9066,0.0972,0.6446,0.8654,0.8633,0.4273
founder_asym	Round_4_Replicate_21	-653.79	1321.58	856.67	797.18	0.2702,8.8273,0.1473,0.8887,0.5938,2.0779,0.4348
founder_asym	Round_4_Replicate_22	-651.54	1317.08	834.91	966.34	0.2298,3.4541,0.1265,1.1162,0.6966,1.5825,0.4594
founder_asym	Round_4_Replicate_23	-660.58	1335.16	886.53	975.7	0.2294,5.0935,0.1186,0.8509,0.7739,1.3726,0.459
founder_asym	Round_4_Replicate_24	-648.34	1310.68	768.44	1102.05	0.1379,5.7935,0.1406,1.766,0.478,2.5276,0.3329
founder_asym	Round_4_Replicate_25	-653.51	1321.02	854.35	864.53	0.2128,6.2928,0.1395,1.0294,0.5957,2.2852,0.3431
founder_asym	Round_4_Replicate_26	-645.31	1304.62	800.7	984.28	0.2445,2.6149,0.1331,1.0286,0.6567,1.0116,0.4663
founder_asym	Round_4_Replicate_27	-684.84	1383.68	921.67	977.77	0.2832,3.4654,0.0989,0.566,1.3878,1.6813,0.4647
founder_asym	Round_4_Replicate_28	-643.12	1300.24	821.84	858.32	0.32,2.6798,0.1401,0.8048,0.5913,0.9952,0.4905
founder_asym	Round_4_Replicate_29	-702.32	1418.64	968.54	1079.94	0.2722,7.2369,0.0902,1.2666,1.369,2.172,0.4767
founder_asym	Round_4_Replicate_30	-638.74	1291.48	758.31	876.96	0.2873,3.1731,0.1713,0.9701,0.4,0.8486,0.4793
founder_asym	Round_4_Replicate_31	-659.34	1332.68	820.67	1222.57	0.1498,2.9452,0.1239,1.4149,0.6715,1.0642,0.4465
founder_asym	Round_4_Replicate_32	-662.57	1339.14	918.02	1171.82	0.2288,7.1684,0.0846,0.8906,1.1622,1.0286,0.4646
founder_asym	Round_4_Replicate_33	-676.31	1366.62	842.01	721.68	0.2624,9.9606,0.1915,1.2056,0.4125,2.7355,0.2975
founder_asym	Round_4_Replicate_34	-669.63	1353.26	906.54	1148.76	0.2391,5.8557,0.0874,1.1724,1.2185,1.4251,0.484
founder_asym	Round_4_Replicate_35	-664.83	1343.66	901.92	735.99	0.345,3.0294,0.1385,0.6079,0.7679,1.9535,0.4552
founder_asym	Round_4_Replicate_36	-666.29	1346.58	887.65	825.21	0.3331,4.2654,0.1273,0.587,0.8473,0.9397,0.3653
founder_asym	Round_4_Replicate_37	-726.56	1467.12	952.47	750.04	0.3063,8.5479,0.1793,1.2471,0.6659,1.8426,0.3672
founder_asym	Round_4_Replicate_38	-641.62	1297.24	823.31	729.99	0.4036,2.7079,0.1607,0.5161,0.5306,0.8964,0.4613
founder_asym	Round_4_Replicate_39	-668.91	1351.82	848.59	952.4	0.3096,3.5404,0.1216,1.0491,0.8799,0.9071,0.4876
founder_asym	Round_4_Replicate_40	-654.19	1322.38	849.28	980.83	0.2339,3.0966,0.1198,1.2107,0.7296,2.1518,0.4839
