Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, T, s)
founder_nomig	Round_1_Replicate_1	-1493.49	2996.98	47111.35	125.35	2.4753,0.1589,0.7925,2.4443,0.1099
founder_nomig	Round_1_Replicate_2	-2839.29	5688.58	211577938.82	125.07	0.5468,1.4665,5.4758,3.4142,0.2545
founder_nomig	Round_1_Replicate_3	-1922.53	3855.06	97035544165.4	180.87	0.2311,3.1541,5.0158,1.6049,0.0371
founder_nomig	Round_1_Replicate_4	-1543.91	3097.82	58938.06	340.39	0.6623,0.3102,1.0921,0.7734,0.0637
founder_nomig	Round_1_Replicate_5	-732.62	1475.24	1273.63	821.43	0.409,4.0948,0.2043,0.2328,0.495
founder_nomig	Round_1_Replicate_6	-1442.35	2894.7	3073.32	310.18	0.5769,1.4631,3.8759,0.4329,0.4847
founder_nomig	Round_1_Replicate_7	-1481.64	2973.28	64433077814.2	127.92	0.5416,6.1387,1.7524,4.0686,0.0313
founder_nomig	Round_1_Replicate_8	-724.3	1458.6	1398.12	287.98	1.4263,0.1835,0.266,0.6363,0.4847
founder_nomig	Round_1_Replicate_9	-1730.1	3470.2	269004.62	96.34	1.6548,0.1785,3.4484,4.4943,0.2456
founder_nomig	Round_1_Replicate_10	-901.63	1813.26	2525.2	54.45	8.3362,0.1977,0.8161,3.5249,0.4847
founder_nomig	Round_2_Replicate_1	-1394.86	2799.72	43277.78	848.21	0.3613,0.2566,0.1389,0.5526,0.4633
founder_nomig	Round_2_Replicate_2	-1631.02	3272.04	17043.52	190.64	1.9837,0.1364,0.5396,0.2863,0.4847
founder_nomig	Round_2_Replicate_3	-1447.61	2905.22	9705.87	143.71	2.7539,0.2813,0.5253,0.3959,0.4847
founder_nomig	Round_2_Replicate_4	-1021.26	2052.52	1883.56	482.37	0.4999,0.0971,0.9998,0.3234,0.2136
founder_nomig	Round_2_Replicate_5	-1057.14	2124.28	8363.71	228.95	1.6045,0.7045,0.4053,1.5234,0.4633
founder_nomig	Round_2_Replicate_6	-973.07	1956.14	1877.14	161.83	2.3183,0.0726,0.5187,0.6416,0.2236
founder_nomig	Round_2_Replicate_7	-1219.03	2448.06	3092.57	248.44	1.6642,0.0722,0.1399,0.2834,0.1811
founder_nomig	Round_2_Replicate_8	-1068.34	2146.68	3921.69	442.77	0.5053,0.0849,0.8985,0.5276,0.4633
founder_nomig	Round_2_Replicate_9	-1375.84	2761.68	13086.42	156.96	2.8474,0.2775,0.2684,2.0694,0.4847
founder_nomig	Round_2_Replicate_10	-1290.26	2590.52	9052.79	276.27	1.4859,0.1755,0.163,0.9973,0.3565
founder_nomig	Round_2_Replicate_11	-1188.59	2387.18	8073.89	438.89	0.7894,0.1139,0.1845,0.5656,0.1751
founder_nomig	Round_2_Replicate_12	-1081.3	2172.6	3873.79	291.76	1.6207,0.3555,0.1138,0.6714,0.4847
founder_nomig	Round_2_Replicate_13	-1918.49	3846.98	14325.92	75.6	5.9317,0.0953,0.1001,0.2277,0.4847
founder_nomig	Round_2_Replicate_14	-2137.84	4285.68	34907.26	82.0	5.3428,0.2887,0.1372,0.2133,0.4847
founder_nomig	Round_2_Replicate_15	-3439.87	6889.74	1801569.88	85.19	4.4852,0.5942,0.8117,0.2441,0.4847
founder_nomig	Round_2_Replicate_16	-782.74	1575.48	1500.42	426.25	0.8108,0.068,0.2875,0.4242,0.3166
founder_nomig	Round_2_Replicate_17	-1414.8	2839.6	6569.0	333.47	1.2154,0.1783,0.1008,0.4748,0.1665
founder_nomig	Round_2_Replicate_18	-1307.28	2624.56	14449.8	318.87	1.313,0.2986,0.1753,1.1353,0.4847
founder_nomig	Round_2_Replicate_19	-706.49	1422.98	1136.41	637.9	0.6179,0.2476,0.145,0.2571,0.4847
founder_nomig	Round_2_Replicate_20	-1033.13	2076.26	2693.08	209.38	2.2755,0.057,0.1093,0.4845,0.4847
founder_nomig	Round_3_Replicate_1	-1391.47	2792.94	47297.82	435.73	0.499,0.1039,0.5256,0.9462,0.303
founder_nomig	Round_3_Replicate_2	-807.23	1624.46	1432.25	234.32	1.8654,0.1728,0.2132,0.5178,0.4813
founder_nomig	Round_3_Replicate_3	-1030.53	2071.06	8243.71	652.68	0.429,0.1161,0.2952,0.5133,0.446
founder_nomig	Round_3_Replicate_4	-774.76	1559.52	1877.05	703.76	0.4501,0.0956,0.2455,0.3234,0.4228
founder_nomig	Round_3_Replicate_5	-709.45	1428.9	1206.04	735.61	0.4966,0.0577,0.1644,0.2491,0.4648
founder_nomig	Round_3_Replicate_6	-1071.92	2153.84	2669.2	431.41	1.0714,0.1417,0.0524,0.1945,0.4445
founder_nomig	Round_3_Replicate_7	-1136.59	2283.18	2914.69	497.35	0.9409,0.489,0.0371,0.1337,0.474
founder_nomig	Round_3_Replicate_8	-918.22	1846.44	4987.81	459.39	0.6872,0.1613,0.3291,0.6723,0.4372
founder_nomig	Round_3_Replicate_9	-786.07	1582.14	1389.13	380.81	0.9474,0.0623,0.2785,0.4256,0.3281
founder_nomig	Round_3_Replicate_10	-1138.27	2286.54	13962.45	610.25	0.528,0.0833,0.1996,0.6336,0.4412
founder_nomig	Round_3_Replicate_11	-1541.8	3093.6	5774.36	202.19	2.3303,0.5013,0.0336,0.1602,0.4704
founder_nomig	Round_3_Replicate_12	-827.09	1664.18	1608.97	1296.37	0.26,0.1268,0.1013,0.1312,0.2491
founder_nomig	Round_3_Replicate_13	-720.2	1450.4	1212.93	515.78	0.6991,0.6534,0.2378,0.3478,0.4398
