Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, T, s, f)
founder_nomig_admix_early	Round_1_Replicate_1	-1248.6	2509.2	12176.77	1017.68	0.2366,0.5329,0.3279,0.2367,0.0996,0.8327
founder_nomig_admix_early	Round_1_Replicate_2	-981.98	1975.96	1880.29	182.46	1.9166,1.2632,0.7129,0.6138,0.1418,0.9796
founder_nomig_admix_early	Round_1_Replicate_3	-1567.46	3146.92	45706570183.1	545.12	0.1904,0.8203,0.5309,1.0602,0.0663,0.9801
founder_nomig_admix_early	Round_1_Replicate_4	-2487.4	4986.8	3.65137320203e+12	388.02	0.2503,2.5276,0.2751,2.5475,0.4921,0.2928
founder_nomig_admix_early	Round_1_Replicate_5	-1822.66	3657.32	230587.93	252.68	1.2791,0.3181,0.2803,1.2486,0.0821,0.2668
founder_nomig_admix_early	Round_1_Replicate_6	-3006.55	6025.1	512173.15	122.43	3.1311,0.7247,0.5776,0.1887,0.2451,0.3223
founder_nomig_admix_early	Round_1_Replicate_7	-6141.99	12295.98	717758230.31	46.27	7.6879,0.2632,4.6183,0.2417,0.2238,0.4835
founder_nomig_admix_early	Round_1_Replicate_8	-1343.95	2699.9	16470.58	115.54	3.6202,4.9264,0.4781,3.21,0.4864,0.8585
founder_nomig_admix_early	Round_1_Replicate_9	-1191.29	2394.58	2934.09	209.97	1.939,5.1731,0.1938,0.3594,0.1604,0.6261
founder_nomig_admix_early	Round_1_Replicate_10	-893.18	1798.36	2704.48	128.5	3.2195,0.1344,0.4692,1.7055,0.418,0.5496
founder_nomig_admix_early	Round_2_Replicate_1	-2054.44	4120.88	2278855.35	166.11	1.5752,0.096,0.5906,3.9913,0.4864,0.6397
founder_nomig_admix_early	Round_2_Replicate_2	-740.74	1493.48	1837.1	309.2	1.2246,0.127,0.3407,0.7455,0.4864,0.6177
founder_nomig_admix_early	Round_2_Replicate_3	-745.32	1502.64	1099.71	124.77	2.965,0.1925,0.9831,1.155,0.4864,0.1784
founder_nomig_admix_early	Round_2_Replicate_4	-1043.69	2099.38	2221.79	72.36	5.1227,0.069,1.2993,1.2626,0.2203,0.9796
founder_nomig_admix_early	Round_2_Replicate_5	-2661.61	5335.22	7.01392872768e+11	184.68	0.8835,0.0496,0.175,5.6229,0.4864,0.2759
founder_nomig_admix_early	Round_2_Replicate_6	-1480.9	2973.8	15333.64	57.45	7.9989,0.0377,0.6195,5.4972,0.4864,0.6246
founder_nomig_admix_early	Round_2_Replicate_7	-2852.66	5717.32	754321820.52	188.99	1.1726,0.0796,0.3514,4.5115,0.4864,0.1894
founder_nomig_admix_early	Round_2_Replicate_8	-1095.8	2203.6	3311.41	155.05	2.3859,0.0725,0.7973,0.5555,0.4864,0.9796
founder_nomig_admix_early	Round_2_Replicate_9	-1538.5	3089.0	57319.56	89.38	3.9577,0.1337,0.8783,5.434,0.4864,0.882
founder_nomig_admix_early	Round_2_Replicate_10	-1943.04	3898.08	104129.71	101.39	4.2355,0.0341,0.3465,4.3377,0.4864,0.9796
founder_nomig_admix_early	Round_2_Replicate_11	-723.34	1458.68	1307.67	68.93	6.1226,0.0973,1.0022,2.4187,0.4982,0.9798
founder_nomig_admix_early	Round_2_Replicate_12	-2631.49	5274.98	90050837515.2	159.47	1.1808,0.1974,0.1808,6.2032,0.4779,0.2536
founder_nomig_admix_early	Round_2_Replicate_13	-1370.38	2752.76	3977.6	82.31	5.121,0.0772,0.3147,0.6219,0.1764,0.9796
founder_nomig_admix_early	Round_2_Replicate_14	-801.71	1615.42	1805.12	117.22	3.6815,0.4556,0.4805,1.5342,0.4672,0.1684
founder_nomig_admix_early	Round_2_Replicate_15	-1270.95	2553.9	11188.82	260.07	1.563,0.0759,0.2048,1.2405,0.4114,0.2965
founder_nomig_admix_early	Round_2_Replicate_16	-1418.84	2849.68	4774.22	166.56	2.5025,0.0582,0.167,0.4844,0.1033,0.9796
founder_nomig_admix_early	Round_2_Replicate_17	-1237.14	2486.28	4225.58	55.25	7.3083,0.0389,0.7063,2.5978,0.1804,0.9796
founder_nomig_admix_early	Round_2_Replicate_18	-842.52	1697.04	1926.83	53.39	7.9324,0.0536,1.0111,3.2065,0.4196,0.3281
founder_nomig_admix_early	Round_2_Replicate_19	-1081.03	2174.06	2574.38	77.19	5.0172,0.1755,0.7813,1.4514,0.1425,0.1535
founder_nomig_admix_early	Round_2_Replicate_20	-1707.14	3426.28	8600.71	59.91	7.5635,0.0507,0.1957,1.4703,0.2612,0.9796
founder_nomig_admix_early	Round_3_Replicate_1	-1249.98	2511.96	3842.11	52.8	8.355,0.204,0.5343,0.995,0.4692,0.9796
founder_nomig_admix_early	Round_3_Replicate_2	-1207.51	2427.02	16902.86	70.44	3.46,0.0334,3.2596,4.5013,0.1833,0.6459
founder_nomig_admix_early	Round_3_Replicate_3	-766.64	1545.28	1441.24	132.24	2.5236,0.0579,1.0867,1.4185,0.3434,0.246
founder_nomig_admix_early	Round_3_Replicate_4	-966.08	1944.16	2675.31	25.55	18.3759,0.0388,1.3002,6.1987,0.4835,0.24
founder_nomig_admix_early	Round_3_Replicate_5	-2156.24	4324.48	65192.4	60.23	5.594,0.0188,3.7204,0.8137,0.4606,0.9791
founder_nomig_admix_early	Round_3_Replicate_6	-1438.3	2888.6	50547.66	96.24	2.3704,0.0526,2.368,4.4759,0.4753,0.4694
founder_nomig_admix_early	Round_3_Replicate_7	-759.47	1530.94	1217.95	152.3	2.1608,0.0368,1.1032,1.1249,0.409,0.9802
founder_nomig_admix_early	Round_3_Replicate_8	-1751.22	3514.44	113301.05	129.05	2.8284,0.0815,0.4763,3.97,0.4786,0.9783
founder_nomig_admix_early	Round_3_Replicate_9	-1072.7	2157.4	2665.28	86.67	4.9528,0.2427,0.51,0.8164,0.4752,0.332
founder_nomig_admix_early	Round_3_Replicate_10	-708.08	1428.16	1179.33	58.33	6.2371,0.1117,2.1382,3.1106,0.4727,0.9795
founder_nomig_admix_early	Round_3_Replicate_11	-1029.25	2070.5	4308.74	161.26	2.3501,0.0661,0.4151,1.4856,0.2985,0.5936
founder_nomig_admix_early	Round_3_Replicate_12	-989.95	1991.9	7132.93	124.65	2.7232,0.0495,0.9965,2.7439,0.4786,0.5348
founder_nomig_admix_early	Round_3_Replicate_13	-893.81	1799.62	1738.09	69.29	4.1964,0.0555,3.5247,2.3893,0.1891,0.9803
founder_nomig_admix_early	Round_3_Replicate_14	-770.27	1552.54	1300.72	67.89	4.6259,0.027,2.9157,2.6927,0.439,0.4092
founder_nomig_admix_early	Round_3_Replicate_15	-796.74	1605.48	2054.93	98.14	4.1781,0.0451,0.7286,2.1983,0.4592,0.9796
founder_nomig_admix_early	Round_3_Replicate_16	-1209.52	2431.04	10770.69	209.39	1.9449,0.0915,0.2928,1.6411,0.4618,0.9797
founder_nomig_admix_early	Round_3_Replicate_17	-1746.77	3505.54	14317.64	53.3	9.3155,0.1122,0.3296,3.9378,0.4719,0.9798
founder_nomig_admix_early	Round_3_Replicate_18	-992.52	1997.04	2259.64	38.78	10.326,0.0673,1.3181,3.2618,0.2443,0.9789
founder_nomig_admix_early	Round_3_Replicate_19	-849.52	1711.04	1330.64	174.53	1.7328,0.0482,1.407,0.8743,0.4606,0.9791
founder_nomig_admix_early	Round_3_Replicate_20	-1234.84	2481.68	3289.05	44.12	9.8835,0.3227,0.5766,1.2951,0.3653,0.979
founder_nomig_admix_early	Round_3_Replicate_21	-1072.86	2157.72	2458.17	60.99	7.3144,0.1308,0.4955,1.1256,0.4648,0.3843
founder_nomig_admix_early	Round_3_Replicate_22	-981.21	1974.42	3138.88	85.48	5.274,0.3455,0.4891,2.3523,0.4592,0.9796
founder_nomig_admix_early	Round_3_Replicate_23	-802.52	1617.04	1856.14	103.46	4.1935,0.0521,0.5445,1.7885,0.4758,0.4326
founder_nomig_admix_early	Round_3_Replicate_24	-1716.04	3444.08	161704.26	78.51	2.2736,0.0366,3.8681,5.6216,0.4753,0.3584
founder_nomig_admix_early	Round_3_Replicate_25	-1041.89	2095.78	2424.85	119.5	3.5624,0.0412,0.3888,0.6303,0.4567,0.9788
founder_nomig_admix_early	Round_3_Replicate_26	-1474.23	2960.46	68561.64	103.27	2.471,0.0346,1.6464,4.6351,0.4753,0.3092
founder_nomig_admix_early	Round_3_Replicate_27	-786.4	1584.8	1244.12	170.75	1.8395,0.1675,1.2242,0.9943,0.4655,0.9782
founder_nomig_admix_early	Round_3_Replicate_28	-1180.55	2373.1	4221.13	71.45	4.9729,0.024,2.0888,1.1742,0.4643,0.9806
founder_nomig_admix_early	Round_3_Replicate_29	-1109.01	2230.02	3411.03	93.1	4.1669,0.0395,0.9779,0.8567,0.4672,0.9787
founder_nomig_admix_early	Round_3_Replicate_30	-1101.84	2215.68	12070.99	92.75	2.9162,0.0933,1.952,3.8173,0.3554,0.2906
founder_nomig_admix_early	Round_4_Replicate_1	-696.55	1405.1	1180.58	71.19	5.4092,0.0968,1.4552,2.5335,0.4928,0.5932
founder_nomig_admix_early	Round_4_Replicate_2	-816.7	1645.4	1414.73	63.63	4.5883,0.054,3.7476,2.8308,0.3782,0.9794
founder_nomig_admix_early	Round_4_Replicate_3	-724.4	1460.8	1197.87	72.03	4.7653,0.0577,2.1718,2.5504,0.4867,0.6681
founder_nomig_admix_early	Round_4_Replicate_4	-722.75	1457.5	1256.7	88.71	3.8833,0.109,1.675,2.1432,0.465,0.9808
founder_nomig_admix_early	Round_4_Replicate_5	-925.31	1862.62	2144.78	40.05	10.6146,0.0649,1.1052,3.5834,0.3675,0.9776
founder_nomig_admix_early	Round_4_Replicate_6	-716.78	1445.56	1249.92	63.6	6.0855,0.0826,1.4829,2.7708,0.456,0.8981
founder_nomig_admix_early	Round_4_Replicate_7	-800.61	1613.22	1376.64	86.34	3.4591,0.1546,2.6324,2.1103,0.4173,0.5578
founder_nomig_admix_early	Round_4_Replicate_8	-705.15	1422.3	1206.09	100.97	3.5581,0.0822,1.3419,1.8714,0.4996,0.7834
founder_nomig_admix_early	Round_4_Replicate_9	-703.06	1418.12	1148.6	36.26	10.9393,0.0726,2.5103,4.6064,0.4899,0.6902
founder_nomig_admix_early	Round_4_Replicate_10	-727.94	1467.88	1241.66	91.18	3.9562,0.1377,1.3059,1.9539,0.4209,0.9804
founder_nomig_admix_early	Round_4_Replicate_11	-862.05	1736.1	1397.42	71.76	3.9892,0.0712,3.8513,2.2704,0.4306,0.9802
founder_nomig_admix_early	Round_4_Replicate_12	-838.28	1688.56	1551.53	71.42	4.0511,0.0973,3.2905,2.5125,0.2814,0.9794
founder_nomig_admix_early	Round_4_Replicate_13	-915.19	1842.38	1601.09	90.81	3.0017,0.1199,3.4565,1.7479,0.2385,0.6328
founder_nomig_admix_early	Round_4_Replicate_14	-809.15	1630.3	2112.01	97.05	3.0611,0.0543,2.0831,2.3931,0.4066,0.6227
founder_nomig_admix_early	Round_4_Replicate_15	-780.64	1573.28	1743.83	47.93	7.0738,0.0992,2.6933,4.3061,0.3379,0.9785
founder_nomig_admix_early	Round_4_Replicate_16	-723.69	1459.38	1123.18	55.1	6.3506,0.138,2.7013,3.1194,0.4882,0.505
founder_nomig_admix_early	Round_4_Replicate_17	-693.94	1399.88	1184.61	50.29	7.7167,0.2059,2.0226,3.6078,0.4996,0.9798
founder_nomig_admix_early	Round_4_Replicate_18	-751.97	1515.94	1364.14	62.98	5.1094,0.1283,2.8772,3.0965,0.4517,0.691
founder_nomig_admix_early	Round_4_Replicate_19	-731.22	1474.44	1384.06	79.55	4.3579,0.0641,1.705,2.4836,0.4241,0.983
founder_nomig_admix_early	Round_4_Replicate_20	-741.17	1494.34	1289.6	82.34	4.6032,0.1685,1.1576,2.0579,0.4109,0.5601
founder_nomig_admix_early	Round_4_Replicate_21	-840.89	1693.78	1477.65	91.54	3.2159,0.0646,2.4999,1.8565,0.2754,0.979
founder_nomig_admix_early	Round_4_Replicate_22	-721.57	1455.14	1194.95	55.66	6.5232,0.1333,2.1478,3.1492,0.438,0.6729
founder_nomig_admix_early	Round_4_Replicate_23	-872.56	1757.12	1464.58	84.65	3.4197,0.0569,3.0179,1.8577,0.2722,0.4843
founder_nomig_admix_early	Round_4_Replicate_24	-726.24	1464.48	1426.03	50.54	7.9467,0.0767,1.6263,3.732,0.4712,0.838
founder_nomig_admix_early	Round_4_Replicate_25	-815.54	1643.08	1521.36	68.7	4.2789,0.0672,3.2207,2.711,0.3184,0.8132
founder_nomig_admix_early	Round_4_Replicate_26	-812.36	1636.72	1448.61	73.23	4.3728,0.1778,2.2811,2.3084,0.2733,0.5982
founder_nomig_admix_early	Round_4_Replicate_27	-722.18	1456.36	1209.0	68.46	5.1024,0.1577,2.0496,2.6675,0.452,0.979
founder_nomig_admix_early	Round_4_Replicate_28	-795.62	1603.24	1354.43	62.16	5.0664,0.0547,2.9359,2.7621,0.3225,0.978
founder_nomig_admix_early	Round_4_Replicate_29	-858.18	1728.36	1839.75	74.64	4.8468,0.0752,1.2487,2.2683,0.2544,0.6174
founder_nomig_admix_early	Round_4_Replicate_30	-755.55	1523.1	1353.89	55.86	7.6377,0.1459,1.088,2.6829,0.4786,0.6978
founder_nomig_admix_early	Round_4_Replicate_31	-789.99	1591.98	1422.56	64.25	4.7097,0.0546,3.2388,2.9226,0.3752,0.7149
founder_nomig_admix_early	Round_4_Replicate_32	-788.87	1589.74	1268.03	63.88	4.8641,0.0724,3.3442,2.7038,0.4593,0.9784
founder_nomig_admix_early	Round_4_Replicate_33	-768.83	1549.66	1361.4	62.08	5.3207,0.1609,2.451,2.8958,0.3443,0.6206
founder_nomig_admix_early	Round_4_Replicate_34	-741.83	1495.66	1260.7	69.41	4.7812,0.1112,2.3605,2.6636,0.4351,0.4919
founder_nomig_admix_early	Round_4_Replicate_35	-794.42	1600.84	1262.44	71.33	4.3493,0.0733,3.0314,2.3768,0.4593,0.5209
founder_nomig_admix_early	Round_4_Replicate_36	-712.7	1437.4	1290.66	61.5	6.5988,0.0893,1.3236,2.8874,0.4864,0.9806
founder_nomig_admix_early	Round_4_Replicate_37	-714.62	1441.24	1179.54	55.01	6.5562,0.1453,2.2941,3.2481,0.4578,0.9426
founder_nomig_admix_early	Round_4_Replicate_38	-701.13	1414.26	1167.32	77.99	4.8155,0.0877,1.4417,2.3006,0.4828,0.8882
founder_nomig_admix_early	Round_4_Replicate_39	-704.09	1420.18	1140.73	83.21	4.3715,0.0759,1.557,2.1552,0.4941,0.5043
founder_nomig_admix_early	Round_4_Replicate_40	-694.42	1400.84	1161.16	30.41	12.8882,0.2021,3.2187,5.8012,0.4999,0.98
