Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, T, s, f)
founder_nomig_admix_late	Round_1_Replicate_1	-6353.3	12718.6	16062946927.4	88.67	4.4416,0.1817,0.578,4.2885,0.4892,0.9811
founder_nomig_admix_late	Round_1_Replicate_2	-2440.13	4892.26	63380.47	1297.44	0.2054,0.1513,0.2556,0.1455,0.495,0.1411
founder_nomig_admix_late	Round_1_Replicate_3	-8852.76	17717.52	1.2294316256e+12	659.14	0.3815,0.1344,2.4368,0.1568,0.2253,0.5345
founder_nomig_admix_late	Round_1_Replicate_4	-5850.08	11712.16	1.43081289051e+12	128.33	1.6634,0.9818,0.1365,3.3546,0.0575,0.7962
founder_nomig_admix_late	Round_1_Replicate_5	-3692.77	7397.54	1703941.91	297.19	0.2173,2.9245,0.6257,1.0331,0.4177,0.2283
founder_nomig_admix_late	Round_1_Replicate_6	-5038.03	10088.06	30408946.47	485.97	0.7601,0.1588,0.1379,0.1495,0.3799,0.3361
founder_nomig_admix_late	Round_1_Replicate_7	-2521.52	5055.04	41340.28	76.46	4.7717,0.9299,0.9726,1.3311,0.0476,0.1277
founder_nomig_admix_late	Round_1_Replicate_8	-9177.38	18366.76	5.04758558183e+12	68.6	4.0803,0.1982,1.0793,4.3747,0.0897,0.6143
founder_nomig_admix_late	Round_1_Replicate_9	-8319.7	16651.4	1.75471638339e+11	330.24	0.383,0.2286,7.5991,0.9745,0.0345,0.5324
founder_nomig_admix_late	Round_1_Replicate_10	-2377.34	4766.68	24380.95	141.54	1.6654,8.1068,2.6817,1.6,0.0731,0.1452
founder_nomig_admix_late	Round_2_Replicate_1	-2630.5	5273.0	18446560026.4	110.1	0.6057,5.3422,4.8064,4.911,0.1256,0.0838
founder_nomig_admix_late	Round_2_Replicate_2	-1968.08	3948.16	6.89554045475e+16	142.28	0.9166,2.956,1.5361,4.6561,0.0219,0.0361
founder_nomig_admix_late	Round_2_Replicate_3	-5648.89	11309.78	347986417.1	121.49	2.5818,10.3203,2.3816,0.5236,0.2592,0.2994
founder_nomig_admix_late	Round_2_Replicate_4	-3328.6	6669.2	479548.02	68.43	4.8776,7.1159,1.5062,2.0701,0.0847,0.2003
founder_nomig_admix_late	Round_2_Replicate_5	-3696.07	7404.14	1048090.35	199.38	0.6418,17.5277,0.9383,3.3137,0.2023,0.2218
founder_nomig_admix_late	Round_2_Replicate_6	-2103.42	4218.84	5269661.03	75.31	2.5241,19.4339,3.2342,5.4249,0.0491,0.1171
founder_nomig_admix_late	Round_2_Replicate_7	-1697.21	3406.42	10105.57	197.68	1.6389,8.7969,1.0848,0.4933,0.1111,0.0707
founder_nomig_admix_late	Round_2_Replicate_8	-2578.89	5169.78	56123.8	72.14	5.0671,3.6825,8.6092,0.4345,0.0176,0.0797
founder_nomig_admix_late	Round_2_Replicate_9	-1871.36	3754.72	61841833.98	73.05	1.8328,2.1367,7.0804,5.4713,0.0536,0.042
founder_nomig_admix_late	Round_2_Replicate_10	-3836.7	7685.4	3338992.42	107.02	2.7587,17.9243,9.1854,0.43,0.1604,0.1064
founder_nomig_admix_late	Round_2_Replicate_11	-2441.84	4895.68	54057715081.5	149.12	0.5965,11.2608,1.3425,5.4412,0.0483,0.0947
founder_nomig_admix_late	Round_2_Replicate_12	-2248.77	4509.54	776327.19	402.75	0.4225,6.7528,2.7044,0.5528,0.0217,0.0918
founder_nomig_admix_late	Round_2_Replicate_13	-2293.93	4599.86	31024.63	79.24	4.2587,3.9154,1.3109,1.8602,0.1629,0.1465
founder_nomig_admix_late	Round_2_Replicate_14	-1913.61	3839.22	480064.37	115.24	0.9954,17.3395,5.8945,3.1283,0.1116,0.0478
founder_nomig_admix_late	Round_2_Replicate_15	-1868.86	3749.72	11379.9	75.71	4.5011,2.5452,4.5843,0.8363,0.0383,0.0609
founder_nomig_admix_late	Round_2_Replicate_16	-1505.26	3022.52	5618.97	171.76	2.0927,14.2606,0.7237,0.4806,0.0792,0.0481
founder_nomig_admix_late	Round_2_Replicate_17	-2310.69	4633.38	56310.05	185.52	1.2893,4.8933,3.7074,0.6532,0.2169,0.1006
founder_nomig_admix_late	Round_2_Replicate_18	-2174.5	4361.0	4088360.54	238.4	0.7128,6.8861,1.6288,1.5298,0.0428,0.117
founder_nomig_admix_late	Round_2_Replicate_19	-1748.9	3509.8	109110.47	142.64	1.2543,6.3307,2.7421,2.4648,0.0785,0.0658
founder_nomig_admix_late	Round_2_Replicate_20	-1791.39	3594.78	9351.97	54.84	5.3287,3.7578,3.5197,3.5976,0.0428,0.0877
founder_nomig_admix_late	Round_3_Replicate_1	-2326.24	4664.48	21646.33	377.8	0.6167,9.7036,0.9321,0.6364,0.0822,0.1458
founder_nomig_admix_late	Round_3_Replicate_2	-2569.62	5151.24	83439.62	83.13	4.567,10.5553,2.8596,0.2987,0.0343,0.0467
founder_nomig_admix_late	Round_3_Replicate_3	-2235.68	4483.36	37288.72	82.41	4.896,17.8132,0.4059,0.4012,0.1334,0.0548
founder_nomig_admix_late	Round_3_Replicate_4	-1666.01	3344.02	15208.08	93.61	3.7572,6.0598,1.4975,0.7244,0.2503,0.028
founder_nomig_admix_late	Round_3_Replicate_5	-2448.69	4909.38	30016.08	90.35	4.4577,12.5471,0.2602,0.6371,0.1223,0.1128
founder_nomig_admix_late	Round_3_Replicate_6	-1337.01	2686.02	3583.73	52.18	7.2724,18.6947,2.8262,1.1089,0.0316,0.01
founder_nomig_admix_late	Round_3_Replicate_7	-1139.84	2291.68	11814.54	295.61	1.0509,5.1256,0.3141,1.2974,0.2519,0.0199
founder_nomig_admix_late	Round_3_Replicate_8	-2091.05	4194.1	23650.39	90.68	4.677,5.2684,0.1689,0.2768,0.2499,0.0304
founder_nomig_admix_late	Round_3_Replicate_9	-1849.87	3711.74	9860.84	149.99	1.7935,13.2651,1.9378,1.1427,0.1391,0.1153
founder_nomig_admix_late	Round_3_Replicate_10	-1462.12	2936.24	5607.6	104.04	3.589,4.9731,1.2115,0.5134,0.0783,0.0119
founder_nomig_admix_late	Round_3_Replicate_11	-854.65	1721.3	2913.38	193.37	1.4221,18.9814,0.987,1.5007,0.27,0.0103
founder_nomig_admix_late	Round_3_Replicate_12	-1343.96	2699.92	30310.2	164.79	2.0138,15.8219,0.5593,1.409,0.0525,0.0115
founder_nomig_admix_late	Round_3_Replicate_13	-2693.76	5399.52	85434.77	361.26	0.9385,5.4952,0.8067,0.1945,0.0315,0.1318
