Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, T1, T2, s, f)
founder_nomig_admix_two_epoch	Round_1_Replicate_1	-2857.15	5728.3	185733.16	152.78	1.7949,2.4548,4.027,0.1832,1.0752,0.0319,0.21
founder_nomig_admix_two_epoch	Round_1_Replicate_2	-1307.19	2628.38	12224.02	347.64	1.0005,3.2118,0.1983,0.7888,0.5639,0.1219,0.9797
founder_nomig_admix_two_epoch	Round_1_Replicate_3	-2299.94	4613.88	7441676.85	212.32	0.7963,0.1773,0.3457,2.5945,4.9752,0.1294,0.5098
founder_nomig_admix_two_epoch	Round_1_Replicate_4	-2402.45	4818.9	13750.87	251.91	0.3705,1.2101,4.9357,0.2968,0.1635,0.1538,0.5506
founder_nomig_admix_two_epoch	Round_1_Replicate_5	-2157.61	4329.22	40355.46	292.6	0.2064,5.7216,2.8718,0.3871,0.1849,0.0428,0.0347
founder_nomig_admix_two_epoch	Round_1_Replicate_6	-1880.2	3774.4	462699.01	421.98	0.2669,0.4163,0.3588,0.9369,1.0139,0.1358,0.1102
founder_nomig_admix_two_epoch	Round_1_Replicate_7	-1079.63	2173.26	7447.82	933.91	0.1617,1.5885,0.2691,0.3516,5.9268,0.036,0.9797
founder_nomig_admix_two_epoch	Round_1_Replicate_8	-1328.07	2670.14	41335.71	987.77	0.1807,7.7481,0.1987,0.4745,2.0224,0.2058,0.9797
founder_nomig_admix_two_epoch	Round_1_Replicate_9	-928.13	1870.26	2108.59	151.53	3.4176,1.32,0.4479,0.8859,2.4675,0.4876,0.9797
founder_nomig_admix_two_epoch	Round_1_Replicate_10	-3155.67	6325.34	3118836.14	145.75	0.2005,6.299,4.978,1.4789,0.1427,0.1319,0.9797
founder_nomig_admix_two_epoch	Round_2_Replicate_1	-1421.77	2857.54	52867.39	175.1	1.0724,0.9712,1.3398,2.5833,7.6375,0.3802,0.9797
founder_nomig_admix_two_epoch	Round_2_Replicate_2	-1820.87	3655.74	1003963.36	245.31	0.8979,1.1379,0.7046,2.5704,1.819,0.4876,0.9797
founder_nomig_admix_two_epoch	Round_2_Replicate_3	-1504.48	3022.96	28307.76	276.97	1.379,1.9969,0.2203,1.0882,1.375,0.2288,0.9437
founder_nomig_admix_two_epoch	Round_2_Replicate_4	-978.77	1971.54	5349.5	141.44	2.5392,5.2198,0.8099,2.1237,9.1636,0.3091,0.9797
founder_nomig_admix_two_epoch	Round_2_Replicate_5	-1025.98	2065.96	2340.37	92.66	3.4514,1.3258,1.5176,1.0815,5.2114,0.1886,0.6825
founder_nomig_admix_two_epoch	Round_2_Replicate_6	-1035.32	2084.64	7664.2	307.6	0.9726,3.2008,0.7086,1.1207,2.0509,0.4779,0.9801
founder_nomig_admix_two_epoch	Round_2_Replicate_7	-784.24	1582.48	1493.63	295.25	1.5771,0.4565,0.2558,0.4051,2.6256,0.4876,0.6171
founder_nomig_admix_two_epoch	Round_2_Replicate_8	-2377.95	4769.9	59245.89	55.65	7.4928,3.6896,0.6454,0.314,1.1842,0.1435,0.9797
founder_nomig_admix_two_epoch	Round_2_Replicate_9	-1080.81	2175.62	2428.91	132.49	3.7591,4.8496,0.43,0.5162,6.9028,0.4876,0.9797
founder_nomig_admix_two_epoch	Round_2_Replicate_10	-986.69	1987.38	2885.5	206.36	2.5495,0.7393,0.3318,0.8235,4.8689,0.4876,0.9797
founder_nomig_admix_two_epoch	Round_2_Replicate_11	-845.84	1705.68	2269.48	115.17	3.163,1.7201,0.7759,1.4667,0.6859,0.2977,0.4893
founder_nomig_admix_two_epoch	Round_2_Replicate_12	-1488.25	2990.5	12737.15	142.46	3.2976,0.3233,0.2906,1.0814,1.1739,0.4499,0.2563
founder_nomig_admix_two_epoch	Round_2_Replicate_13	-1213.86	2441.72	7423.04	189.62	2.637,0.8836,0.3147,1.0905,3.2715,0.4876,0.674
founder_nomig_admix_two_epoch	Round_2_Replicate_14	-1056.71	2127.42	8213.25	185.5	0.8874,0.5068,1.1462,1.6475,0.9209,0.1331,0.7146
founder_nomig_admix_two_epoch	Round_2_Replicate_15	-1412.61	2839.22	7039.9	119.14	3.3789,2.3846,0.3203,1.0508,1.9119,0.1742,0.4553
founder_nomig_admix_two_epoch	Round_2_Replicate_16	-1084.55	2183.1	8614.06	185.85	1.5683,0.5817,0.559,1.7001,1.6581,0.1358,0.8874
founder_nomig_admix_two_epoch	Round_2_Replicate_17	-2044.81	4103.62	101965.72	97.56	5.9578,0.3755,0.3126,2.23,1.4721,0.4876,0.9797
founder_nomig_admix_two_epoch	Round_2_Replicate_18	-2997.15	6008.3	1203077.56	30.89	13.638,4.6613,0.3425,3.2311,7.0391,0.1186,0.2655
founder_nomig_admix_two_epoch	Round_2_Replicate_19	-885.44	1784.88	1770.45	188.68	2.4479,0.4665,0.2821,0.3335,9.0975,0.4855,0.2382
founder_nomig_admix_two_epoch	Round_2_Replicate_20	-2526.25	5066.5	99192.1	62.24	6.5862,1.9733,0.6847,0.2957,6.0731,0.1304,0.9797
founder_nomig_admix_two_epoch	Round_3_Replicate_1	-883.81	1781.62	3416.64	248.89	1.5597,0.118,0.3995,0.6651,1.8125,0.475,0.1627
founder_nomig_admix_two_epoch	Round_3_Replicate_2	-803.21	1620.42	1238.38	174.42	2.4011,1.7945,0.7022,0.6867,1.2352,0.4776,0.7901
founder_nomig_admix_two_epoch	Round_3_Replicate_3	-849.65	1713.3	1716.11	667.9	0.714,0.3795,0.0988,0.1633,0.763,0.4725,0.6661
founder_nomig_admix_two_epoch	Round_3_Replicate_4	-1445.08	2904.16	67403.38	868.91	0.4541,0.1122,0.1352,0.5719,1.1677,0.4999,0.9789
founder_nomig_admix_two_epoch	Round_3_Replicate_5	-815.44	1644.88	1912.67	551.97	0.5457,0.1531,0.2758,0.4244,1.7382,0.2121,0.98
founder_nomig_admix_two_epoch	Round_3_Replicate_6	-1752.3	3518.6	57688.34	181.13	1.9787,0.3466,0.258,1.5362,2.1286,0.1277,0.8459
founder_nomig_admix_two_epoch	Round_3_Replicate_7	-1444.55	2903.1	6749.8	163.94	3.2874,0.4437,0.2158,0.765,4.3205,0.4536,0.9796
founder_nomig_admix_two_epoch	Round_3_Replicate_8	-967.46	1948.92	2131.96	229.54	2.0185,0.1347,0.1956,0.229,1.6359,0.4713,0.165
founder_nomig_admix_two_epoch	Round_3_Replicate_9	-1087.03	2188.06	10692.27	268.01	1.0935,1.0113,0.7968,1.3817,0.7197,0.4758,0.979
founder_nomig_admix_two_epoch	Round_3_Replicate_10	-1124.7	2263.4	2743.38	222.69	2.0489,0.5102,0.2396,0.2073,8.758,0.4696,0.5868
founder_nomig_admix_two_epoch	Round_3_Replicate_11	-1818.61	3651.22	813588.47	430.01	0.5096,0.9806,0.2866,1.4575,1.496,0.3196,0.9188
founder_nomig_admix_two_epoch	Round_3_Replicate_12	-980.42	1974.84	3285.11	160.1	2.8364,0.1741,0.3886,0.8518,2.6307,0.4649,0.2931
founder_nomig_admix_two_epoch	Round_3_Replicate_13	-1223.46	2460.92	2947.99	389.52	0.4302,1.3234,0.9043,0.3743,9.0784,0.3064,0.5431
founder_nomig_admix_two_epoch	Round_3_Replicate_14	-827.52	1669.04	1651.28	104.42	4.3985,0.7046,0.6047,0.8777,9.6219,0.4747,0.3885
founder_nomig_admix_two_epoch	Round_3_Replicate_15	-906.23	1826.46	4276.92	748.4	0.5465,1.0781,0.1834,0.4037,5.3601,0.4599,0.9789
founder_nomig_admix_two_epoch	Round_3_Replicate_16	-974.68	1963.36	1940.93	741.51	0.5535,0.177,0.1006,0.1507,6.7976,0.2495,0.98
founder_nomig_admix_two_epoch	Round_3_Replicate_17	-1468.71	2951.42	7696.9	293.27	1.0066,0.1595,0.9176,0.2677,1.2711,0.4923,0.5924
founder_nomig_admix_two_epoch	Round_3_Replicate_18	-1883.21	3780.42	49302.09	181.38	3.0982,0.3054,0.1852,1.1526,3.2308,0.4673,0.9802
founder_nomig_admix_two_epoch	Round_3_Replicate_19	-2381.85	4777.7	70936.97	104.68	5.4441,1.021,0.1514,1.0579,0.6471,0.4768,0.9792
