Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, m, T, s)
founder_sym	Round_1_Replicate_1	-1866.05	3744.1	15336.26	71.43	2.7389,0.1328,6.6041,0.1617,3.7866,0.495
founder_sym	Round_1_Replicate_2	-812.68	1637.36	1585.92	491.54	0.3341,3.0895,0.1818,0.2253,2.419,0.2197
founder_sym	Round_1_Replicate_3	-8118.98	16249.96	39959639397.1	81.71	3.4865,0.1525,5.3806,2.2422,1.0854,0.4355
founder_sym	Round_1_Replicate_4	-819.27	1650.54	1369.41	240.34	1.6905,7.3825,0.3333,0.1393,0.5639,0.4864
founder_sym	Round_1_Replicate_5	-2151.14	4314.28	22737.23	160.21	2.6574,5.0677,0.1507,0.8205,0.1948,0.1017
founder_sym	Round_1_Replicate_6	-906.63	1825.26	1370.34	359.55	0.3173,3.6766,0.6196,0.4739,4.0685,0.0553
founder_sym	Round_1_Replicate_7	-4961.23	9934.46	63842569.15	48.51	7.8561,0.6673,1.1795,0.3059,0.2878,0.4864
founder_sym	Round_1_Replicate_8	-1710.1	3432.2	7216.85	145.21	3.0358,5.6147,0.1478,0.4297,0.92,0.1762
founder_sym	Round_1_Replicate_9	-1516.53	3045.06	11527.18	301.52	1.1475,0.4937,0.5627,0.5455,0.3658,0.4864
founder_sym	Round_1_Replicate_10	-900.76	1813.52	1231.24	144.26	1.1127,1.2717,2.3831,0.1212,3.2656,0.089
founder_sym	Round_2_Replicate_1	-939.82	1891.64	1538.99	518.69	0.354,1.2123,0.3571,0.8019,3.6651,0.4748
founder_sym	Round_2_Replicate_2	-679.83	1371.66	877.88	553.47	0.2673,4.0222,0.2488,0.4677,2.6767,0.2334
founder_sym	Round_2_Replicate_3	-1263.21	2538.42	4861.78	500.0	0.4125,10.2529,0.1058,0.0806,1.6315,0.0783
founder_sym	Round_2_Replicate_4	-1144.8	2301.6	2894.41	829.76	0.1416,3.8202,0.1146,0.3211,1.9231,0.4723
founder_sym	Round_2_Replicate_5	-937.28	1886.56	2070.29	869.53	0.2215,8.3762,0.0786,0.4692,2.2835,0.4864
founder_sym	Round_2_Replicate_6	-1144.24	2300.48	2385.03	331.95	0.1912,5.1855,0.7008,0.3845,9.0386,0.2776
founder_sym	Round_2_Replicate_7	-1467.39	2946.78	6771.85	184.29	1.1456,1.2302,0.1117,0.1106,9.0423,0.0892
