Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, m12, m21, T1, T2, s)
vic_anc_asym_mig	Round_1_Replicate_1	-1524.05	3064.1	48301.71	101.64	3.288,3.456,0.9858,0.3226,1.0839,5.8424,3.4001,0.2173
vic_anc_asym_mig	Round_1_Replicate_2	-2221.91	4459.82	110088.97	114.47	7.165,3.3789,0.2676,5.5739,0.4146,4.1681,2.3525,0.0616
vic_anc_asym_mig	Round_1_Replicate_3	-1499.23	3014.46	110697.26	135.39	2.2779,0.2357,1.6782,6.8794,0.1811,5.8912,3.9743,0.4885
vic_anc_asym_mig	Round_1_Replicate_4	-879.22	1774.44	2516.13	199.6	2.0396,0.2793,1.0415,0.1246,3.4945,0.1281,1.2436,0.4885
vic_anc_asym_mig	Round_1_Replicate_5	-959.97	1935.94	1977.71	300.15	1.2341,1.2628,0.9695,7.6054,2.7693,6.1664,0.351,0.4885
vic_anc_asym_mig	Round_1_Replicate_6	-2493.27	5002.54	30709387.22	358.09	0.5366,2.4535,3.1928,0.1677,0.551,0.513,1.5693,0.4885
vic_anc_asym_mig	Round_1_Replicate_7	-1549.57	3115.14	104592.99	625.83	0.4499,1.2353,0.5394,7.3916,0.2399,0.6215,0.7659,0.4885
vic_anc_asym_mig	Round_1_Replicate_8	-1808.47	3632.94	579582.42	153.9	1.7181,0.7457,0.1801,6.3567,7.1733,1.447,3.9507,0.4885
vic_anc_asym_mig	Round_1_Replicate_9	-1956.37	3928.74	24144.42	152.49	4.8649,4.1251,0.2539,0.2386,0.193,0.5127,0.3733,0.2966
vic_anc_asym_mig	Round_1_Replicate_10	-1606.53	3229.06	192441.39	258.11	1.1322,1.4021,0.2371,7.2577,0.5957,4.9569,2.16,0.4885
vic_anc_asym_mig	Round_2_Replicate_1	-1469.66	2955.32	7739.67	148.14	3.7027,0.1984,0.8963,0.1643,5.2269,0.4192,0.8503,0.4885
vic_anc_asym_mig	Round_2_Replicate_2	-1379.13	2774.26	48645.84	236.52	1.2825,0.0879,0.6762,0.3639,6.3182,0.0543,2.0119,0.4885
vic_anc_asym_mig	Round_2_Replicate_3	-1126.88	2269.76	8969.07	72.42	6.1763,0.4054,1.4381,0.1176,6.0002,0.2525,4.7263,0.4847
vic_anc_asym_mig	Round_2_Replicate_4	-1351.75	2719.5	4901.31	147.12	3.854,1.0715,1.8192,0.0749,2.8702,0.1449,1.0499,0.4373
vic_anc_asym_mig	Round_2_Replicate_5	-2124.24	4264.48	47072.12	204.53	3.0225,0.1809,0.3183,0.0295,3.0548,0.0302,0.4462,0.4885
vic_anc_asym_mig	Round_2_Replicate_6	-3369.25	6754.5	5.9860312574e+11	253.45	0.5745,0.4145,0.3397,0.4838,9.4835,0.0874,3.5705,0.4869
vic_anc_asym_mig	Round_2_Replicate_7	-1507.24	3030.48	6932.51	111.36	5.3967,0.1336,2.5674,0.0328,9.4835,0.1126,1.5271,0.4869
vic_anc_asym_mig	Round_2_Replicate_8	-2356.3	4728.6	42770560.91	190.07	1.2761,0.1153,4.0492,0.2848,5.1713,0.0569,3.8045,0.3243
vic_anc_asym_mig	Round_2_Replicate_9	-2616.84	5249.68	147305.06	205.12	4.0608,0.2841,2.9505,0.043,5.1212,0.0659,0.3551,0.271
vic_anc_asym_mig	Round_2_Replicate_10	-1507.71	3031.42	103944.18	188.73	1.591,0.1786,1.909,0.0681,4.2034,0.3892,2.7449,0.4885
vic_anc_asym_mig	Round_2_Replicate_11	-1048.85	2113.7	5289.62	111.71	4.1092,0.4541,1.2756,0.0647,1.1159,0.1528,2.7248,0.401
vic_anc_asym_mig	Round_2_Replicate_12	-1008.82	2033.64	2149.87	255.33	1.6618,0.4667,3.2041,0.2501,9.4835,0.3067,0.5162,0.4869
