Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, T, s)
vic_no_mig	Round_1_Replicate_1	-958.88	1927.76	1815.18	302.14	1.4784,0.632,1.5353,0.4931,0.2348
vic_no_mig	Round_1_Replicate_2	-2921.86	5853.72	2.54977730483e+20	162.49	0.154,1.52,0.9758,4.8529,0.0403
vic_no_mig	Round_1_Replicate_3	-803.09	1616.18	1922.92	293.86	1.2713,1.2215,2.7758,0.7806,0.3717
vic_no_mig	Round_1_Replicate_4	-2862.42	5734.84	72230409.79	575.62	0.2592,2.2041,4.6735,0.9945,0.4847
vic_no_mig	Round_1_Replicate_5	-2377.75	4765.5	4.48650586183e+11	123.78	1.1092,2.0073,0.7472,8.2187,0.3624
vic_no_mig	Round_1_Replicate_6	-3215.97	6441.94	838427.5	274.35	2.1166,0.5783,0.6725,0.1872,0.4847
vic_no_mig	Round_1_Replicate_7	-2857.96	5725.92	290871.55	202.54	3.5287,0.1348,2.2327,0.3923,0.4847
vic_no_mig	Round_1_Replicate_8	-1541.6	3093.2	19704.29	185.6	2.877,0.9812,0.1201,1.5307,0.1238
vic_no_mig	Round_1_Replicate_9	-3199.99	6409.98	150876049.93	740.21	0.1607,0.4174,0.8908,0.6618,0.4847
vic_no_mig	Round_1_Replicate_10	-2522.89	5055.78	5.17402700615e+19	203.71	0.1673,0.1499,1.3268,3.5745,0.208
vic_no_mig	Round_2_Replicate_1	-3385.37	6780.74	3.09433435315e+11	310.69	0.4531,1.4364,6.0981,2.7725,0.4786
vic_no_mig	Round_2_Replicate_2	-1869.92	3749.84	63331.76	466.31	0.6396,2.5542,4.3564,0.4977,0.1215
vic_no_mig	Round_2_Replicate_3	-1612.11	3234.22	13081.71	251.7	1.9866,0.6503,5.8898,0.3945,0.4786
vic_no_mig	Round_2_Replicate_4	-926.2	1862.4	2340.42	176.39	2.4858,2.147,0.8994,1.4266,0.4847
vic_no_mig	Round_2_Replicate_5	-1090.7	2191.4	12842.67	217.57	1.5786,0.3203,3.8515,1.8221,0.4839
vic_no_mig	Round_2_Replicate_6	-655.46	1320.92	909.37	461.31	0.5531,0.3319,1.6192,0.2788,0.4658
vic_no_mig	Round_2_Replicate_7	-1076.26	2162.52	2443.9	414.27	0.854,2.6883,3.4614,0.2094,0.1539
vic_no_mig	Round_2_Replicate_8	-1611.84	3233.68	118537.69	303.6	0.9188,0.8004,4.1046,1.6636,0.3666
vic_no_mig	Round_2_Replicate_9	-1751.2	3512.4	66923.92	456.46	0.6289,3.1484,2.4048,0.6415,0.1656
vic_no_mig	Round_2_Replicate_10	-723.4	1456.8	1110.55	354.94	0.9254,1.3951,2.1755,0.4735,0.4847
vic_no_mig	Round_2_Replicate_11	-1296.48	2602.96	53702144482.6	214.66	0.6457,0.4549,0.7027,2.0915,0.1174
vic_no_mig	Round_2_Replicate_12	-1138.15	2286.3	4212.11	578.28	0.3675,0.3657,1.8903,0.2043,0.191
vic_no_mig	Round_2_Replicate_13	-1126.68	2263.36	2763.52	185.56	2.6809,3.5728,10.9821,0.9437,0.4847
vic_no_mig	Round_2_Replicate_14	-1297.42	2604.84	18125.99	169.05	2.5749,2.5581,3.4835,2.1421,0.2247
vic_no_mig	Round_2_Replicate_15	-851.43	1712.86	2556.13	228.72	1.6943,1.6131,0.9793,1.1767,0.4847
vic_no_mig	Round_2_Replicate_16	-2278.46	4566.92	46129006469.9	338.25	0.3868,0.8711,1.2767,2.1676,0.1996
vic_no_mig	Round_2_Replicate_17	-2389.37	4788.74	1087378.89	605.92	0.3618,0.9932,1.9383,0.4401,0.1281
vic_no_mig	Round_2_Replicate_18	-1697.69	3405.38	74676.84	537.16	0.4103,3.9043,6.5901,0.7467,0.383
vic_no_mig	Round_2_Replicate_19	-1513.39	3036.78	66685.96	339.9	0.8032,1.8681,1.6397,1.3865,0.4067
vic_no_mig	Round_2_Replicate_20	-1246.31	2502.62	17606.48	395.76	0.7252,0.3123,3.6487,0.9046,0.34
vic_no_mig	Round_3_Replicate_1	-1195.76	2401.52	14829.13	424.31	0.6311,0.7365,0.969,0.8448,0.4487
vic_no_mig	Round_3_Replicate_2	-1026.38	2062.76	2320.29	513.4	0.3216,0.2345,1.8645,0.0751,0.2589
vic_no_mig	Round_3_Replicate_3	-796.08	1602.16	1346.8	306.93	1.2389,0.1001,0.4971,0.58,0.3814
vic_no_mig	Round_3_Replicate_4	-657.83	1325.66	1036.65	619.37	0.2244,0.1109,5.8662,0.105,0.3791
vic_no_mig	Round_3_Replicate_5	-627.31	1264.62	862.43	522.22	0.4108,0.3019,4.3347,0.2179,0.4845
vic_no_mig	Round_3_Replicate_6	-747.19	1504.38	1179.68	363.61	0.9261,0.4627,0.9971,0.4294,0.3808
vic_no_mig	Round_3_Replicate_7	-861.16	1732.32	1561.97	514.35	0.3629,0.115,2.2912,0.1084,0.3053
vic_no_mig	Round_3_Replicate_8	-1294.58	2599.16	3746.66	290.99	1.9357,0.2314,2.3512,0.3466,0.1868
