Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, T, s, f)
vic_no_mig_admix_early	Round_1_Replicate_1	-3780.98	7573.96	6.28718215892e+22	236.74	0.2648,1.1222,0.5315,4.7176,0.4864,0.6632
vic_no_mig_admix_early	Round_1_Replicate_2	-2298.85	4609.7	69458.95	221.36	3.2627,1.226,0.2037,0.3927,0.3008,0.8281
vic_no_mig_admix_early	Round_1_Replicate_3	-3621.4	7254.8	9.72433092994e+18	357.77	0.1868,0.3015,3.2208,2.7472,0.4864,0.0389
vic_no_mig_admix_early	Round_1_Replicate_4	-3107.84	6227.68	597797.07	274.84	2.5833,0.5234,0.1901,0.1958,0.2807,0.4261
vic_no_mig_admix_early	Round_1_Replicate_5	-7109.6	14231.2	3238608007.17	227.78	5.9619,4.5462,0.1603,0.1606,0.4864,0.3848
vic_no_mig_admix_early	Round_1_Replicate_6	-1634.93	3281.86	5129.59	260.67	4.9292,1.7506,0.8434,0.3222,0.0522,0.3334
vic_no_mig_admix_early	Round_1_Replicate_7	-920.65	1853.3	1699.5	357.13	1.0835,3.3481,6.3358,0.352,0.2366,0.6821
vic_no_mig_admix_early	Round_1_Replicate_8	-2650.59	5313.18	559344.71	521.27	0.5214,1.4739,0.1619,0.2724,0.0558,0.1479
vic_no_mig_admix_early	Round_1_Replicate_9	-764.44	1540.88	2053.17	581.41	0.3646,0.2033,2.0804,0.3094,0.4864,0.0694
vic_no_mig_admix_early	Round_1_Replicate_10	-1390.46	2792.92	3625.56	317.12	2.156,3.275,3.8647,0.2914,0.0757,0.9796
vic_no_mig_admix_early	Round_2_Replicate_1	-1432.42	2876.84	22256.88	610.73	0.3387,0.3873,1.3137,0.5256,0.4864,0.0845
vic_no_mig_admix_early	Round_2_Replicate_2	-1497.92	3007.84	8132.52	754.33	0.1508,0.6624,1.9446,0.1004,0.1842,0.1587
vic_no_mig_admix_early	Round_2_Replicate_3	-1741.53	3495.06	123403.22	445.68	0.5154,0.4202,3.963,1.0552,0.4864,0.2648
vic_no_mig_admix_early	Round_2_Replicate_4	-2458.52	4929.04	4320476.07	567.63	0.2993,0.0816,7.5564,0.9199,0.4864,0.0282
vic_no_mig_admix_early	Round_2_Replicate_5	-2697.97	5407.94	263511.66	320.56	1.3483,0.1353,1.7692,0.1409,0.4864,0.0349
vic_no_mig_admix_early	Round_2_Replicate_6	-846.88	1705.76	2255.65	721.06	0.1809,0.6801,5.6884,0.1222,0.3159,0.064
vic_no_mig_admix_early	Round_2_Replicate_7	-1452.2	2916.4	9416.07	332.49	1.1277,0.1102,0.8374,0.227,0.4864,0.0611
vic_no_mig_admix_early	Round_2_Replicate_8	-607.51	1227.02	826.82	641.82	0.2099,0.1682,5.6692,0.1124,0.49,0.0275
vic_no_mig_admix_early	Round_2_Replicate_9	-1719.21	3450.42	1.13200529528e+11	507.72	0.1429,0.3627,3.7281,0.6003,0.1558,0.022
vic_no_mig_admix_early	Round_2_Replicate_10	-1002.71	2017.42	2119.11	422.44	0.7809,0.0468,6.1394,0.2113,0.1822,0.1192
vic_no_mig_admix_early	Round_2_Replicate_11	-836.84	1685.68	2122.76	705.22	0.1517,0.1669,0.5205,0.0817,0.2855,0.1815
vic_no_mig_admix_early	Round_2_Replicate_12	-614.92	1241.84	789.35	619.32	0.221,0.3772,2.9725,0.1076,0.4864,0.0716
vic_no_mig_admix_early	Round_2_Replicate_13	-1102.75	2217.5	10052.9	430.31	0.6231,0.4402,4.4243,0.7721,0.4864,0.1089
vic_no_mig_admix_early	Round_2_Replicate_14	-1795.68	3603.36	64255.05	504.62	0.5293,0.808,1.1013,0.5235,0.1586,0.2557
