Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, T, s, f)
vic_no_mig_admix_late	Round_1_Replicate_1	-4532.08	9076.16	1057614834.78	460.41	0.2391,0.4804,0.3251,1.0405,0.1866,0.8203
vic_no_mig_admix_late	Round_1_Replicate_2	-1761.85	3535.7	16820.65	154.67	3.112,1.6752,0.1387,1.3978,0.495,0.077
vic_no_mig_admix_late	Round_1_Replicate_3	-5704.05	11420.1	52809036772.5	172.23	1.3402,0.9482,2.5181,1.64,0.0807,0.8848
vic_no_mig_admix_late	Round_1_Replicate_4	-10172.78	20357.56	9.30592919903e+13	93.27	4.7435,0.3749,0.2097,2.8872,0.0389,0.6775
vic_no_mig_admix_late	Round_1_Replicate_5	-6292.01	12596.02	1.76802590975e+11	104.63	5.7925,2.5997,0.4909,1.3617,0.4864,0.6738
vic_no_mig_admix_late	Round_1_Replicate_6	-3501.02	7014.04	1.62670045291e+14	216.27	0.4465,0.1768,0.3651,5.0457,0.1108,0.0466
vic_no_mig_admix_late	Round_1_Replicate_7	-6106.98	12225.96	5325509293.78	790.45	0.2689,0.3059,2.9439,0.4817,0.3378,0.9804
vic_no_mig_admix_late	Round_1_Replicate_8	-6988.3	13988.6	6054607882.49	246.41	2.6554,1.6188,0.175,0.2274,0.4835,0.2857
vic_no_mig_admix_late	Round_1_Replicate_9	-8112.45	16236.9	30484044105.1	216.32	5.9182,2.3438,0.2881,0.1884,0.4864,0.1464
vic_no_mig_admix_late	Round_1_Replicate_10	-3368.39	6748.78	1.47250111924e+11	507.24	0.1697,0.3451,4.7456,1.5405,0.4921,0.0843
vic_no_mig_admix_late	Round_2_Replicate_1	-910.97	1833.94	1627.21	333.88	1.0587,0.6577,0.0401,0.4935,0.4043,0.0271
vic_no_mig_admix_late	Round_2_Replicate_2	-5252.93	10517.86	38747928.31	123.43	6.7254,5.6131,0.0486,0.9906,0.2118,0.283
vic_no_mig_admix_late	Round_2_Replicate_3	-1891.03	3794.06	36076144.27	196.39	1.1747,0.9826,0.1164,3.8374,0.3032,0.0345
vic_no_mig_admix_late	Round_2_Replicate_4	-1403.01	2818.02	6380.84	157.99	3.1936,1.9123,0.1157,1.2372,0.4864,0.0386
vic_no_mig_admix_late	Round_2_Replicate_5	-2604.39	5220.78	142827.73	64.9	6.2725,3.3466,0.0881,5.8653,0.312,0.2289
vic_no_mig_admix_late	Round_2_Replicate_6	-2179.51	4371.02	43798.65	213.42	1.083,1.6005,0.4695,2.3618,0.4798,0.1161
vic_no_mig_admix_late	Round_2_Replicate_7	-2379.85	4771.7	32588.62	218.94	2.1043,0.416,0.0311,1.0502,0.1864,0.1449
vic_no_mig_admix_late	Round_2_Replicate_8	-3478.44	6968.88	1270047.3	97.49	7.4881,0.5148,0.1877,1.4489,0.4864,0.1189
vic_no_mig_admix_late	Round_2_Replicate_9	-2824.18	5660.36	775680.06	60.65	7.5789,2.6086,0.1107,4.8884,0.435,0.2803
vic_no_mig_admix_late	Round_2_Replicate_10	-3990.08	7992.16	6232044.8	242.8	2.1813,1.4602,0.1011,0.4024,0.3343,0.191
vic_no_mig_admix_late	Round_2_Replicate_11	-2507.6	5027.2	124317.75	195.11	1.8426,2.3555,0.3885,1.4929,0.4826,0.2282
vic_no_mig_admix_late	Round_2_Replicate_12	-2513.26	5038.52	87145.72	154.02	2.7189,0.5127,0.3473,1.9037,0.495,0.1537
vic_no_mig_admix_late	Round_2_Replicate_13	-3199.4	6410.8	701073.92	158.25	1.5537,3.5054,0.0352,3.6665,0.2703,0.2885
vic_no_mig_admix_late	Round_2_Replicate_14	-3837.19	7686.38	2459942.64	246.09	1.8545,0.7945,0.2675,0.4699,0.4793,0.2273
vic_no_mig_admix_late	Round_2_Replicate_15	-2738.11	5488.22	194508.56	144.54	3.162,3.425,0.1461,1.7414,0.4748,0.1629
vic_no_mig_admix_late	Round_2_Replicate_16	-1246.62	2505.24	2918.67	209.42	2.5096,0.5058,0.0832,1.0375,0.1793,0.0353
vic_no_mig_admix_late	Round_2_Replicate_17	-2196.57	4405.14	881680413.13	227.91	0.9702,1.7292,0.1599,3.3143,0.2111,0.0521
vic_no_mig_admix_late	Round_2_Replicate_18	-1460.79	2933.58	5733.93	373.56	0.8262,2.1654,0.0537,0.4663,0.4798,0.0878
vic_no_mig_admix_late	Round_2_Replicate_19	-1111.64	2235.28	2539.92	165.0	2.9074,2.7749,0.3212,1.5774,0.3031,0.0318
vic_no_mig_admix_late	Round_2_Replicate_20	-3735.82	7483.64	2073532.36	168.84	6.057,2.0866,0.0588,0.477,0.3192,0.0189
vic_no_mig_admix_late	Round_3_Replicate_1	-4077.76	8167.52	5558653.05	229.14	3.6204,2.3704,0.035,0.2473,0.4027,0.0101
vic_no_mig_admix_late	Round_3_Replicate_2	-948.01	1908.02	1608.28	608.64	0.3295,1.0926,0.0944,0.2873,0.4827,0.0385
vic_no_mig_admix_late	Round_3_Replicate_3	-651.22	1314.44	928.75	491.95	0.4998,0.3556,0.0173,0.3324,0.4745,0.0116
vic_no_mig_admix_late	Round_3_Replicate_4	-672.68	1357.36	1137.99	546.55	0.408,0.3456,0.0261,0.2647,0.3612,0.0105
