Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, m12, m21, T1, T2, s)
vic_sec_contact_asym_mig	Round_1_Replicate_1	-3999.64	8015.28	2656609.81	214.24	6.6951,0.6306,6.0658,2.6975,2.4066,0.483,1.4266,0.0355
vic_sec_contact_asym_mig	Round_1_Replicate_2	-1917.11	3850.22	11793.72	89.61	5.9609,0.794,2.3279,0.2016,0.8488,2.8653,2.8904,0.0562
vic_sec_contact_asym_mig	Round_1_Replicate_3	-7600.94	15217.88	13753823745.6	158.75	5.0347,0.2591,0.1692,5.7657,5.9224,1.3739,4.425,0.1034
vic_sec_contact_asym_mig	Round_1_Replicate_4	-3598.76	7213.52	2604908.05	104.7	3.9741,0.2167,0.1817,0.3292,0.9635,0.1847,4.3585,0.4885
vic_sec_contact_asym_mig	Round_1_Replicate_5	-1412.95	2841.9	7299.94	814.87	0.2603,1.9565,0.3863,0.6274,1.6567,0.149,0.3482,0.0658
vic_sec_contact_asym_mig	Round_1_Replicate_6	-1444.63	2905.26	4403.88	188.63	0.5601,1.9462,7.9312,0.1331,0.1549,5.4626,0.3155,0.4253
vic_sec_contact_asym_mig	Round_1_Replicate_7	-2290.4	4596.8	18061.87	642.27	0.2093,3.8125,3.9745,3.1464,0.1573,0.9814,0.1956,0.082
vic_sec_contact_asym_mig	Round_1_Replicate_8	-2720.41	5456.82	75830.3	144.26	6.49,1.4644,0.3431,0.7557,2.1951,1.1859,0.3759,0.0338
vic_sec_contact_asym_mig	Round_1_Replicate_9	-2503.78	5023.56	19328.46	1275.98	0.1428,1.0497,0.4254,7.4429,0.1787,0.2739,0.1821,0.0714
vic_sec_contact_asym_mig	Round_1_Replicate_10	-742.41	1500.82	1120.38	371.41	0.696,5.3533,4.1502,0.4613,0.3016,1.1284,0.1228,0.4885
vic_sec_contact_asym_mig	Round_2_Replicate_1	-823.31	1662.62	1333.15	373.18	0.5749,7.4705,5.0476,0.4837,0.5165,1.4122,0.1928,0.4885
vic_sec_contact_asym_mig	Round_2_Replicate_2	-812.76	1641.52	1574.18	426.23	0.5872,7.1161,16.1474,0.508,0.1858,0.9289,0.0614,0.4885
vic_sec_contact_asym_mig	Round_2_Replicate_3	-1025.38	2066.76	1970.54	155.38	2.3936,3.2233,1.4904,1.0336,0.8539,2.5152,0.0629,0.495
vic_sec_contact_asym_mig	Round_2_Replicate_4	-1055.19	2126.38	2637.21	241.15	0.8954,18.722,1.414,0.192,0.1558,2.989,0.1138,0.3413
vic_sec_contact_asym_mig	Round_2_Replicate_5	-988.31	1992.62	2028.88	469.93	0.3205,6.416,1.1596,0.2423,0.5119,1.2358,0.3036,0.4885
vic_sec_contact_asym_mig	Round_2_Replicate_6	-1217.79	2451.58	3874.59	479.19	0.3881,2.072,3.6612,0.2383,0.5655,1.1631,0.1231,0.1608
vic_sec_contact_asym_mig	Round_2_Replicate_7	-1799.52	3615.04	23264.5	316.78	1.1488,12.3951,10.3254,1.7173,0.8905,0.356,0.1605,0.4885
vic_sec_contact_asym_mig	Round_2_Replicate_8	-952.29	1920.58	2518.6	160.38	2.6876,3.2717,4.758,0.1273,0.2348,2.4374,0.0716,0.1735
vic_sec_contact_asym_mig	Round_2_Replicate_9	-812.3	1640.6	1683.56	316.02	0.8566,2.9755,4.1498,0.1813,0.3405,1.4203,0.3357,0.2233
vic_sec_contact_asym_mig	Round_2_Replicate_10	-1201.34	2418.68	3091.73	236.67	1.5543,4.7067,2.9141,0.6757,0.2024,1.4853,0.4746,0.1921
vic_sec_contact_asym_mig	Round_2_Replicate_11	-918.08	1852.16	1557.76	370.28	0.4096,2.7597,5.7918,0.351,1.0418,1.9769,0.3313,0.4779
vic_sec_contact_asym_mig	Round_2_Replicate_12	-1928.88	3873.76	7685.13	298.75	0.2157,14.706,13.2129,1.5843,0.1412,3.5603,0.0573,0.4885
vic_sec_contact_asym_mig	Round_2_Replicate_13	-944.7	1905.4	2289.61	547.55	0.4012,12.5034,6.2887,0.3231,0.2946,0.6391,0.0363,0.4885
vic_sec_contact_asym_mig	Round_2_Replicate_14	-1562.44	3140.88	4675.11	257.14	0.4058,7.1495,2.1763,0.5297,0.495,3.8714,0.0701,0.4839
vic_sec_contact_asym_mig	Round_2_Replicate_15	-1566.08	3148.16	5561.18	305.77	0.3554,1.7551,2.3622,0.3667,0.7566,3.1121,0.0778,0.2137
vic_sec_contact_asym_mig	Round_2_Replicate_16	-662.89	1341.78	814.34	269.27	1.2716,6.9675,16.828,0.4394,0.1795,1.1402,0.0712,0.4824
vic_sec_contact_asym_mig	Round_2_Replicate_17	-827.19	1670.38	1213.91	204.81	1.9068,14.184,1.4669,1.1462,0.3768,1.4054,0.0492,0.495
vic_sec_contact_asym_mig	Round_2_Replicate_18	-845.49	1706.98	1399.75	531.66	0.3497,13.0637,9.8445,0.3841,0.8863,0.7878,0.2302,0.4885
vic_sec_contact_asym_mig	Round_2_Replicate_19	-1343.02	2702.04	5214.48	666.9	0.2878,16.603,12.9312,0.1365,0.3015,0.3449,0.199,0.1567
vic_sec_contact_asym_mig	Round_2_Replicate_20	-1007.84	2031.68	2421.85	288.46	1.3932,11.8861,15.1955,0.2738,0.4213,0.4507,0.0875,0.4135
vic_sec_contact_asym_mig	Round_3_Replicate_1	-1503.59	3023.18	10812.7	281.49	0.5666,4.9385,5.1992,0.1537,0.1865,2.9553,0.0375,0.4587
vic_sec_contact_asym_mig	Round_3_Replicate_2	-1205.76	2427.52	7472.38	257.71	0.7978,15.8367,17.5612,0.155,0.1462,2.8366,0.0505,0.4444
vic_sec_contact_asym_mig	Round_3_Replicate_3	-1280.44	2576.88	3414.56	371.14	0.3524,18.1305,17.586,0.7951,0.1224,2.1263,0.1121,0.4795
vic_sec_contact_asym_mig	Round_3_Replicate_4	-1584.73	3185.46	8448.83	183.78	3.9139,1.8971,16.6593,0.0992,0.0979,0.6222,0.1084,0.2286
vic_sec_contact_asym_mig	Round_3_Replicate_5	-787.86	1591.72	1911.08	222.74	1.3679,15.5371,11.0604,0.2687,0.0508,2.1654,0.097,0.4689
vic_sec_contact_asym_mig	Round_3_Replicate_6	-762.73	1541.46	1528.47	471.29	0.5892,19.6104,19.4566,0.1132,0.1209,0.3136,0.156,0.2896
vic_sec_contact_asym_mig	Round_3_Replicate_7	-1084.37	2184.74	2333.99	187.61	2.2465,4.7671,7.4409,0.3507,0.5858,1.8928,0.2393,0.149
vic_sec_contact_asym_mig	Round_3_Replicate_8	-847.41	1710.82	1315.84	210.95	2.0368,9.6164,10.4787,0.5071,0.4119,1.0258,0.0271,0.4677
vic_sec_contact_asym_mig	Round_3_Replicate_9	-727.88	1471.76	1123.61	305.71	1.002,2.2209,9.2401,0.9177,0.6373,1.2414,0.031,0.48
vic_sec_contact_asym_mig	Round_3_Replicate_10	-971.28	1958.56	1884.25	285.96	0.5446,11.7732,18.7944,1.6342,0.3602,2.8235,0.2278,0.4993
vic_sec_contact_asym_mig	Round_3_Replicate_11	-1298.88	2613.76	5870.96	349.01	0.911,9.2573,18.722,0.1766,0.058,1.0688,0.0549,0.1497
vic_sec_contact_asym_mig	Round_3_Replicate_12	-998.06	2012.12	1819.2	194.86	1.0965,2.9136,18.722,0.1467,0.4532,3.8295,0.1655,0.4869
vic_sec_contact_asym_mig	Round_3_Replicate_13	-1023.54	2063.08	3688.46	255.23	1.4151,2.1886,5.6217,0.2378,0.0843,1.5216,0.0467,0.2053
vic_sec_contact_asym_mig	Round_3_Replicate_14	-809.97	1635.94	1250.99	330.38	1.1423,18.0326,18.0094,0.293,0.1228,0.407,0.1503,0.2983
vic_sec_contact_asym_mig	Round_3_Replicate_15	-2349.43	4714.86	99343.18	137.08	3.9447,3.5256,18.722,0.6126,0.5414,1.1566,0.262,0.4775
vic_sec_contact_asym_mig	Round_3_Replicate_16	-1658.05	3332.1	7526.47	231.57	4.0483,17.2925,17.2448,0.7834,0.3498,0.4255,0.0277,0.1057
vic_sec_contact_asym_mig	Round_3_Replicate_17	-860.26	1736.52	1966.6	313.68	0.85,5.5304,10.9358,0.5968,0.0573,1.5583,0.0724,0.4736
vic_sec_contact_asym_mig	Round_3_Replicate_18	-1632.81	3281.62	15402.68	266.94	1.6946,2.0706,6.9509,1.3624,0.0486,0.3616,0.0842,0.4758
vic_sec_contact_asym_mig	Round_3_Replicate_19	-694.73	1405.46	858.79	337.03	1.0006,1.9337,18.722,0.3057,0.052,0.465,0.1137,0.4869
vic_sec_contact_asym_mig	Round_3_Replicate_20	-1590.85	3197.7	12475.77	172.86	3.1507,2.0932,15.3834,0.2459,0.6016,0.8384,0.0609,0.4758
vic_sec_contact_asym_mig	Round_3_Replicate_21	-1914.12	3844.24	30786.74	238.11	2.2702,3.565,17.7253,0.7776,0.1377,0.3803,0.0249,0.4686
vic_sec_contact_asym_mig	Round_3_Replicate_22	-1039.14	2094.28	2217.41	276.78	0.4973,7.3394,6.8307,1.5028,0.6449,3.1987,0.2694,0.3995
vic_sec_contact_asym_mig	Round_3_Replicate_23	-857.09	1730.18	2184.96	562.21	0.415,11.3966,4.5727,0.2804,0.1121,0.3371,0.0225,0.3019
vic_sec_contact_asym_mig	Round_3_Replicate_24	-712.38	1440.76	960.43	322.11	0.966,4.2276,5.7757,0.8465,0.0671,0.9861,0.0877,0.4954
