Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, T1, T2, s, f)
vic_two_epoch_admix	Round_1_Replicate_1	-1856.63	3727.26	166448.4	259.21	1.4368,4.2359,0.1258,0.2636,1.3311,0.1419,0.3501
vic_two_epoch_admix	Round_1_Replicate_2	-906.77	1827.54	3646.39	427.29	0.6827,2.9212,0.2857,0.3812,0.25,0.3276,0.0343
vic_two_epoch_admix	Round_1_Replicate_3	-2598.38	5210.76	131075596.42	91.48	3.0433,0.9483,0.3196,2.9311,5.7343,0.1711,0.0901
vic_two_epoch_admix	Round_1_Replicate_4	-893.0	1800.0	1539.59	278.57	1.3627,0.6641,0.5967,0.5614,0.2155,0.4238,0.2333
vic_two_epoch_admix	Round_1_Replicate_5	-2650.03	5314.06	8.41264777442e+19	161.27	0.1805,0.1215,2.5492,1.7751,3.3646,0.1661,0.0895
vic_two_epoch_admix	Round_1_Replicate_6	-2775.81	5565.62	1.11735578539e+20	144.06	0.1909,0.7696,1.4781,0.1831,5.4277,0.093,0.0447
vic_two_epoch_admix	Round_1_Replicate_7	-1255.96	2525.92	7.61101010322e+11	724.13	0.2002,2.6322,1.2309,0.2358,0.4404,0.084,0.9797
vic_two_epoch_admix	Round_1_Replicate_8	-3713.87	7441.74	2742208.74	258.29	2.4292,0.2186,0.477,0.1198,0.1799,0.4876,0.9797
vic_two_epoch_admix	Round_1_Replicate_9	-1121.17	2256.34	13911.07	276.35	1.1457,4.9016,2.1065,0.2917,1.1489,0.4876,0.0318
vic_two_epoch_admix	Round_1_Replicate_10	-2195.83	4405.66	7731879.86	120.18	3.0107,0.1316,1.9792,0.1696,4.6025,0.16,0.5916
vic_two_epoch_admix	Round_2_Replicate_1	-1312.22	2638.44	4534.91	133.4	3.2809,0.253,1.1394,2.2423,0.0604,0.4391,0.1097
vic_two_epoch_admix	Round_2_Replicate_2	-996.02	2006.04	2021.51	227.91	1.9668,2.2252,0.4613,0.2747,0.5069,0.4562,0.1062
vic_two_epoch_admix	Round_2_Replicate_3	-966.39	1946.78	1665.43	252.53	1.9178,0.1691,1.5635,0.6441,0.1321,0.2033,0.1258
vic_two_epoch_admix	Round_2_Replicate_4	-1950.87	3915.74	35444.95	234.65	2.2025,0.9846,0.3109,0.1474,0.3279,0.4876,0.5553
vic_two_epoch_admix	Round_2_Replicate_5	-2019.22	4052.44	24091.1	234.69	3.7615,1.1954,1.0637,0.3054,0.0917,0.1328,0.1297
vic_two_epoch_admix	Round_2_Replicate_6	-884.13	1782.26	1873.09	360.56	0.7101,0.9162,1.0973,1.3389,0.0848,0.3077,0.0933
vic_two_epoch_admix	Round_2_Replicate_7	-697.2	1408.4	1226.01	389.95	0.7773,1.8305,0.8305,0.2831,0.2635,0.4828,0.0904
vic_two_epoch_admix	Round_2_Replicate_8	-714.91	1443.82	1164.95	445.38	0.6255,0.9652,0.1441,0.5876,0.0639,0.3226,0.0921
vic_two_epoch_admix	Round_2_Replicate_9	-1763.1	3540.2	109929.69	498.26	0.4403,0.5033,0.8409,0.1928,0.7332,0.4876,0.0552
vic_two_epoch_admix	Round_2_Replicate_10	-741.03	1496.06	1163.66	432.38	0.6817,0.8829,1.0368,0.4268,0.2508,0.4876,0.4253
vic_two_epoch_admix	Round_2_Replicate_11	-1823.41	3660.82	26235.33	317.24	1.2683,0.9746,0.3297,0.1804,0.1616,0.4876,0.4743
vic_two_epoch_admix	Round_2_Replicate_12	-728.42	1470.84	946.97	536.62	0.4364,0.7262,1.4002,0.1804,0.115,0.4876,0.3289
vic_two_epoch_admix	Round_2_Replicate_13	-1008.29	2030.58	4115.06	440.67	0.6859,0.3526,0.6389,0.1438,0.3699,0.2416,0.0977
vic_two_epoch_admix	Round_2_Replicate_14	-1992.36	3998.72	37564.41	140.43	4.0837,1.8388,0.6207,1.0067,0.2169,0.4876,0.1923
vic_two_epoch_admix	Round_2_Replicate_15	-4440.38	8894.76	16372344.32	295.51	1.7019,0.5735,0.2374,0.171,0.0862,0.4876,0.7395
vic_two_epoch_admix	Round_2_Replicate_16	-1258.23	2530.46	4439.32	290.65	1.5477,1.5744,0.3856,0.3753,0.1033,0.2672,0.1989
vic_two_epoch_admix	Round_2_Replicate_17	-1153.04	2320.08	3091.14	206.73	2.3488,0.1633,0.5671,0.2186,0.5579,0.4876,0.0596
vic_two_epoch_admix	Round_2_Replicate_18	-1979.36	3972.72	41451.17	419.57	0.7741,0.9198,2.0325,0.2578,0.0921,0.4876,0.6725
vic_two_epoch_admix	Round_2_Replicate_19	-2711.58	5437.16	240133.92	195.69	3.0705,0.6445,0.6491,0.467,0.0863,0.4876,0.1498
vic_two_epoch_admix	Round_2_Replicate_20	-2972.94	5959.88	360356.27	223.42	1.5366,0.5015,1.1682,1.776,0.0587,0.4779,0.5341
vic_two_epoch_admix	Round_3_Replicate_1	-669.62	1353.24	1150.17	439.14	0.6299,1.1743,2.0644,0.1983,0.2071,0.4644,0.035
vic_two_epoch_admix	Round_3_Replicate_2	-1373.32	2760.64	8067.54	708.27	0.2603,2.675,1.9766,0.2367,0.0826,0.2159,0.042
vic_two_epoch_admix	Round_3_Replicate_3	-1038.12	2090.24	3504.19	626.1	0.3328,7.0972,3.2972,0.4123,0.0485,0.37,0.0266
vic_two_epoch_admix	Round_3_Replicate_4	-819.47	1652.94	1300.19	433.05	0.614,0.5409,0.2444,0.1309,0.1042,0.4711,0.0866
