Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
founder_asym	Round_4_Replicate_30	-638.74	1291.48	758.31	876.96	0.2873,3.1731,0.1713,0.9701,0.4,0.8486,0.4793	
founder_asym	Round_4_Replicate_38	-641.62	1297.24	823.31	729.99	0.4036,2.7079,0.1607,0.5161,0.5306,0.8964,0.4613	
founder_asym	Round_4_Replicate_17	-641.88	1297.76	799.01	963.87	0.2329,6.1351,0.1533,0.9064,0.4057,0.7901,0.3803	
founder_asym	Round_4_Replicate_28	-643.12	1300.24	821.84	858.32	0.32,2.6798,0.1401,0.8048,0.5913,0.9952,0.4905	
founder_asym	Round_4_Replicate_18	-644.53	1303.06	842.05	994.54	0.2618,7.3817,0.1209,0.8684,0.6548,0.9138,0.4834	
founder_nomig	Round_3_Replicate_18	-694.07	1398.14	1183.8	918.04	0.4176,0.1736,0.1162,0.1994,0.4991	
founder_nomig	Round_4_Replicate_7	-694.25	1398.5	1178.7	1008.19	0.382,0.1985,0.1038,0.1801,0.4984	
founder_nomig	Round_4_Replicate_22	-694.75	1399.5	1161.72	880.17	0.4289,0.2343,0.129,0.2068,0.4999	
founder_nomig	Round_4_Replicate_14	-694.95	1399.9	1206.19	950.62	0.409,0.2715,0.1058,0.193,0.4983	
founder_nomig	Round_4_Replicate_20	-695.45	1400.9	1182.01	1093.37	0.3487,0.0754,0.0991,0.1671,0.4957	
founder_nomig_admix_early	Round_4_Replicate_17	-693.94	1399.88	1184.61	50.29	7.7167,0.2059,2.0226,3.6078,0.4996,0.9798	
founder_nomig_admix_early	Round_4_Replicate_40	-694.42	1400.84	1161.16	30.41	12.8882,0.2021,3.2187,5.8012,0.4999,0.98	
founder_nomig_admix_early	Round_4_Replicate_1	-696.55	1405.1	1180.58	71.19	5.4092,0.0968,1.4552,2.5335,0.4928,0.5932	
founder_nomig_admix_early	Round_4_Replicate_38	-701.13	1414.26	1167.32	77.99	4.8155,0.0877,1.4417,2.3006,0.4828,0.8882	
founder_nomig_admix_early	Round_4_Replicate_9	-703.06	1418.12	1148.6	36.26	10.9393,0.0726,2.5103,4.6064,0.4899,0.6902	
founder_nomig_admix_late	Round_4_Replicate_12	-714.86	1441.72	1009.86	207.1	1.7744,15.0459,0.5851,0.842,0.4793,0.0112	
founder_nomig_admix_late	Round_4_Replicate_33	-720.63	1453.26	1165.64	152.96	2.338,13.0335,0.7333,1.3406,0.391,0.0107	
founder_nomig_admix_late	Round_4_Replicate_31	-720.8	1453.6	1544.84	193.68	1.9815,19.7036,0.5099,1.3595,0.4986,0.0103	
founder_nomig_admix_late	Round_4_Replicate_20	-747.55	1507.1	1061.93	130.1	2.4793,17.1719,1.3991,1.4243,0.449,0.0104	
founder_nomig_admix_late	Round_4_Replicate_32	-755.65	1523.3	1157.92	160.83	1.908,19.5535,1.2099,1.2938,0.4118,0.012	
founder_nomig_admix_two_epoch	Round_4_Replicate_26	-701.38	1416.76	1243.4	140.53	2.7553,0.7098,0.8307,0.7431,1.3846,0.4989,0.0987	
founder_nomig_admix_two_epoch	Round_4_Replicate_40	-705.05	1424.1	1184.91	226.43	1.6516,0.49,0.5419,0.5368,0.7512,0.4666,0.2661	
founder_nomig_admix_two_epoch	Round_4_Replicate_9	-707.22	1428.44	1107.38	137.23	2.6146,0.6503,1.0428,0.756,0.4627,0.4948,0.1276	
founder_nomig_admix_two_epoch	Round_4_Replicate_17	-707.99	1429.98	1254.15	176.79	2.2182,0.3135,0.6183,0.6001,0.6278,0.4822,0.1392	
founder_nomig_admix_two_epoch	Round_4_Replicate_34	-708.44	1430.88	1111.67	160.83	2.2569,0.3265,0.8121,0.7076,0.5659,0.4621,0.243	
founder_sym	Round_4_Replicate_39	-626.01	1264.02	763.77	523.55	0.6883,2.5865,0.2279,0.2415,0.5744,0.4926	
founder_sym	Round_4_Replicate_28	-626.33	1264.66	768.43	429.03	0.8133,6.8118,0.299,0.17,0.7099,0.4855	
founder_sym	Round_4_Replicate_31	-628.28	1268.56	785.58	436.25	0.7838,6.5598,0.3116,0.1532,0.7257,0.498	
founder_sym	Round_4_Replicate_13	-628.45	1268.9	783.27	361.09	0.9121,4.7379,0.3462,0.2008,1.247,0.4961	
