Model	param_set	Replicate	log-likelihood	theta	AIC	optimized_params
No divergence model	parameter set = [none]	1	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	2	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	3	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	4	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	5	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	6	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	7	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	8	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	9	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	10	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	11	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	12	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	13	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	14	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	15	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	16	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	17	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	18	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	19	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	20	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	21	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	22	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	23	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	24	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	25	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	26	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	27	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	28	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	29	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	30	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	31	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	32	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	33	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	34	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	35	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	36	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	37	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	38	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	39	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	40	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	41	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	42	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	43	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	44	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	45	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	46	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	47	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	48	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	49	-13017.2	350.6	26040.4	
No divergence model	parameter set = [none]	50	-13017.2	350.6	26040.4	
